Date,Event
3/9/18,3
2/14/18,17
1/28/18,4
11/14/17,5
11/5/17,26
11/1/17,3
10/18/17,3
10/1/17,58
6/14/17,3
6/7/17,3
6/5/17,5
5/12/17,3
4/18/17,3
1/6/17,5
9/23/16,5
7/17/16,3
7/7/16,5
6/12/16,49
2/25/16,3
2/20/16,6
12/2/15,14
11/27/15,3
10/31/15,3
10/1/15,9
7/16/15,5
6/17/15,9
6/11/15,3
10/24/14,5
5/23/14,6
4/3/14,3
2/20/14,4
9/16/13,12
7/26/13,7
6/7/13,6
4/21/13,5
3/13/13,5
12/14/12,27
9/27/12,7
8/5/12,7
7/20/12,12
5/20/12,6
4/2/12,7
2/22/12,5
10/14/11,8
9/6/11,5
1/8/11,6
8/3/10,9
11/29/09,4
11/5/09,13
4/3/09,14
3/29/09,8
6/25/08,6
2/14/08,5
2/7/08,6
12/5/07,9
10/7/07,6
4/16/07,32
2/12/07,6
10/2/06,6
3/25/06,7
1/30/06,8
3/21/05,10
3/12/05,7
12/8/04,5
7/8/03,7
2/5/01,5
12/26/00,7
12/30/99,5
11/2/99,7
9/15/99,8
7/29/99,9
4/20/99,13
5/21/98,4
3/24/98,5
3/6/98,5
12/18/97,5
9/15/97,4
2/9/96,6
4/3/95,6
6/20/94,5
12/14/93,4
12/7/93,6
8/6/93,4
7/1/93,9
10/15/92,5
5/1/92,4
11/14/91,5
11/1/91,6
10/16/91,24
6/18/90,10
9/14/89,9
1/17/89,6
2/16/88,7
4/23/87,6
8/20/86,15
7/18/84,22
6/29/84,6
8/20/82,8
