symbol,exchange,eps_pct_diff_surp,asof_date
  MOS,  NYSE,7.14, 2013-01-04
  WOR,  NYSE,12.2, 2013-01-04
  UNF,  NYSE,15.79, 2013-01-04
   FC,  NYSE,15.38, 2013-01-04
  FDO,  NYSE,-6.76, 2013-01-04
  CMC,  NYSE,64.71, 2013-01-08
  ZEP,  NYSE,11.11, 2013-01-08
 TISI,  NYSE,10.0, 2013-01-08
  AYI,  NYSE,-13.75, 2013-01-09
  RPM,  NYSE,-4.76, 2013-01-09
  MON,  NYSE,67.57, 2013-01-09
  GPN,  NYSE,6.9, 2013-01-09
  LNN,  NYSE,53.33, 2013-01-09
  IHS,  NYSE,12.35, 2013-01-09
   MG,  NYSE,0.0, 2013-01-09
  TXI,  NYSE,-5.88, 2013-01-10
  AZZ,  NYSE,-1.64, 2013-01-10
  GBX,  NYSE,12.9, 2013-01-10
  SJR,  NYSE,11.11, 2013-01-10
  STZ,  NYSE,14.55, 2013-01-10
   RT,  NYSE,0.0, 2013-01-10
  MSM,  NYSE,1.0, 2013-01-11
  SVU,  NYSE,-50.0, 2013-01-11
  SNX,  NYSE,11.54, 2013-01-11
 INFY,  NYSE,5.56, 2013-01-12
  WFC,  NYSE,3.41, 2013-01-14
  PPG,  NYSE,-0.65, 2013-01-15
  SAR,  NYSE,28.57, 2013-01-15
  FRX,  NYSE,-61.54, 2013-01-16
   BK,  NYSE,0.0, 2013-01-16
  LEN,  NYSE,30.23, 2013-01-16
   GS,  NYSE,61.38, 2013-01-17
  FRC,  NYSE,-16.44, 2013-01-17
  USB,  NYSE,1.35, 2013-01-17
  JPM,  NYSE,15.83, 2013-01-17
  MTB,  NYSE,2.76, 2013-01-17
  CMA,  NYSE,7.81, 2013-01-17
  WNS,  NYSE,0.0, 2013-01-17
 SCHW,  NYSE,0.0, 2013-01-17
  KMI,  NYSE,-5.88, 2013-01-17
  EPB,  NYSE,14.55, 2013-01-17
  CLC,  NYSE,2.86, 2013-01-17
  FUL,  NYSE,14.29, 2013-01-17
  BAC,  NYSE,50.0, 2013-01-18
  COF,  NYSE,-12.35, 2013-01-18
  ASB,  NYSE,0.0, 2013-01-18
  BLK,  NYSE,5.88, 2013-01-18
  APH,  NYSE,4.44, 2013-01-18
  BBT,  NYSE,2.86, 2013-01-18
  UNH,  NYSE,0.0, 2013-01-18
  WIT,  NYSE,0.0, 2013-01-18
  PNC,  NYSE,24.82, 2013-01-18
    C,  NYSE,-20.69, 2013-01-18
  AXP,  NYSE,0.0, 2013-01-18
  TSM,  NYSE,0.0, 2013-01-18
  STI,  NYSE,6.56, 2013-01-19
  COL,  NYSE,4.44, 2013-01-19
  FHN,  NYSE,0.0, 2013-01-19
  SLB,  NYSE,0.0, 2013-01-19
   MS,  NYSE,73.08, 2013-01-19
  MMR,  NYSE,75.0, 2013-01-19
   GE,  NYSE,2.33, 2013-01-19
  WBS,  NYSE,6.12, 2013-01-19
  PGR,  NYSE,0.0, 2013-01-19
   PH,  NYSE,6.25, 2013-01-19
  STT,  NYSE,11.0, 2013-01-19
  WAT,  NYSE,0.63, 2013-01-23
  JNJ,  NYSE,1.71, 2013-01-23
   VZ,  NYSE,-28.3, 2013-01-23
  PKG,  NYSE,-1.61, 2013-01-23
  CBU,  NYSE,-3.7, 2013-01-23
  FCX,  NYSE,5.41, 2013-01-23
  KSU,  NYSE,10.98, 2013-01-23
  ETH,  NYSE,5.41, 2013-01-23
   RF,  NYSE,10.0, 2013-01-23
  DAL,  NYSE,0.0, 2013-01-23
  LEE,  NYSE,25.0, 2013-01-23
  RKT,  NYSE,5.47, 2013-01-23
  ALB,  NYSE,18.18, 2013-01-23
  TRV,  NYSE,500.0, 2013-01-23
  TSS,  NYSE,-3.03, 2013-01-23
  SNV,  NYSE,0.0, 2013-01-23
  CNI,  NYSE,-0.7, 2013-01-23
  EAT,  NYSE,0.0, 2013-01-23
  NSC,  NYSE,9.24, 2013-01-23
  TAL,  NYSE,600.0, 2013-01-23
  CLS,  NYSE,46.67, 2013-01-23
  UFI,  NYSE,-42.86, 2013-01-23
   DD,  NYSE,22.22, 2013-01-23
  COH,  NYSE,-4.65, 2013-01-23
  OMN,  NYSE,-50.0, 2013-01-23
  IBM,  NYSE,2.67, 2013-01-23
  FNB,  NYSE,4.55, 2013-01-24
 EXAR,  NYSE,-14.29, 2013-01-24
  URI,  NYSE,23.3, 2013-01-24
  GHL,  NYSE,-32.43, 2013-01-24
   GD,  NYSE,-26.84, 2013-01-24
   PX,  NYSE,0.0, 2013-01-24
  MSI,  NYSE,7.61, 2013-01-24
   AF,  NYSE,7.14, 2013-01-24
  CCI,  NYSE,57.14, 2013-01-24
  EGN,  NYSE,-15.58, 2013-01-24
   NE,  NYSE,-19.35, 2013-01-24
 SWFT,  NYSE,46.15, 2013-01-24
  SAP,  NYSE,-2.38, 2013-01-24
  LCC,  NYSE,44.44, 2013-01-24
  CGI,  NYSE,0.0, 2013-01-24
  CNS,  NYSE,16.67, 2013-01-24
 CMRE,  NYSE,6.67, 2013-01-24
 FCFS,  NYSE,2.2, 2013-01-24
  HRC,  NYSE,6.82, 2013-01-24
  MPX,  NYSE,-50.0, 2013-01-24
  MCD,  NYSE,3.76, 2013-01-24
  JEC,  NYSE,0.0, 2013-01-24
  VAR,  NYSE,3.49, 2013-01-24
  STJ,  NYSE,2.22, 2013-01-24
  NVS,  NYSE,0.0, 2013-01-24
  TXT,  NYSE,-1.75, 2013-01-24
  ROL,  NYSE,-5.88, 2013-01-24
 INVN,  NYSE,0.0, 2013-01-24
  TER,  NYSE,600.0, 2013-01-24
  ABT,  NYSE,1.33, 2013-01-24
