Date,Open,High,Low,Close,Volume,OpenInterest
2018-01-02,52.33,53.1,51.9,52.99,29206,0
2018-01-03,52.87,52.87,52.05,52.34,43154,0
2018-01-04,52.48,54.4,52.26,52.67,28328,0
2018-01-05,52.78,52.8,52.43,52.65,23704,0
2018-01-08,52.6,52.64,51.93,52.13,29613,0
2018-01-09,53.01,53.37,52.0,52.08,27424,0
2018-01-10,53.24,54.02,52.88,53.78,67477,0
2018-01-11,54.49,57.0,54.18,56.42,98164,0
2018-01-12,56.56,58.73,56.56,58.47,66380,0
2018-01-16,58.79,59.08,57.53,57.98,44256,0
2018-01-17,58.31,58.58,57.8,58.16,23761,0
2018-01-18,58.0,58.71,57.56,58.34,32979,0
2018-01-19,58.59,58.59,57.76,58.06,24019,0
2018-01-22,57.99,58.34,57.53,58.1,22536,0
2018-01-23,57.74,58.46,57.4,58.29,26595,0
2018-01-24,54.35,55.46,53.45,54.79,138832,0
2018-01-25,54.01,54.55,52.21,53.05,88979,0
2018-01-26,53.65,53.9,52.34,53.07,57409,0
2018-01-29,52.79,53.16,52.58,52.68,52963,0
2018-01-30,52.45,53.05,52.36,52.59,39753,0
2018-01-31,53.03,54.71,53.0,54.32,45714,0
2018-02-01,53.95,54.64,53.59,53.88,24041,0
2018-02-02,53.49,53.99,52.03,52.1,42180,0
2018-02-05,51.99,52.39,49.75,49.76,49822,0
2018-02-06,49.32,51.5,48.79,51.18,56105,0
2018-02-07,50.95,51.98,50.89,51.4,38351,0
2018-02-08,51.44,51.46,48.51,48.6,50321,0
2018-02-09,49.7,49.73,46.33,48.36,59312,0
2018-02-12,48.79,50.51,48.65,50.09,42127,0
2018-02-13,49.7,50.92,49.64,50.87,30998,0
2018-02-14,50.24,51.56,50.11,51.07,40905,0
2018-02-15,51.46,51.88,50.94,51.67,23795,0
2018-02-16,51.8,52.21,51.53,51.58,31879,0
2018-02-20,51.23,52.23,51.1,51.72,24077,0
2018-02-21,51.96,53.86,51.82,52.78,45554,0
2018-02-22,53.24,53.41,52.69,52.98,35274,0
2018-02-23,53.3,53.48,52.72,53.39,27398,0
2018-02-26,54.04,55.13,53.92,55.0,42488,0
2018-02-27,54.89,55.6,54.24,54.26,35639,0
2018-02-28,54.41,54.6,53.63,54.25,31130,0
2018-03-01,54.14,55.31,53.29,53.48,50454,0
2018-03-02,52.9,53.42,51.87,53.18,41635,0
2018-03-05,52.9,53.7,52.69,53.19,30163,0
2018-03-06,53.34,54.02,52.9,53.57,36197,0
2018-03-07,53.12,54.17,53.04,54.11,25522,0
2018-03-08,54.33,55.69,54.28,54.79,35741,0
2018-03-09,55.05,56.08,54.65,56.07,27753,0
2018-03-12,56.26,56.97,55.63,56.5,25200,0
2018-03-13,56.86,57.44,56.03,56.23,34826,0
2018-03-14,56.57,57.21,55.16,55.28,35418,0
2018-03-15,55.35,55.56,54.93,55.17,24678,0
2018-03-16,55.31,56.41,55.27,55.4,31969,0
2018-03-19,55.33,55.69,54.19,54.62,25986,0
2018-03-20,54.93,55.7,54.67,55.32,18225,0
2018-03-21,54.21,54.61,53.16,54.09,40080,0
2018-03-22,53.58,54.18,52.29,52.31,38485,0
2018-03-23,52.63,53.1,50.99,51.01,29467,0
2018-03-26,51.94,52.04,50.64,51.86,24735,0
2018-03-27,52.3,52.35,50.55,50.9,22722,0
2018-03-28,50.9,51.27,50.05,50.85,33291,0
2018-03-29,51.3,52.44,51.03,51.96,22175,0
2018-04-02,51.77,51.92,48.96,49.78,32114,0
2018-04-03,50.23,51.55,49.57,51.47,30102,0
2018-04-04,50.6,52.1,50.51,52.04,22827,0
2018-04-05,52.5,53.08,51.83,52.14,24925,0
2018-04-06,51.71,51.96,49.81,50.29,31844,0
2018-04-09,50.5,50.86,49.74,49.82,28326,0
2018-04-10,50.52,50.57,47.21,47.46,112871,0
2018-04-11,47.15,47.46,45.37,45.4,82399,0
2018-04-12,46.17,46.8,45.5,46.57,58686,0
2018-04-13,46.75,47.05,45.75,45.87,44840,0
2018-04-16,46.13,46.94,45.81,46.4,39168,0
2018-04-17,46.73,47.03,45.62,45.75,57691,0
2018-04-18,46.5,48.38,46.05,47.76,74521,0
2018-04-19,47.53,47.77,46.41,46.88,44130,0
2018-04-20,46.9,47.24,46.43,46.78,44236,0
2018-04-23,46.85,47.19,46.12,46.68,30554,0
2018-04-24,46.72,47.17,45.11,45.69,34156,0
2018-04-25,45.67,45.93,43.89,45.25,65237,0
2018-04-26,43.49,43.8,40.65,42.37,185979,0
2018-04-27,42.55,43.48,42.32,43.4,62148,0
2018-04-30,43.5,43.81,42.76,42.93,50993,0
2018-05-01,43.03,43.46,42.56,43.36,38758,0
2018-05-02,43.23,43.41,42.19,42.24,53203,0
2018-05-03,42.28,42.49,41.54,42.11,39966,0
2018-05-04,41.75,43.45,41.75,42.86,45089,0
2018-05-07,42.92,43.23,42.12,42.44,44462,0
2018-05-08,42.33,44.01,42.33,43.0,65672,0
2018-05-09,42.93,43.16,41.47,41.5,74748,0
2018-05-10,41.51,42.46,41.51,42.04,71282,0
2018-05-11,42.08,42.66,42.02,42.6,54035,0
