Date,Open,High,Low,Close,Volume,OpenInterest
2014-01-02,14.51,14.56,14.19,14.27,38170,0
2014-01-03,14.28,14.35,14.11,14.2,35836,0
2014-01-06,14.34,14.45,14.13,14.34,44547,0
2014-01-07,14.36,14.8,14.36,14.59,78002,0
2014-01-08,14.54,14.61,14.21,14.3,57351,0
2014-01-09,14.36,14.54,14.27,14.46,49961,0
2014-01-10,14.5,14.7,14.48,14.53,41866,0
2014-01-13,14.45,14.51,14.21,14.26,43503,0
2014-01-14,14.27,14.45,14.18,14.44,37670,0
2014-01-15,14.45,14.47,14.23,14.3,46468,0
2014-01-16,14.28,14.37,14.18,14.31,39935,0
2014-01-17,14.36,14.44,14.27,14.3,29867,0
2014-01-21,14.46,14.55,14.28,14.43,41813,0
2014-01-22,14.43,14.59,14.39,14.47,29306,0
2014-01-23,14.35,14.4,14.06,14.19,48271,0
2014-01-24,14.12,14.13,13.54,13.72,113062,0
2014-01-27,13.72,13.75,13.42,13.64,81429,0
2014-01-28,13.65,13.97,13.62,13.97,45166,0
2014-01-29,13.8,13.96,13.68,13.75,63200,0
2014-01-30,13.8,13.97,13.73,13.95,29049,0
2014-01-31,13.78,14.1,13.71,14.06,60499,0
2014-02-03,14.06,14.22,13.68,13.71,47359,0
2014-02-04,13.76,13.89,13.62,13.83,36445,0
2014-02-05,13.74,13.92,13.58,13.84,29614,0
2014-02-06,13.85,13.99,13.79,13.96,27879,0
2014-02-07,14.0,14.1,13.92,14.06,28600,0
2014-02-10,14.02,14.11,13.82,14.05,26718,0
2014-02-11,14.05,14.49,14.03,14.33,45321,0
2014-02-12,14.33,14.36,14.17,14.31,42131,0
2014-02-13,14.21,14.6,14.2,14.49,32339,0
2014-02-14,14.44,14.62,14.42,14.62,25795,0
2014-02-18,14.65,14.94,14.62,14.76,39813,0
2014-02-19,14.67,14.81,14.36,14.41,64207,0
2014-02-20,14.37,14.76,14.36,14.52,49219,0
2014-02-21,14.53,14.78,14.46,14.63,37790,0
2014-02-24,14.62,14.68,14.23,14.27,82814,0
2014-02-25,14.26,14.39,14.15,14.29,43514,0
2014-02-26,14.17,14.37,14.02,14.17,88864,0
2014-02-27,14.08,14.1,13.74,13.78,97092,0
2014-02-28,13.8,13.86,13.57,13.65,80954,0
2014-03-03,13.58,13.94,13.55,13.86,74148,0
2014-03-04,13.9,14.09,13.88,13.95,43247,0
2014-03-05,13.91,14.05,13.88,14.04,43085,0
2014-03-06,14.04,14.14,13.91,13.99,53844,0
