Date,Open,High,Low,Close,Volume,OpenInterest
2013-01-02,47.05,47.05,45.78,46.25,34896,0
2013-01-03,46.14,46.23,45.2,45.27,43087,0
2013-01-04,45.41,45.59,44.96,45.49,38917,0
2013-01-07,45.34,46.18,45.2,46.16,22338,0
2013-01-08,45.96,46.29,44.38,44.38,38964,0
2013-01-09,44.54,45.41,44.54,44.98,21913,0
2013-01-10,45.09,45.76,44.9,45.76,17386,0
2013-01-11,45.8,45.85,45.28,45.53,17246,0
2013-01-14,45.64,45.86,45.12,45.78,19236,0
2013-01-15,45.45,46.09,45.29,46.05,20126,0
2013-01-16,46.01,46.04,45.43,45.7,19144,0
2013-01-17,45.97,47.2,45.79,47.19,29605,0
2013-01-18,47.09,47.14,46.72,46.93,25916,0
2013-01-22,46.98,48.45,46.92,48.34,32242,0
2013-01-23,48.22,48.65,47.82,48.61,23755,0
2013-01-24,48.65,49.85,48.58,49.72,36516,0
2013-01-25,49.7,49.8,49.22,49.76,27520,0
2013-01-28,49.94,50.36,49.37,49.37,30855,0
2013-01-29,49.39,49.87,49.28,49.71,29063,0
2013-01-30,49.65,49.71,48.89,48.95,36743,0
2013-01-31,47.44,48.75,46.53,48.23,52866,0
2013-02-01,48.74,48.74,47.87,48.48,28245,0
2013-02-04,48.22,48.95,48.1,48.55,23207,0
2013-02-05,48.65,49.67,48.65,49.55,23903,0
2013-02-06,49.28,49.86,49.13,49.65,25944,0
2013-02-07,49.64,49.77,49.01,49.66,19800,0
2013-02-08,49.83,50.95,49.5,50.6,36589,0
2013-02-11,50.52,50.65,49.93,50.38,38006,0
2013-02-12,51.11,51.11,49.99,50.15,28943,0
2013-02-13,50.26,50.42,49.4,49.51,34571,0
2013-02-14,49.33,49.98,48.99,49.56,17546,0
2013-02-15,49.57,49.84,49.14,49.2,25982,0
2013-02-19,47.51,48.86,46.9,48.71,55859,0
2013-02-20,48.75,48.82,48.05,48.24,29368,0
2013-02-21,48.26,48.59,47.36,47.76,29152,0
2013-02-22,47.87,48.11,47.37,47.58,25182,0
2013-02-25,47.74,48.14,46.65,46.7,44048,0
2013-02-26,46.83,46.94,46.05,46.56,34735,0
2013-02-27,46.54,47.73,46.46,47.53,28301,0
2013-02-28,47.52,47.59,46.91,47.19,24676,0
2013-03-01,47.02,47.59,46.53,47.5,22175,0
2013-03-04,47.24,47.62,46.86,47.14,20570,0
2013-03-05,47.24,47.95,47.14,47.85,18180,0
2013-03-06,48.2,49.04,48.11,49.03,36859,0
2013-03-07,48.89,49.71,48.89,49.59,27855,0
2013-03-08,49.71,50.69,49.66,50.52,30222,0
2013-03-11,50.29,50.41,49.48,49.9,39011,0
2013-03-12,49.81,51.24,49.6,51.24,36137,0
2013-03-13,51.18,51.46,50.79,51.46,23379,0
2013-03-14,51.6,51.73,50.91,51.23,24180,0
2013-03-15,50.93,51.28,50.82,50.87,34410,0
2013-03-18,50.52,50.97,50.24,50.57,28812,0
2013-03-19,50.75,50.91,50.38,50.52,26864,0
2013-03-20,50.77,50.83,49.98,50.03,22661,0
2013-03-21,49.77,50.39,49.68,50.24,31452,0
2013-03-22,50.39,50.47,49.78,49.91,19222,0
2013-03-25,50.04,50.56,49.9,50.05,25761,0
2013-03-26,50.29,51.16,50.16,50.6,23314,0
2013-03-27,50.45,50.92,50.39,50.87,17528,0
2013-03-28,50.89,51.19,50.48,51.12,15480,0
2013-04-01,51.03,54.05,50.4,52.38,53748,0
2013-04-02,55.01,55.37,54.06,54.3,94834,0
2013-04-03,54.34,55.62,53.93,54.43,50768,0
2013-04-04,54.45,55.08,54.25,54.6,24469,0
2013-04-05,54.27,54.47,53.63,54.0,20258,0
2013-04-08,53.96,54.59,53.36,54.49,21015,0
2013-04-09,54.51,55.89,54.37,55.53,34779,0
2013-04-10,55.82,56.47,55.56,56.09,22743,0
2013-04-11,56.14,56.72,55.82,56.7,23334,0
2013-04-12,56.6,56.93,56.46,56.78,22061,0
2013-04-15,56.54,56.76,55.23,55.26,20744,0
2013-04-16,55.89,56.69,55.14,56.64,34248,0
2013-04-17,56.33,56.35,54.61,55.29,32821,0
2013-04-18,54.01,55.18,53.51,54.18,42965,0
2013-04-19,54.58,55.96,54.5,55.87,24957,0
2013-04-22,55.88,55.92,54.88,55.02,18136,0
2013-04-23,55.3,55.81,54.82,55.55,19727,0
2013-04-24,57.18,57.36,56.4,56.99,32287,0
2013-04-25,57.22,57.39,56.24,56.88,33624,0
2013-04-26,56.83,57.41,56.65,57.01,19156,0
2013-04-29,57.35,57.54,56.05,56.16,34300,0
2013-04-30,57.1,58.64,56.57,57.44,50588,0
2013-05-01,57.53,59.38,57.45,58.25,37563,0
2013-05-02,58.48,59.18,58.13,58.35,26585,0
2013-05-03,58.54,59.09,58.29,59.0,22329,0
2013-05-06,58.92,59.47,58.52,58.69,24379,0
2013-05-07,58.76,59.08,58.3,59.07,35582,0
2013-05-08,59.16,59.5,58.81,59.35,30852,0
2013-05-09,59.16,59.51,58.54,59.49,20807,0
2013-05-10,59.43,59.71,58.88,59.1,31163,0
2013-05-13,59.11,59.58,59.0,59.25,32787,0
