Date,Open,High,Low,Close,Volume,OpenInterest
2012-01-03,22.24,22.625,22.21,22.44,62358,0
2012-01-04,22.375,22.375,22.03,22.285,57370,0
2012-01-05,22.045,22.635,21.665,22.43,57764,0
2012-01-06,22.425,22.455,22.07,22.12,40216,0
2012-01-09,21.74,21.845,21.235,21.615,112992,0
2012-01-10,21.96,22.12,21.845,21.935,82786,0
2012-01-11,21.845,22.145,21.75,22.105,69588,0
2012-01-12,22.23,22.43,21.75,22.035,72100,0
2012-01-13,21.69,21.72,21.15,21.59,73938,0
2012-01-17,21.91,22.09,21.795,21.88,70456,0
2012-01-18,21.89,22.665,21.705,22.59,73738,0
2012-01-19,22.78,23.625,22.78,23.565,147760,0
2012-01-20,23.57,23.99,23.44,23.955,84378,0
2012-01-23,23.965,24.33,23.85,24.025,53400,0
2012-01-24,23.855,24.615,23.72,24.535,80524,0
2012-01-25,24.385,24.605,24.175,24.58,75100,0
2012-01-26,24.795,24.795,24.15,24.39,81214,0
2012-01-27,24.23,24.64,24.135,24.52,73970,0
2012-01-30,24.275,24.305,23.84,24.205,84060,0
2012-01-31,24.57,24.625,24.065,24.115,87416,0
2012-02-01,24.095,24.425,23.29,24.13,178662,0
2012-02-02,24.245,24.335,23.875,24.24,61036,0
2012-02-03,24.57,25.165,24.48,24.99,87084,0
2012-02-06,24.775,24.885,24.64,24.8,43804,0
2012-02-07,24.66,24.945,24.515,24.64,58318,0
2012-02-08,24.67,24.775,24.475,24.685,45916,0
2012-02-09,24.75,24.84,24.275,24.515,54216,0
2012-02-10,24.2,24.235,24.0,24.165,50322,0
2012-02-13,24.195,24.545,24.195,24.455,54768,0
2012-02-14,24.38,24.38,23.98,24.28,58432,0
2012-02-15,24.43,24.52,23.91,24.035,52710,0
2012-02-16,23.93,24.3,23.865,24.09,63494,0
2012-02-17,24.145,24.165,23.84,24.005,63112,0
2012-02-21,24.105,24.275,23.86,23.955,58954,0
2012-02-22,23.92,23.955,23.475,23.48,63392,0
2012-02-23,23.485,23.735,23.44,23.62,54646,0
2012-02-24,23.75,23.875,23.395,23.45,52292,0
2012-02-27,23.32,23.435,23.095,23.35,55402,0
2012-02-28,23.42,23.5,23.075,23.445,55974,0
2012-02-29,23.515,23.97,23.515,23.625,75312,0
2012-03-01,23.685,24.045,23.58,23.705,51704,0
2012-03-02,23.715,23.755,23.47,23.54,42686,0
2012-03-05,23.415,23.65,23.34,23.515,32422,0
2012-03-06,23.18,23.26,22.46,22.61,76300,0
2012-03-07,22.805,22.86,22.6,22.65,50694,0
2012-03-08,22.82,22.82,22.185,22.38,86516,0
2012-03-09,22.35,22.775,22.22,22.58,73264,0
2012-03-12,22.58,22.62,22.26,22.365,43150,0
2012-03-13,22.475,23.04,22.41,23.035,55310,0
2012-03-14,22.995,23.285,22.87,23.105,63092,0
2012-03-15,23.14,23.76,23.025,23.75,71674,0
2012-03-16,23.78,23.93,23.385,23.435,59764,0
2012-03-19,23.445,24.11,23.4,23.785,76196,0
2012-03-20,23.62,23.935,23.47,23.78,51232,0
2012-03-21,23.82,23.82,23.275,23.345,66752,0
2012-03-22,23.2,23.205,22.67,22.8,57708,0
2012-03-23,22.85,22.96,22.71,22.86,38712,0
2012-03-26,23.12,23.47,23.015,23.43,71624,0
2012-03-27,23.53,23.58,23.2,23.32,37778,0
2012-03-28,23.32,23.42,22.925,23.255,41736,0
2012-03-29,23.08,23.16,22.615,22.9,50728,0
2012-03-30,23.04,23.135,22.765,22.995,31376,0
2012-04-02,22.95,23.29,22.875,23.205,51428,0
2012-04-03,23.095,23.235,22.63,22.92,54686,0
2012-04-04,22.635,22.645,22.305,22.52,52894,0
2012-04-05,22.385,22.485,22.21,22.4,39750,0
2012-04-09,21.98,21.98,21.715,21.81,44932,0
2012-04-10,21.685,21.875,21.02,21.11,97386,0
2012-04-11,21.44,21.585,21.25,21.52,66382,0
2012-04-12,21.55,22.12,21.545,22.105,74352,0
2012-04-13,22.075,22.105,21.435,21.44,61444,0
2012-04-16,21.435,21.655,21.23,21.4,46186,0
2012-04-17,21.645,21.925,21.38,21.85,54712,0
2012-04-18,21.73,21.73,21.325,21.4,54364,0
2012-04-19,21.44,21.495,20.965,21.145,80324,0
2012-04-20,21.215,21.385,20.795,20.81,87660,0
2012-04-23,20.505,20.745,20.26,20.68,135138,0
2012-04-24,20.81,21.275,20.725,21.0,91688,0
2012-04-25,22.13,22.845,22.01,22.63,171854,0
2012-04-26,22.575,22.625,22.155,22.51,84892,0
2012-04-27,22.61,22.705,22.28,22.585,48836,0
2012-04-30,22.475,22.55,22.26,22.52,51616,0
2012-05-01,22.485,23.08,22.43,22.755,81682,0
2012-05-02,22.7,22.7,22.21,22.505,55424,0
2012-05-03,22.495,22.65,22.15,22.175,69452,0
2012-05-04,22.035,22.09,21.56,21.74,63952,0
2012-05-07,21.65,21.9,21.5,21.87,58570,0
2012-05-08,21.63,21.845,21.4,21.795,55626,0
2012-05-09,21.445,21.625,21.205,21.385,57192,0
2012-05-10,21.675,21.87,21.48,21.545,55392,0
2012-05-11,21.31,21.97,21.205,21.68,56854,0
2012-05-14,21.215,21.505,21.15,21.365,63742,0
2012-05-15,21.24,21.59,21.17,21.285,69802,0
2012-05-16,21.535,21.775,20.8,20.805,75768,0
2012-05-17,20.585,20.69,19.83,19.91,137762,0
2012-05-18,20.045,20.195,19.45,19.535,93450,0
2012-05-21,19.815,20.08,19.535,19.865,63980,0
2012-05-22,19.955,20.385,19.865,20.055,71496,0
2012-05-23,19.875,19.985,19.42,19.92,76274,0
2012-05-24,20.06,20.065,19.59,19.84,57622,0
2012-05-25,19.83,19.94,19.52,19.61,43970,0
2012-05-29,19.825,20.14,19.775,20.125,58652,0
2012-05-30,19.905,19.945,19.61,19.83,60162,0
2012-05-31,19.875,20.195,19.535,20.04,72640,0
2012-06-01,19.7,19.71,19.285,19.325,69724,0
2012-06-04,19.375,19.51,19.07,19.225,60400,0
2012-06-05,19.09,19.56,19.09,19.445,62486,0
2012-06-06,19.685,20.26,19.59,20.265,58002,0
2012-06-07,20.475,20.88,20.355,20.45,65306,0
2012-06-08,20.365,20.395,20.08,20.32,66970,0
2012-06-11,20.605,20.66,19.985,20.0,51138,0
2012-06-12,20.03,20.355,20.015,20.32,46408,0
2012-06-13,20.235,20.525,20.05,20.14,48302,0
2012-06-14,20.225,20.85,20.095,20.815,80594,0
2012-06-15,20.935,21.065,20.825,20.99,61052,0
2012-06-18,20.905,20.905,20.56,20.685,47146,0
2012-06-19,20.845,21.21,20.815,21.115,44294,0
2012-06-20,21.175,21.375,20.96,21.195,45084,0
2012-06-21,21.27,21.405,20.445,20.535,51364,0
2012-06-22,20.685,20.75,20.425,20.555,39358,0
2012-06-25,20.305,20.305,19.67,19.835,58582,0
2012-06-26,19.925,20.24,19.815,20.11,46806,0
2012-06-27,20.18,20.415,20.035,20.37,33152,0
2012-06-28,20.105,20.515,20.035,20.5,48672,0
2012-06-29,21.125,21.31,21.005,21.295,68696,0
2012-07-02,21.495,21.7,21.14,21.415,40898,0
2012-07-03,21.415,21.755,21.31,21.685,28392,0
2012-07-05,21.495,21.625,21.3,21.475,31844,0
2012-07-06,21.195,21.38,21.05,21.315,25888,0
2012-07-09,21.25,21.315,21.09,21.28,25922,0
2012-07-10,21.425,21.645,21.045,21.145,41990,0
2012-07-11,21.22,21.535,21.195,21.48,48486,0
2012-07-12,21.375,21.38,21.08,21.22,39040,0
2012-07-13,21.38,21.875,21.295,21.8,47160,0
2012-07-16,21.715,21.73,21.45,21.6,36410,0
2012-07-17,21.77,21.85,21.435,21.805,42604,0
2012-07-18,21.885,22.095,21.775,21.95,40800,0
2012-07-19,22.01,22.135,21.885,22.02,36304,0
2012-07-20,22.015,22.1,21.465,21.64,64680,0
2012-07-23,21.44,21.44,20.9,21.205,83978,0
2012-07-24,21.2,21.325,20.735,21.01,59040,0
2012-07-25,21.15,21.22,20.485,20.645,86792,0
2012-07-26,21.05,21.195,20.565,20.74,77474,0
2012-07-27,20.925,21.86,20.81,21.745,72236,0
2012-07-30,21.66,22.0,21.575,21.92,47272,0
2012-07-31,22.07,22.07,21.76,21.89,43928,0
2012-08-01,22.05,23.46,21.785,21.9,194314,0
2012-08-02,21.745,21.775,21.195,21.57,107520,0
2012-08-03,22.045,22.48,21.905,22.29,68904,0
2012-08-06,22.355,22.62,22.29,22.47,40902,0
2012-08-07,22.6,22.97,22.525,22.775,60532,0
2012-08-08,22.6,22.955,22.6,22.89,35306,0
2012-08-09,22.6,22.955,22.515,22.85,48044,0
2012-08-10,22.77,22.975,22.65,22.93,35436,0
2012-08-13,22.815,22.88,22.615,22.78,30602,0
2012-08-14,22.95,23.025,22.545,22.615,35432,0
2012-08-15,22.61,22.95,22.565,22.82,33628,0
2012-08-16,22.85,23.035,22.69,22.95,36846,0
2012-08-17,22.985,23.08,22.765,23.06,37524,0
2012-08-20,22.975,23.14,22.87,23.05,38232,0
2012-08-21,23.18,23.45,23.05,23.255,58528,0
