Date,Open,High,Low,Close,Volume,OpenInterest
2006-01-03,8.96,8.96,8.645,8.815,17444,0
2006-01-04,8.875,9.05,8.875,8.985,25576,0
2006-01-05,9.01,9.01,8.775,8.885,33384,0
2006-01-06,8.89,8.89,8.67,8.82,14848,0
2006-01-09,8.75,8.99,8.74,8.95,19700,0
2006-01-10,8.925,8.945,8.805,8.885,8508,0
2006-01-11,8.925,8.925,8.325,8.36,31244,0
2006-01-12,7.95,8.14,7.905,8.045,95532,0
2006-01-13,8.105,8.16,7.815,7.935,47708,0
2006-01-17,7.775,7.82,7.51,7.575,38928,0
2006-01-18,7.515,7.845,7.465,7.73,29324,0
2006-01-19,7.715,7.93,7.69,7.725,27748,0
2006-01-20,7.735,7.75,7.475,7.51,29644,0
2006-01-23,7.55,7.675,7.515,7.64,18848,0
2006-01-24,7.725,7.905,7.725,7.85,21584,0
2006-01-25,7.87,7.9,7.675,7.825,18896,0
2006-01-26,7.85,7.925,7.69,7.705,30900,0
2006-01-27,7.75,7.75,7.5,7.605,25148,0
2006-01-30,7.69,7.775,7.58,7.615,22284,0
2006-01-31,7.9,8.035,7.805,7.99,35448,0
2006-02-01,8.02,8.05,7.735,7.84,17804,0
2006-02-02,7.875,8.04,7.825,7.985,23464,0
2006-02-03,7.95,7.95,7.77,7.895,16072,0
2006-02-06,7.895,7.895,7.665,7.725,16000,0
2006-02-07,7.745,7.745,7.59,7.62,14268,0
2006-02-08,7.635,7.775,7.635,7.745,15584,0
2006-02-09,7.81,7.935,7.75,7.89,18368,0
2006-02-10,7.93,7.975,7.785,7.94,13840,0
2006-02-13,7.95,8.08,7.85,7.88,13844,0
2006-02-14,7.915,8.18,7.895,8.125,34360,0
2006-02-15,8.12,8.235,8.05,8.215,44584,0
2006-02-16,8.215,8.28,8.17,8.21,28640,0
2006-02-17,7.98,8.215,7.98,8.01,12560,0
2006-02-21,7.975,8.0,7.825,7.87,11412,0
2006-02-22,7.94,8.045,7.87,8.0,10904,0
2006-02-23,8.065,8.19,8.02,8.05,23680,0
2006-02-24,8.0,8.02,7.825,7.915,13644,0
2006-02-27,7.975,8.155,7.975,8.09,14788,0
2006-02-28,8.065,8.1,7.945,8.0,16076,0
2006-03-01,8.05,8.075,7.895,7.97,20232,0
2006-03-02,7.96,7.98,7.76,7.805,22348,0
2006-03-03,7.8,7.8,7.575,7.595,35412,0
2006-03-06,7.36,7.645,7.36,7.515,19436,0
2006-03-07,7.51,7.67,7.44,7.565,24168,0
2006-03-08,7.575,7.745,7.525,7.705,21440,0
2006-03-09,7.7,7.715,7.45,7.53,19652,0
2006-03-10,7.57,7.61,7.51,7.58,13280,0
2006-03-13,7.65,7.765,7.54,7.565,22564,0
2006-03-14,7.59,7.745,7.59,7.705,18272,0
2006-03-15,7.72,7.775,7.65,7.725,33052,0
2006-03-16,7.815,7.92,7.81,7.91,26344,0
2006-03-17,7.965,8.1,7.925,8.09,39748,0
2006-03-20,8.115,8.41,8.1,8.38,58796,0
2006-03-21,8.45,8.61,8.41,8.44,54228,0
2006-03-22,8.44,8.685,8.44,8.68,48632,0
2006-03-23,8.675,8.69,8.515,8.565,64664,0
2006-03-24,8.57,8.65,8.55,8.58,32888,0
2006-03-27,8.625,8.805,8.625,8.755,38216,0
2006-03-28,8.755,8.76,8.585,8.59,50068,0
2006-03-29,8.645,8.87,8.615,8.87,27728,0
2006-03-30,8.865,8.885,8.675,8.765,36300,0
2006-03-31,8.815,8.99,8.815,8.855,37788,0
2006-04-03,8.975,8.975,8.65,8.705,35916,0
2006-04-04,8.76,8.86,8.675,8.765,24824,0
2006-04-05,8.775,8.825,8.645,8.705,16192,0
2006-04-06,8.71,8.75,8.575,8.74,17240,0
2006-04-07,8.825,8.925,8.74,8.805,25016,0
2006-04-10,8.79,8.825,8.645,8.695,31472,0
2006-04-11,8.7,8.74,8.5,8.515,19452,0
2006-04-12,8.625,8.675,8.465,8.57,11132,0
2006-04-13,8.575,8.985,8.55,8.8,18692,0
2006-04-17,8.97,9.015,8.635,8.675,36912,0
2006-04-18,8.66,9.04,8.625,8.895,28500,0
2006-04-19,8.89,9.01,8.75,8.84,22076,0
2006-04-20,9.375,9.375,9.125,9.235,49608,0
2006-04-21,9.375,9.6,9.375,9.425,48132,0
2006-04-24,9.425,9.625,9.315,9.585,44664,0
2006-04-25,9.54,9.78,9.425,9.64,36404,0
2006-04-26,9.645,9.74,9.485,9.545,19064,0
2006-04-27,9.545,9.84,9.525,9.675,19156,0
2006-04-28,9.615,9.615,9.41,9.47,32140,0
2006-05-01,9.49,9.59,9.3,9.335,30664,0
2006-05-02,9.59,9.94,9.54,9.86,43472,0
2006-05-03,9.89,9.895,9.69,9.86,38232,0
2006-05-04,9.925,9.975,9.87,9.93,23376,0
2006-05-05,9.905,9.95,9.865,9.95,15800,0
2006-05-08,9.98,10.09,9.86,9.92,18532,0
2006-05-09,9.955,10.125,9.95,10.115,16104,0
2006-05-10,10.07,10.135,9.785,9.85,20004,0
2006-05-11,9.825,9.825,9.595,9.6,22292,0
2006-05-12,9.595,9.69,9.36,9.37,25492,0
2006-05-15,9.45,9.905,9.445,9.85,28016,0
2006-05-16,9.855,9.9,9.35,9.38,22472,0
2006-05-17,9.385,9.545,9.165,9.25,31632,0
2006-05-18,9.305,9.515,9.24,9.25,13104,0
2006-05-19,9.275,9.565,9.21,9.495,30792,0
2006-05-22,9.45,9.59,9.4,9.49,34288,0
2006-05-23,9.575,9.815,9.575,9.65,30480,0
2006-05-24,9.71,9.725,9.45,9.515,28236,0
2006-05-25,9.615,9.65,9.5,9.52,20668,0
2006-05-26,9.6,9.76,9.54,9.63,29484,0
2006-05-30,9.63,9.75,9.355,9.375,34500,0
2006-05-31,9.445,9.75,9.445,9.7,27228,0
2006-06-01,9.75,10.0,9.75,9.955,17948,0
2006-06-02,9.955,9.975,9.75,9.815,19084,0
2006-06-05,9.775,9.825,9.515,9.55,30336,0
2006-06-06,9.665,9.75,9.335,9.67,25872,0
2006-06-07,9.75,9.95,9.66,9.68,28956,0
2006-06-08,9.66,9.66,9.115,9.46,28964,0
2006-06-09,9.465,9.65,9.39,9.415,11496,0
2006-06-12,9.47,9.47,8.945,8.95,23260,0
2006-06-13,8.955,9.05,8.66,8.73,39640,0
2006-06-14,8.755,9.075,8.755,8.99,19928,0
2006-06-15,8.99,9.56,8.91,9.51,22056,0
2006-06-16,9.5,9.75,9.43,9.485,23952,0
2006-06-19,9.55,9.65,9.41,9.46,20424,0
2006-06-20,9.47,9.86,9.455,9.685,19328,0
2006-06-21,9.675,9.93,9.655,9.76,18464,0
2006-06-22,9.715,9.845,9.635,9.785,22100,0
2006-06-23,9.73,9.81,9.58,9.74,13196,0
2006-06-26,9.765,9.875,9.585,9.835,18120,0
2006-06-27,9.85,9.9,9.47,9.5,20536,0
2006-06-28,9.55,9.59,9.145,9.285,29892,0
2006-06-29,9.35,9.83,9.335,9.81,22560,0
2006-06-30,9.815,9.84,9.485,9.84,20260,0
2006-07-03,9.89,9.89,9.685,9.77,10048,0
2006-07-05,9.75,9.93,9.485,9.855,23880,0
2006-07-06,9.875,9.895,9.575,9.635,20728,0
2006-07-07,9.6,9.805,9.455,9.645,18760,0
2006-07-10,9.725,10.05,9.175,9.93,23976,0
2006-07-11,9.875,9.915,9.625,9.905,24684,0
2006-07-12,9.875,9.965,9.59,9.645,15720,0
2006-07-13,9.625,9.625,9.025,9.055,20704,0
2006-07-14,9.02,9.02,8.43,8.485,47248,0
2006-07-17,8.49,8.72,8.4,8.595,28140,0
2006-07-18,8.59,8.805,8.51,8.775,33068,0
2006-07-19,8.865,9.17,8.825,9.145,32440,0
2006-07-20,9.145,9.15,8.82,8.84,30468,0
2006-07-21,8.84,8.84,8.525,8.685,21600,0
