Date,Open,High,Low,Close,Volume,OpenInterest
2015-01-02,9.46,9.54,9.26,9.31,38234,0
2015-01-05,9.24,9.28,9.11,9.16,71262,0
2015-01-06,9.14,9.14,8.54,8.61,90802,0
2015-01-07,8.63,8.69,8.42,8.52,129393,0
2015-01-08,8.56,8.89,8.5,8.83,93416,0
2015-01-09,8.85,8.89,8.16,8.17,105418,0
2015-01-12,8.16,8.23,7.9,7.97,73237,0
2015-01-13,8.02,8.22,7.86,7.96,123191,0
2015-01-14,7.83,7.86,7.62,7.73,124599,0
2015-01-15,7.76,7.83,7.59,7.61,123040,0
2015-01-16,7.62,7.79,7.46,7.47,110931,0
2015-01-20,7.48,7.64,7.25,7.5,172187,0
2015-01-21,7.48,7.68,7.43,7.56,101951,0
2015-01-22,7.59,9.08,7.57,8.66,457939,0
2015-01-23,8.49,8.5,7.65,7.98,283486,0
2015-01-26,7.98,8.66,7.85,8.16,193241,0
2015-01-27,8.06,8.14,7.89,7.91,81223,0
2015-01-28,7.92,8.04,7.69,7.72,81458,0
2015-01-29,7.88,8.16,7.73,7.9,96286,0
2015-01-30,7.85,7.87,7.64,7.74,79802,0
2015-02-02,7.75,8.12,7.75,8.12,94442,0
2015-02-03,8.14,8.77,8.14,8.71,156490,0
2015-02-04,8.68,8.8,8.52,8.74,124571,0
2015-02-05,8.78,8.92,8.64,8.87,75962,0
2015-02-06,8.87,8.98,8.81,8.88,60750,0
2015-02-09,8.82,8.94,8.73,8.76,79710,0
2015-02-10,8.77,8.8,8.45,8.66,80112,0
2015-02-11,8.69,8.73,8.45,8.58,87899,0
2015-02-12,8.2,9.2,8.1,8.69,187774,0
2015-02-13,8.72,9.1,8.71,9.08,165947,0
2015-02-17,9.09,9.11,8.86,9.06,67136,0
2015-02-18,9.06,9.19,8.89,9.1,108488,0
2015-02-19,9.02,9.03,8.7,8.73,76113,0
2015-02-20,8.7,8.75,8.35,8.45,64866,0
2015-02-23,8.3,8.54,8.25,8.44,64195,0
2015-02-24,8.45,8.67,8.45,8.63,71112,0
2015-02-25,8.64,8.84,8.39,8.45,70162,0
2015-02-26,8.45,8.54,8.17,8.39,55517,0
2015-02-27,8.4,8.55,8.34,8.51,62577,0
2015-03-02,8.56,8.94,8.5,8.86,126473,0
2015-03-03,8.83,9.05,8.78,8.82,93540,0
2015-03-04,8.86,9.13,8.84,9.1,133776,0
2015-03-05,9.12,9.26,8.96,9.05,239020,0
2015-03-06,9.03,9.23,8.9,8.9,165315,0
2015-03-09,8.94,9.13,8.87,9.0,90834,0
2015-03-10,8.87,8.91,8.43,8.44,76947,0
2015-03-11,8.42,8.53,8.02,8.48,130889,0
2015-03-12,8.53,8.62,8.18,8.2,81963,0
2015-03-13,8.17,8.2,7.64,7.72,136705,0
2015-03-16,7.71,7.72,7.26,7.28,284481,0
2015-03-17,7.36,7.61,7.29,7.32,110917,0
2015-03-18,7.29,7.62,7.1,7.47,157000,0
2015-03-19,7.45,7.52,7.25,7.28,85968,0
2015-03-20,7.35,7.64,7.25,7.63,137185,0
2015-03-23,7.63,8.04,7.62,7.95,96433,0
2015-03-24,7.96,8.39,7.94,8.25,159881,0
2015-03-25,8.25,8.25,7.93,7.93,98006,0
2015-03-26,7.89,8.07,7.85,7.9,97357,0
2015-03-27,7.92,8.09,7.74,7.87,64558,0
2015-03-30,7.91,7.97,7.86,7.9,51924,0
2015-03-31,7.86,8.02,7.82,7.99,82204,0
2015-04-01,8.03,8.19,7.83,7.85,108204,0
2015-04-02,7.86,7.98,7.81,7.97,58093,0
2015-04-06,7.86,8.55,7.82,8.43,106927,0
2015-04-07,8.43,8.44,8.15,8.18,67029,0
2015-04-08,8.17,8.3,7.99,8.18,60878,0
2015-04-09,8.18,8.25,7.97,8.05,36027,0
2015-04-10,8.06,8.17,7.86,7.9,45860,0
2015-04-13,8.01,8.1,7.79,8.01,49706,0
2015-04-14,7.99,9.47,7.9,9.15,319702,0
2015-04-15,9.1,9.18,8.85,8.94,198701,0
2015-04-16,8.88,8.98,8.64,8.8,134958,0
2015-04-17,8.76,8.89,8.58,8.74,105100,0
2015-04-20,8.81,8.85,8.57,8.66,64919,0
2015-04-21,8.73,8.92,8.61,8.88,149852,0
2015-04-22,8.9,8.92,8.69,8.81,97934,0
2015-04-23,8.79,9.0,8.74,8.99,62900,0
2015-04-24,8.99,9.04,8.91,9.02,82021,0
2015-04-27,9.0,9.15,8.93,9.11,133198,0
2015-04-28,9.06,9.13,8.77,8.78,90616,0
2015-04-29,8.73,8.79,8.63,8.67,92970,0
2015-04-30,8.57,8.6,7.79,8.17,267857,0
2015-05-01,8.17,8.32,7.92,8.16,167539,0
2015-05-04,8.11,8.27,7.96,8.17,135460,0
2015-05-05,8.17,8.21,7.09,7.2,220112,0
2015-05-06,7.21,7.33,6.96,7.07,123813,0
2015-05-07,7.05,7.25,6.95,7.02,71253,0
2015-05-08,7.16,7.24,6.94,7.21,66380,0
2015-05-11,7.2,7.23,7.04,7.06,41774,0
2015-05-12,6.96,6.97,6.74,6.76,95471,0
2015-05-13,6.74,6.87,6.64,6.67,120670,0
2015-05-14,6.71,8.0,6.54,7.07,673831,0
2015-05-15,6.86,7.16,6.84,6.96,200504,0
2015-05-18,6.97,7.19,6.9,7.18,91855,0
2015-05-19,7.2,7.2,6.93,6.99,94946,0
2015-05-20,7.02,7.05,6.76,6.79,98454,0
2015-05-21,6.76,6.94,6.72,6.91,73061,0
2015-05-22,6.91,7.09,6.85,7.02,94552,0
2015-05-26,7.02,7.06,6.84,6.88,143614,0
2015-05-27,6.9,6.9,6.61,6.7,191678,0
2015-05-28,6.66,6.68,6.55,6.64,69004,0
2015-05-29,6.65,6.86,6.59,6.72,111575,0
2015-06-01,6.74,6.79,6.42,6.68,114023,0
2015-06-02,6.47,6.62,6.46,6.56,59285,0
2015-06-03,6.61,6.61,6.47,6.49,54346,0
2015-06-04,6.44,6.53,6.34,6.41,81558,0
2015-06-05,6.45,6.82,6.36,6.71,151338,0
2015-06-08,6.6,6.86,6.53,6.81,125380,0
2015-06-09,6.82,6.94,6.72,6.8,66127,0
2015-06-10,6.84,6.92,6.75,6.8,56944,0
2015-06-11,6.81,6.96,6.78,6.94,65223,0
2015-06-12,6.88,6.95,6.79,6.88,70982,0
2015-06-15,6.78,6.81,6.59,6.63,72215,0
2015-06-16,6.65,6.71,6.53,6.64,43961,0
2015-06-17,6.65,6.78,6.58,6.76,40800,0
2015-06-18,6.79,6.85,6.72,6.81,60221,0
