Date,Open,High,Low,Close,Volume,OpenInterest
2014-01-02,48.75,48.9,47.3,47.69,2080,0
2014-01-03,47.69,47.97,47.34,47.6,1750,0
2014-01-06,47.6,47.66,46.34,46.74,1577,0
2014-01-07,46.99,47.02,46.07,46.94,1831,0
2014-01-08,44.0,44.0,40.3,40.39,9545,0
2014-01-09,40.41,40.49,40.0,40.34,4979,0
2014-01-10,40.42,40.97,40.09,40.34,2688,0
2014-01-13,40.21,40.51,40.0,40.25,2132,0
2014-01-14,40.54,41.06,40.18,40.32,1664,0
2014-01-15,40.52,41.2,40.18,41.06,1571,0
2014-01-16,41.09,41.48,40.75,41.17,846,0
2014-01-17,41.09,42.84,41.05,42.57,2313,0
2014-01-21,42.98,42.99,42.36,42.63,1558,0
2014-01-22,42.82,42.84,42.33,42.58,729,0
2014-01-23,42.5,42.68,42.03,42.61,1020,0
2014-01-24,42.5,42.5,41.67,41.91,2245,0
2014-01-27,43.36,43.85,42.21,42.63,2809,0
2014-01-28,42.64,42.9,42.35,42.89,1486,0
2014-01-29,42.5,42.76,41.5,41.64,1313,0
2014-01-30,41.87,42.29,41.33,41.85,1293,0
2014-01-31,41.15,41.89,41.03,41.81,969,0
2014-02-03,41.94,42.09,40.88,41.04,1936,0
2014-02-04,41.15,41.47,40.87,41.28,1004,0
2014-02-05,41.22,41.41,40.97,41.24,1086,0
2014-02-06,41.25,41.66,41.12,41.41,1365,0
2014-02-07,41.47,42.22,41.47,42.19,1344,0
2014-02-10,42.29,42.71,42.08,42.5,1994,0
2014-02-11,42.59,42.71,42.19,42.43,1120,0
2014-02-12,42.42,42.99,42.23,42.94,1874,0
2014-02-13,42.68,42.91,42.29,42.75,725,0
2014-02-14,42.76,43.03,42.52,42.94,715,0
2014-02-18,43.07,43.47,42.5,43.39,1194,0
2014-02-19,43.2,43.67,42.88,43.33,1384,0
2014-02-20,43.3,43.88,43.07,43.75,787,0
2014-02-21,43.97,44.5,43.88,44.17,1088,0
2014-02-24,44.07,44.78,44.07,44.41,809,0
2014-02-25,44.42,44.7,44.09,44.29,1284,0
2014-02-26,44.47,45.6,44.14,45.12,1761,0
2014-02-27,45.0,45.3,44.65,44.77,414,0
2014-02-28,44.9,44.97,44.25,44.37,1033,0
2014-03-03,44.12,44.12,42.78,43.92,1290,0
2014-03-04,44.4,45.93,44.4,45.01,1253,0
2014-03-05,45.06,45.1,44.66,44.78,974,0
2014-03-06,45.01,45.69,44.91,45.58,1731,0
2014-03-07,45.8,46.0,45.25,45.59,820,0
2014-03-10,45.55,45.73,44.7,44.72,1324,0
2014-03-11,44.7,44.87,43.57,43.79,821,0
2014-03-12,43.49,43.82,43.2,43.33,857,0
2014-03-13,43.62,44.04,42.55,42.78,680,0
2014-03-14,42.6,43.5,42.41,43.37,680,0
2014-03-17,43.5,43.99,43.42,43.59,454,0
2014-03-18,43.74,44.72,43.64,44.65,922,0
2014-03-19,44.63,45.1,44.6,44.68,843,0
2014-03-20,44.69,44.87,43.84,43.96,663,0
2014-03-21,44.18,44.18,43.46,43.58,2076,0
2014-03-24,43.81,44.0,43.06,43.3,736,0
2014-03-25,43.42,43.71,42.95,43.42,1259,0
2014-03-26,43.78,43.89,42.22,42.23,766,0
2014-03-27,42.3,42.32,41.75,41.93,940,0
2014-03-28,41.93,42.16,41.72,41.86,2231,0
2014-03-31,41.9,44.81,41.5,44.68,1888,0
2014-04-01,44.61,44.61,43.92,44.37,985,0
2014-04-02,44.42,44.42,43.92,44.08,978,0
2014-04-03,44.03,44.54,43.71,44.34,950,0
2014-04-04,45.25,46.82,44.27,45.7,2812,0
2014-04-07,45.68,45.85,43.23,43.32,1468,0
2014-04-08,43.24,44.55,43.04,44.09,1169,0
2014-04-09,44.38,44.87,44.01,44.76,581,0
2014-04-10,44.87,45.32,43.51,43.58,1165,0
2014-04-11,43.08,43.5,42.33,42.5,700,0
2014-04-14,42.96,43.54,42.53,43.33,449,0
2014-04-15,43.34,43.5,41.8,43.15,843,0
2014-04-16,43.22,44.22,43.22,43.86,697,0
2014-04-17,43.78,44.55,43.69,44.43,493,0
2014-04-21,44.58,44.7,43.62,44.09,444,0
2014-04-22,44.23,44.4,43.89,44.31,1001,0
2014-04-23,44.15,44.58,44.1,44.28,557,0
2014-04-24,44.72,44.76,43.92,44.41,495,0
2014-04-25,44.2,44.4,43.11,43.4,439,0
2014-04-28,43.64,44.19,42.93,43.81,819,0
2014-04-29,44.09,44.55,43.38,43.5,481,0
2014-04-30,43.47,43.57,42.81,43.42,704,0
2014-05-01,43.23,44.31,42.62,44.15,1198,0
2014-05-02,44.29,45.0,44.11,44.65,422,0
2014-05-05,44.19,44.92,43.79,44.77,696,0
2014-05-06,44.44,44.98,43.17,43.2,479,0
2014-05-07,43.37,44.1,42.89,44.03,619,0
2014-05-08,44.02,44.77,43.31,43.45,549,0
2014-05-09,43.22,44.12,43.11,43.89,557,0
2014-05-12,44.21,46.12,43.85,45.8,850,0
2014-05-13,45.71,45.75,44.54,44.67,633,0
2014-05-14,44.71,44.86,43.06,43.1,538,0
2014-05-15,42.75,42.97,41.98,42.6,536,0
2014-05-16,42.54,42.98,42.18,42.75,254,0
2014-05-19,42.72,43.71,42.55,43.47,305,0
2014-05-20,43.25,43.44,42.07,42.51,483,0
2014-05-21,42.64,43.42,42.16,42.73,415,0
2014-05-22,42.7,43.28,42.43,43.08,214,0
2014-05-23,43.08,44.09,42.94,43.89,376,0
2014-05-27,44.27,45.4,44.27,44.83,340,0
2014-05-28,44.74,45.0,44.51,44.62,293,0
2014-05-29,44.85,44.88,44.13,44.21,341,0
2014-05-30,44.42,44.8,44.19,44.51,262,0
2014-06-02,44.8,44.8,43.32,43.91,401,0
2014-06-03,43.88,44.3,43.26,43.39,405,0
2014-06-04,43.25,44.1,43.12,43.7,366,0
2014-06-05,43.66,44.61,43.31,44.08,1316,0
2014-06-06,44.43,44.98,44.25,44.77,660,0
2014-06-09,44.73,46.04,44.73,45.92,665,0
2014-06-10,45.77,46.01,45.48,45.91,233,0
2014-06-11,45.51,45.78,45.27,45.56,1036,0
2014-06-12,45.57,45.81,44.68,44.81,1168,0
2014-06-13,45.05,45.06,44.2,44.38,379,0
2014-06-16,44.12,44.21,43.55,44.07,369,0
2014-06-17,43.85,44.75,43.82,44.57,515,0
2014-06-18,44.48,45.06,44.31,45.03,303,0
2014-06-19,45.26,45.35,44.68,45.03,366,0
2014-06-20,44.5,44.78,44.01,44.22,1617,0
2014-06-23,44.53,44.69,43.87,43.92,546,0
2014-06-24,43.98,44.77,43.98,44.25,571,0
2014-06-25,43.95,44.53,43.85,44.17,404,0
2014-06-26,43.97,43.97,41.3,42.03,3913,0
2014-06-27,43.0,45.2,43.0,45.18,3154,0
2014-06-30,44.93,46.09,44.02,46.08,1523,0
2014-07-01,46.09,47.62,45.88,47.5,1919,0
2014-07-02,47.31,47.66,46.91,47.66,1483,0
2014-07-03,47.7,49.0,47.35,49.09,1019,0
2014-07-07,48.19,48.62,47.71,48.0,1087,0
2014-07-08,47.8,48.57,47.12,48.41,937,0
2014-07-09,48.3,48.68,48.05,48.4,873,0
2014-07-10,47.4,48.42,47.18,47.72,948,0
2014-07-11,47.53,47.75,46.75,47.36,412,0
2014-07-14,47.95,47.95,47.06,47.14,1030,0
2014-07-15,47.0,47.36,46.76,46.84,1118,0
2014-07-16,47.09,47.09,46.43,46.64,782,0
2014-07-17,46.11,46.89,46.04,46.16,872,0
2014-07-18,45.98,47.24,45.66,47.2,873,0
2014-07-21,46.87,47.16,46.39,46.96,429,0
2014-07-22,47.0,47.97,47.0,47.64,612,0
2014-07-23,47.65,48.05,47.17,47.44,1008,0
2014-07-24,47.58,48.25,46.66,46.84,727,0
2014-07-25,46.27,46.75,46.07,46.32,507,0
2014-07-28,46.22,46.3,45.27,45.45,472,0
2014-07-29,45.41,45.64,44.92,45.06,321,0
2014-07-30,45.32,45.32,44.69,44.9,470,0
2014-07-31,44.24,44.74,43.6,43.64,1178,0
2014-08-01,43.76,44.63,42.62,42.99,2033,0
2014-08-04,43.15,43.5,42.51,42.56,1184,0
2014-08-05,42.4,43.73,42.38,43.24,1662,0
2014-08-06,42.88,44.6,42.88,44.05,1236,0
2014-08-07,44.07,44.32,43.7,43.85,839,0
2014-08-08,43.9,44.72,43.78,44.54,443,0
2014-08-11,44.59,45.76,44.51,45.1,610,0
2014-08-12,44.93,45.26,44.64,44.97,333,0
2014-08-13,44.97,45.59,44.97,45.33,320,0
2014-08-14,45.5,45.73,44.76,45.41,422,0
2014-08-15,45.91,46.34,45.11,45.67,1023,0
2014-08-18,46.3,46.55,45.95,46.45,658,0
2014-08-19,46.5,46.98,46.34,46.84,696,0
2014-08-20,46.6,46.6,46.08,46.21,654,0
2014-08-21,46.21,47.18,45.24,47.07,1978,0
2014-08-22,46.94,46.94,45.55,45.61,663,0
2014-08-25,45.74,46.07,45.37,45.85,587,0
2014-08-26,45.74,46.62,45.74,46.51,701,0
2014-08-27,46.56,47.46,46.45,47.03,1031,0
2014-08-28,46.69,46.98,46.38,46.59,580,0
2014-08-29,46.51,46.85,46.25,46.34,718,0
2014-09-02,46.54,46.79,46.14,46.3,765,0
2014-09-03,46.27,46.41,45.37,45.62,953,0
2014-09-04,45.79,46.24,45.51,45.67,416,0
2014-09-05,45.48,46.0,45.47,45.66,593,0
2014-09-08,45.49,45.79,45.07,45.2,550,0
2014-09-09,45.12,45.21,44.58,44.79,700,0
2014-09-10,44.8,45.14,44.4,45.12,455,0
2014-09-11,44.85,45.35,44.85,45.15,840,0
2014-09-12,45.27,45.27,44.85,44.95,635,0
2014-09-15,44.9,45.04,44.11,44.13,887,0
2014-09-16,44.06,44.58,44.0,44.25,713,0
2014-09-17,44.34,44.81,44.18,44.33,497,0
2014-09-18,44.37,44.77,44.22,44.6,396,0
2014-09-19,44.63,44.65,44.09,44.35,956,0
2014-09-22,44.08,44.24,43.75,44.0,1215,0
2014-09-23,43.87,44.23,43.24,43.55,878,0
2014-09-24,43.78,44.08,43.0,43.84,607,0
2014-09-25,43.55,43.63,42.65,43.19,731,0
2014-09-26,43.23,43.46,42.86,43.21,356,0
2014-09-29,42.78,43.01,42.52,42.71,373,0
2014-09-30,42.79,42.86,41.77,41.77,2469,0
2014-10-01,36.87,42.0,36.84,41.96,6203,0
2014-10-02,42.05,43.68,42.05,43.22,1944,0
2014-10-03,43.55,43.55,42.66,42.87,737,0
2014-10-06,42.95,43.15,42.46,42.79,680,0
2014-10-07,42.46,42.49,41.95,41.97,697,0
2014-10-08,41.83,43.02,41.63,42.99,961,0
2014-10-09,42.92,43.1,42.08,42.26,1348,0
2014-10-10,42.15,43.09,41.88,42.08,1346,0
2014-10-13,42.11,42.67,41.95,42.06,1618,0
2014-10-14,42.41,42.9,41.9,42.23,1362,0
2014-10-15,41.5,42.83,41.2,42.72,1780,0
2014-10-16,42.0,43.73,41.59,43.45,995,0
2014-10-17,43.95,43.95,42.83,42.87,824,0
2014-10-20,42.63,43.45,42.63,42.89,841,0
2014-10-21,43.01,44.59,42.73,44.25,866,0
2014-10-22,44.33,44.78,43.33,43.4,580,0
