Date,Open,High,Low,Close,Volume,OpenInterest
2013-01-02,26.21,26.89,26.13,26.88,83568,0
2013-01-03,26.86,26.86,26.41,26.58,59607,0
2013-01-04,26.43,27.32,26.27,27.29,85893,0
2013-01-07,26.69,26.91,26.3,26.89,63519,0
2013-01-08,26.8,26.81,26.38,26.52,44867,0
2013-01-09,26.64,26.92,26.47,26.61,48827,0
2013-01-10,26.88,27.0,26.66,26.83,90886,0
2013-01-11,26.81,26.81,26.42,26.78,50186,0
2013-01-14,26.67,26.79,26.48,26.72,45130,0
2013-01-15,26.63,26.89,26.58,26.78,74168,0
2013-01-16,25.82,26.2,25.62,26.04,107534,0
2013-01-17,25.82,26.58,25.72,26.44,86688,0
2013-01-18,26.4,26.57,26.11,26.53,92420,0
2013-01-22,26.43,27.0,26.43,26.98,82062,0
2013-01-23,26.81,27.0,26.76,26.93,68926,0
2013-01-24,26.81,27.12,26.8,27.01,64206,0
2013-01-25,27.07,27.19,26.85,27.08,47041,0
2013-01-28,27.15,27.26,26.84,27.09,73386,0
2013-01-29,26.92,27.28,26.89,27.28,55589,0
2013-01-30,27.15,27.45,27.03,27.31,45259,0
2013-01-31,27.2,27.33,27.08,27.16,43275,0
2013-02-01,27.26,27.67,27.2,27.35,49604,0
2013-02-04,27.06,27.35,27.0,27.19,61793,0
2013-02-05,27.05,27.5,27.05,27.39,51837,0
2013-02-06,27.21,27.65,27.1,27.65,46574,0
2013-02-07,27.61,27.86,27.5,27.81,68482,0
2013-02-08,27.8,28.0,27.76,27.9,57022,0
2013-02-11,27.83,27.94,27.6,27.93,39763,0
2013-02-12,27.7,28.0,27.65,27.9,54998,0
2013-02-13,27.96,28.45,27.93,28.17,66171,0
2013-02-14,28.1,28.21,28.03,28.1,33538,0
2013-02-15,28.16,28.36,27.8,27.99,52693,0
2013-02-19,28.1,28.26,27.96,28.24,41406,0
2013-02-20,28.2,28.26,27.82,27.86,43349,0
2013-02-21,27.84,27.86,27.2,27.32,41684,0
2013-02-22,27.5,27.66,27.42,27.63,34777,0
2013-02-25,27.8,27.88,26.82,26.82,49888,0
2013-02-26,26.98,27.12,26.67,27.07,53878,0
2013-02-27,27.03,27.46,26.9,27.4,43828,0
2013-02-28,27.4,27.5,27.12,27.14,54186,0
2013-03-01,26.99,27.35,26.74,27.2,51581,0
2013-03-04,27.16,27.59,27.09,27.58,33440,0
2013-03-05,27.82,28.01,27.74,27.84,40268,0
2013-03-06,28.03,28.2,27.73,27.75,60466,0
2013-03-07,27.82,28.08,27.77,28.01,47557,0
2013-03-08,28.22,28.65,28.18,28.52,54094,0
2013-03-11,28.4,28.71,28.18,28.63,31874,0
2013-03-12,28.56,28.71,28.49,28.61,35225,0
2013-03-13,28.63,28.97,28.57,28.87,38413,0
2013-03-14,28.92,29.13,28.82,28.99,41162,0
2013-03-15,28.85,29.07,28.52,28.85,86145,0
2013-03-18,28.37,28.48,28.27,28.36,53440,0
