Date,Open,High,Low,Close,Volume,OpenInterest
2012-01-03,67.14,67.68,66.71,67.52,18502,0
2012-01-04,67.33,67.77,66.93,67.1,9247,0
2012-01-05,66.87,67.3,66.62,67.19,6377,0
2012-01-06,67.17,67.39,66.37,67.16,11640,0
2012-01-09,67.34,67.45,66.88,67.38,6020,0
2012-01-10,67.53,68.06,67.42,67.96,11093,0
2012-01-11,67.8,67.97,67.51,67.93,9483,0
2012-01-12,67.99,68.44,67.17,68.37,6448,0
2012-01-13,68.02,68.15,67.6,68.03,9102,0
2012-01-17,68.48,69.05,68.19,68.93,12121,0
2012-01-18,69.05,69.37,68.66,69.35,9861,0
2012-01-19,69.45,70.3,69.31,70.24,18366,0
2012-01-20,70.22,70.22,69.34,69.99,12233,0
2012-01-23,70.08,70.1,68.87,69.21,9999,0
2012-01-24,68.56,68.93,67.97,68.63,8537,0
2012-01-25,68.64,68.96,68.3,68.64,8353,0
2012-01-26,68.73,69.3,68.68,68.84,5933,0
2012-01-27,68.58,68.84,68.28,68.56,5452,0
2012-01-30,68.35,68.49,67.77,68.31,7489,0
2012-01-31,68.59,68.96,68.19,68.66,8311,0
2012-02-01,68.82,69.6,68.76,69.13,6433,0
2012-02-02,69.04,69.34,68.58,68.73,6603,0
2012-02-03,69.98,70.89,69.52,69.86,11794,0
2012-02-06,69.56,69.71,69.24,69.41,9099,0
2012-02-07,69.49,69.67,69.35,69.57,7756,0
2012-02-08,69.59,69.65,68.25,68.38,11204,0
2012-02-09,68.38,68.6,67.9,68.45,5960,0
2012-02-10,68.02,68.18,67.47,67.75,6413,0
2012-02-13,68.1,68.22,67.89,68.07,4444,0
2012-02-14,68.16,68.53,67.62,68.09,7713,0
2012-02-15,68.04,68.43,67.8,68.37,8431,0
2012-02-16,68.42,68.7,68.15,68.61,4730,0
2012-02-17,68.88,68.88,68.16,68.49,6579,0
2012-02-21,68.75,68.76,67.6,67.71,5926,0
2012-02-22,67.7,67.82,67.2,67.61,7036,0
2012-02-23,67.68,68.41,67.46,68.11,7592,0
2012-02-24,68.12,68.15,67.69,67.79,11379,0
2012-02-27,67.5,67.79,67.2,67.29,11850,0
2012-02-28,67.4,67.88,67.27,67.81,6794,0
2012-02-29,67.54,67.99,67.46,67.61,11023,0
2012-03-01,67.6,67.93,67.44,67.75,8051,0
2012-03-02,67.68,67.88,67.3,67.53,7120,0
2012-03-05,67.5,68.11,67.45,67.92,5093,0
2012-03-06,67.66,68.01,67.5,67.8,6884,0
2012-03-07,67.71,67.82,67.32,67.56,8014,0
2012-03-08,67.8,67.92,67.35,67.81,5828,0
2012-03-09,67.77,67.92,67.46,67.91,4499,0
2012-03-12,67.79,68.29,67.79,68.14,6934,0
2012-03-13,68.21,68.64,68.15,68.63,7744,0
2012-03-14,68.56,68.79,68.29,68.41,5851,0
2012-03-15,68.41,68.88,68.33,68.75,5773,0
2012-03-16,68.91,68.91,67.84,68.21,9667,0
2012-03-19,68.21,68.28,67.43,67.84,9113,0
2012-03-20,67.5,68.18,67.42,68.08,7381,0
2012-03-21,68.0,68.6,67.81,68.29,6329,0
2012-03-22,67.99,68.36,67.92,68.21,5396,0
2012-03-23,68.23,68.24,67.65,67.99,5088,0
2012-03-26,68.14,68.47,67.87,68.32,7309,0
2012-03-27,68.5,68.8,68.05,68.15,8800,0
2012-03-28,68.25,68.71,68.2,68.41,8627,0
2012-03-29,68.21,68.65,67.68,68.35,8639,0
2012-03-30,68.57,68.98,68.45,68.75,6707,0
2012-04-02,68.48,70.09,68.31,69.32,12577,0
2012-04-03,69.45,70.08,69.3,69.7,9548,0
2012-04-04,69.42,69.53,69.05,69.06,6055,0
2012-04-05,69.0,69.0,68.31,68.96,9244,0
2012-04-09,68.53,68.87,68.31,68.87,8205,0
2012-04-10,68.87,69.0,68.51,68.88,10857,0
2012-04-11,69.1,69.53,69.07,69.48,8483,0
2012-04-12,69.51,69.84,69.08,69.85,8479,0
2012-04-13,69.61,70.36,69.61,70.23,11992,0
2012-04-16,70.33,70.4,69.93,70.08,8616,0
2012-04-17,70.17,70.35,69.75,70.34,9657,0
2012-04-18,70.18,70.55,69.93,70.39,4929,0
2012-04-19,70.18,70.59,69.91,70.0,7002,0
2012-04-20,70.19,70.65,69.95,70.24,12733,0
2012-04-23,69.5,69.5,68.78,69.02,7918,0
2012-04-24,69.26,69.57,69.12,69.43,6872,0
2012-04-25,69.75,69.98,69.44,69.82,4382,0
2012-04-26,69.75,70.3,69.67,70.04,5199,0
2012-04-27,69.84,70.22,69.72,69.78,6700,0
2012-04-30,69.85,70.12,69.47,70.1,11658,0
2012-05-01,69.99,70.49,69.9,70.02,12375,0
2012-05-02,68.6,68.75,66.75,67.8,37790,0
2012-05-03,67.94,68.19,66.72,67.03,16194,0
2012-05-04,66.89,67.5,66.81,67.46,14032,0
2012-05-07,67.42,68.25,67.3,68.17,13480,0
2012-05-08,67.94,68.61,67.74,68.49,13291,0
2012-05-09,68.24,68.74,68.01,68.36,9233,0
2012-05-10,68.68,68.86,68.36,68.52,6364,0
