Date,Open,High,Low,Close,Volume,OpenInterest
2013-01-02,30.98,31.32,30.73,31.32,20112,0
2013-01-03,31.38,31.83,31.03,31.72,34546,0
2013-01-04,31.78,32.62,31.63,32.59,40458,0
2013-01-07,32.38,32.56,32.01,32.34,25830,0
2013-01-08,32.28,32.3,31.83,31.93,18663,0
2013-01-09,31.69,32.06,31.48,31.6,23089,0
2013-01-10,31.87,32.17,31.58,32.1,26022,0
2013-01-11,32.03,32.04,31.46,31.83,15101,0
2013-01-14,31.81,31.88,31.5,31.72,17300,0
2013-01-15,31.47,31.93,31.47,31.87,22087,0
2013-01-16,31.97,33.2,31.27,33.05,41957,0
2013-01-17,33.27,33.91,33.17,33.51,50820,0
2013-01-18,33.63,33.85,33.15,33.66,24758,0
2013-01-22,33.55,33.83,33.53,33.79,19231,0
2013-01-23,33.67,33.7,33.43,33.49,21092,0
2013-01-24,33.51,33.82,33.43,33.56,12740,0
2013-01-25,33.68,33.75,33.46,33.71,11827,0
2013-01-28,33.65,33.96,33.55,33.86,15983,0
2013-01-29,33.79,34.02,33.65,33.89,23226,0
2013-01-30,33.77,34.35,33.77,34.3,27954,0
2013-01-31,33.86,34.45,33.6,34.36,35964,0
2013-02-01,34.55,35.21,34.5,35.06,31873,0
2013-02-04,34.62,34.73,34.23,34.31,19528,0
2013-02-05,34.48,34.95,34.48,34.83,19668,0
2013-02-06,34.61,35.18,34.47,35.14,20867,0
2013-02-07,35.19,35.28,34.86,35.09,15169,0
2013-02-08,35.19,35.41,35.0,35.37,13480,0
2013-02-11,34.72,35.25,34.71,35.06,19996,0
2013-02-12,35.15,35.22,34.93,35.0,20494,0
2013-02-13,35.19,35.4,34.94,35.1,17159,0
2013-02-14,35.0,35.4,34.95,35.32,18714,0
2013-02-15,34.91,35.2,34.73,34.83,24118,0
2013-02-19,35.01,35.56,34.81,35.4,26007,0
2013-02-20,35.37,35.43,34.68,34.71,33026,0
2013-02-21,34.52,34.62,33.57,33.6,45630,0
2013-02-22,33.88,34.35,33.84,34.3,15885,0
2013-02-25,34.52,34.61,33.43,33.52,19713,0
2013-02-26,33.68,33.77,33.29,33.56,14938,0
2013-02-27,33.6,33.92,33.5,33.86,20432,0
2013-02-28,33.83,34.68,33.83,34.38,22003,0
2013-03-01,34.17,34.56,33.8,34.48,19842,0
2013-03-04,34.34,35.19,34.31,35.16,22102,0
2013-03-05,35.31,35.46,34.72,34.83,28874,0
2013-03-06,35.09,35.42,34.96,35.29,19904,0
2013-03-07,35.34,35.89,35.17,35.32,29857,0
2013-03-08,35.63,36.35,35.6,36.29,25094,0
2013-03-11,36.28,36.99,36.26,36.7,25087,0
2013-03-12,36.66,36.74,36.23,36.32,13563,0
2013-03-13,36.27,36.52,36.05,36.45,9732,0
2013-03-14,36.66,36.82,36.55,36.78,16927,0
2013-03-15,36.57,36.92,36.36,36.77,23838,0
2013-03-18,36.03,36.46,35.98,36.17,20071,0
2013-03-19,36.31,36.34,35.78,35.92,19112,0
2013-03-20,36.24,36.35,36.07,36.11,11290,0
2013-03-21,35.94,36.12,35.72,35.99,24368,0
2013-03-22,36.11,36.27,35.93,36.25,19078,0
2013-03-25,36.4,36.43,35.82,36.0,10942,0
2013-03-26,36.18,36.29,35.98,36.09,9810,0
2013-03-27,35.85,35.85,35.44,35.7,13296,0
2013-03-28,35.71,35.98,35.47,35.95,15012,0
2013-04-01,35.95,35.95,35.11,35.28,15516,0
2013-04-02,35.55,35.59,35.05,35.15,14119,0
2013-04-03,35.16,35.25,34.13,34.19,29607,0
2013-04-04,34.28,34.51,33.93,34.24,30566,0
2013-04-05,33.75,34.58,33.55,34.51,25880,0
2013-04-08,34.54,34.66,34.08,34.65,15995,0
2013-04-09,34.71,35.12,34.58,34.95,13998,0
2013-04-10,35.01,35.49,35.0,35.46,10701,0
2013-04-11,35.49,35.73,35.13,35.45,13135,0
2013-04-12,35.2,35.45,34.9,35.05,9571,0
2013-04-15,34.83,35.09,34.13,34.13,21061,0
2013-04-16,34.06,34.85,33.93,34.78,22900,0
2013-04-17,34.58,34.77,34.07,34.42,22023,0
2013-04-18,34.44,34.57,33.9,34.3,23468,0
2013-04-19,34.5,35.02,34.36,34.86,15987,0
2013-04-22,34.9,34.9,34.32,34.7,12417,0
2013-04-23,34.91,35.27,34.8,35.1,19801,0
2013-04-24,35.14,35.93,35.04,35.87,14902,0
2013-04-25,35.98,36.45,35.88,36.22,24305,0
2013-04-26,36.15,36.31,35.67,35.91,13731,0
2013-04-29,36.03,36.28,35.95,36.23,14018,0
2013-04-30,36.22,36.29,35.96,36.25,13200,0
2013-05-01,36.24,36.34,35.72,35.78,14815,0
2013-05-02,35.87,36.33,35.81,36.25,11212,0
2013-05-03,36.59,37.1,36.42,37.07,26572,0
2013-05-06,36.72,37.47,36.62,37.47,22037,0
2013-05-07,37.67,37.95,37.33,37.86,14327,0
2013-05-08,37.41,38.02,37.26,38.0,18324,0
2013-05-09,37.98,38.12,37.67,37.75,8884,0
2013-05-10,37.84,37.96,37.56,37.95,9857,0
2013-05-13,37.9,38.71,37.86,38.31,16998,0
2013-05-14,38.38,39.08,38.35,39.04,19878,0
2013-05-15,39.06,39.55,38.88,39.48,13603,0
2013-05-16,39.33,39.88,39.31,39.5,16486,0
2013-05-17,39.8,40.02,39.68,39.88,15211,0
2013-05-20,39.79,40.44,39.74,39.75,24734,0
2013-05-21,39.43,39.99,39.43,39.65,22308,0
2013-05-22,39.21,39.99,38.57,38.69,33474,0
2013-05-23,38.03,38.87,38.02,38.71,21309,0
2013-05-24,38.57,39.0,38.42,38.96,13683,0
2013-05-28,39.5,39.87,39.44,39.53,18402,0
2013-05-29,39.06,39.8,39.06,39.6,20920,0
2013-05-30,39.7,40.43,39.59,40.15,21663,0
2013-05-31,39.99,40.2,39.48,39.49,12725,0
2013-06-03,39.56,39.78,38.36,38.86,27534,0
2013-06-04,38.9,39.33,38.41,38.61,14504,0
2013-06-05,38.56,38.76,37.93,37.97,16955,0
2013-06-06,37.99,38.44,37.78,38.25,19626,0
2013-06-07,38.52,38.97,38.29,38.86,20097,0
2013-06-10,38.78,39.12,38.46,38.86,19050,0
2013-06-11,38.47,38.83,38.12,38.12,17291,0
2013-06-12,38.37,38.49,37.48,37.58,14091,0
2013-06-13,37.61,38.03,37.45,37.93,15661,0
2013-06-14,37.94,38.02,37.18,37.35,13379,0
