Date,Open,High,Low,Close,Volume,OpenInterest
2014-01-02,20.34,20.4,19.81,19.97,10708,0
2014-01-03,20.0,20.2,19.87,20.13,8209,0
2014-01-06,20.1,20.15,19.57,19.78,10721,0
2014-01-07,20.36,21.2,19.87,19.99,20434,0
2014-01-08,20.01,20.44,19.66,20.3,13962,0
2014-01-09,20.31,20.45,20.1,20.36,9815,0
2014-01-10,20.3,20.57,20.15,20.56,6634,0
2014-01-13,20.45,20.59,19.93,20.01,6985,0
2014-01-14,20.07,20.38,19.93,20.34,5349,0
2014-01-15,20.36,20.61,20.31,20.58,6297,0
2014-01-16,20.48,20.71,20.46,20.52,4230,0
2014-01-17,20.47,20.64,20.31,20.41,4724,0
2014-01-21,20.43,20.49,20.23,20.45,8032,0
2014-01-22,20.45,20.7,20.33,20.51,6426,0
2014-01-23,20.46,20.63,20.1,20.11,7956,0
2014-01-24,19.82,19.87,18.89,18.94,13403,0
2014-01-27,19.01,19.04,18.36,18.63,11133,0
2014-01-28,18.75,18.93,18.55,18.85,7088,0
2014-01-29,18.61,19.04,18.59,18.91,9235,0
2014-01-30,19.11,19.3,18.88,19.17,6871,0
2014-01-31,18.79,19.36,18.76,19.06,6448,0
2014-02-03,19.07,19.11,18.48,18.76,20886,0
2014-02-04,18.83,19.1,18.73,18.94,11802,0
2014-02-05,18.92,18.99,18.65,18.71,6611,0
2014-02-06,18.75,18.94,18.72,18.78,5823,0
2014-02-07,18.85,19.02,18.65,18.94,6724,0
2014-02-10,18.81,18.95,18.7,18.91,8784,0
2014-02-11,18.89,19.32,18.84,19.31,4577,0
2014-02-12,19.44,19.52,19.22,19.51,5611,0
2014-02-13,19.39,19.86,19.31,19.84,5456,0
2014-02-14,19.93,20.15,19.75,20.08,5566,0
2014-02-18,20.09,20.2,19.91,20.2,4422,0
2014-02-19,20.03,20.21,19.59,19.62,7034,0
2014-02-20,19.66,19.84,19.52,19.81,5831,0
2014-02-21,19.83,19.83,19.26,19.5,9087,0
2014-02-24,19.21,19.33,18.97,19.02,7697,0
2014-02-25,18.93,19.1,18.42,18.7,11228,0
2014-02-26,18.73,19.07,18.63,19.06,7758,0
2014-02-27,18.98,19.36,18.98,19.36,5006,0
2014-02-28,19.32,19.46,19.19,19.35,5207,0
2014-03-03,19.12,19.26,18.77,18.86,4593,0
2014-03-04,19.03,19.56,19.03,19.46,7572,0
2014-03-05,19.43,19.52,19.18,19.41,5139,0
2014-03-06,19.5,19.8,19.43,19.66,4415,0
2014-03-07,19.71,19.85,19.32,19.77,5330,0
2014-03-10,19.7,19.7,19.26,19.4,3322,0
2014-03-11,19.46,19.66,19.14,19.24,5088,0
2014-03-12,19.17,19.47,19.08,19.15,4823,0
2014-03-13,19.26,19.26,18.68,18.77,5853,0
2014-03-14,18.63,18.89,18.51,18.75,4518,0
2014-03-17,18.85,19.26,18.78,18.9,7871,0
2014-03-18,18.96,19.36,18.84,19.31,6866,0
2014-03-19,19.27,19.33,18.91,19.15,5315,0
2014-03-20,19.02,19.39,18.94,19.25,3804,0
2014-03-21,19.22,19.36,19.01,19.13,21764,0
2014-03-24,19.17,19.34,18.9,19.11,16020,0
2014-03-25,19.24,19.59,19.14,19.43,11037,0
