Date,Open,High,Low,Close,Volume,OpenInterest
2014-01-02,27.26,28.05,27.26,27.7,115982,0
2014-01-03,28.37,29.36,28.24,29.23,188077,0
2014-01-06,29.43,29.8,29.05,29.29,137733,0
2014-01-07,29.42,29.66,28.59,28.78,121622,0
2014-01-08,28.77,30.1,28.61,29.8,162271,0
2014-01-09,30.54,31.58,30.4,31.06,174735,0
2014-01-10,31.2,31.48,30.66,31.47,124317,0
2014-01-13,31.8,31.8,30.87,30.92,140827,0
2014-01-14,31.08,32.07,31.02,32.01,133542,0
2014-01-15,32.28,32.3,31.08,31.5,165223,0
2014-01-16,31.46,31.73,31.33,31.58,67585,0
2014-01-17,31.21,31.39,30.88,31.07,138936,0
2014-01-21,32.39,32.65,31.65,32.08,163942,0
2014-01-22,32.37,32.92,32.29,32.84,105271,0
2014-01-23,32.53,32.69,32.1,32.5,118644,0
2014-01-24,32.07,32.31,30.96,31.11,137144,0
2014-01-27,31.24,31.59,29.66,30.59,177743,0
2014-01-28,30.58,31.51,30.54,30.9,112070,0
2014-01-29,30.44,31.29,29.78,29.92,151931,0
2014-01-30,30.45,30.87,30.28,30.58,93619,0
2014-01-31,30.21,30.84,30.0,30.61,104255,0
2014-02-03,30.64,30.8,29.22,29.38,155213,0
2014-02-04,30.0,30.03,29.26,29.94,131306,0
2014-02-05,29.67,30.1,29.12,30.02,112933,0
2014-02-06,30.01,31.34,29.81,30.89,86588,0
2014-02-07,31.33,31.85,31.08,31.65,106806,0
2014-02-10,31.77,31.8,30.93,31.21,90352,0
2014-02-11,31.3,31.44,30.62,31.41,116882,0
2014-02-12,31.51,31.51,30.78,31.13,89374,0
2014-02-13,30.79,31.5,30.43,31.35,81018,0
2014-02-14,31.19,31.62,30.94,31.34,64282,0
2014-02-18,31.39,31.59,30.92,30.92,90792,0
2014-02-19,30.82,31.04,30.44,30.57,98349,0
2014-02-20,30.56,31.89,30.55,31.84,112136,0
2014-02-21,31.88,32.19,31.71,31.76,88903,0
2014-02-24,31.92,32.73,31.84,32.45,97569,0
2014-02-25,32.62,33.5,32.62,33.24,138063,0
2014-02-26,33.46,33.75,33.09,33.51,100107,0
2014-02-27,33.39,33.95,33.28,33.32,101340,0
2014-02-28,32.93,33.45,32.66,33.21,98340,0
2014-03-03,32.38,32.73,31.9,32.59,135436,0
2014-03-04,33.5,34.72,33.48,34.45,119139,0
2014-03-05,34.85,35.15,34.61,34.72,103141,0
2014-03-06,35.01,35.58,35.01,35.37,109962,0
2014-03-07,35.72,35.85,34.8,35.36,108113,0
2014-03-10,35.37,35.82,34.71,35.17,98059,0
2014-03-11,35.06,35.45,34.77,34.92,94542,0
2014-03-12,34.6,34.84,34.21,34.5,92114,0
2014-03-13,34.76,34.78,33.29,33.58,125362,0
2014-03-14,33.48,34.63,33.25,34.12,110170,0
2014-03-17,34.58,34.58,33.75,34.2,85830,0
2014-03-18,34.49,34.58,34.05,34.07,78904,0
2014-03-19,34.1,34.32,33.33,33.73,84726,0
2014-03-20,33.8,33.91,33.3,33.64,64867,0
2014-03-21,34.07,34.07,32.8,32.73,119573,0
2014-03-24,33.11,33.53,32.52,33.32,103583,0
2014-03-25,33.46,34.51,33.46,34.43,105925,0
2014-03-26,34.5,34.55,33.91,33.96,105401,0
2014-03-27,33.9,34.29,32.97,34.13,112598,0
2014-03-28,34.1,34.69,33.51,33.53,97663,0
2014-03-31,33.75,34.91,33.75,34.65,89862,0
2014-04-01,34.93,35.78,34.92,35.75,108190,0
2014-04-02,35.91,36.52,35.53,35.7,110973,0
2014-04-03,35.73,36.07,34.97,35.37,82078,0
2014-04-04,35.69,35.7,34.48,34.61,85945,0
2014-04-07,34.51,35.37,33.69,33.99,129511,0
2014-04-08,33.9,34.28,32.41,33.51,150917,0
2014-04-09,33.73,34.82,33.43,34.73,87799,0
2014-04-10,35.1,35.14,33.0,33.01,135905,0
2014-04-11,32.88,33.85,32.27,32.52,117439,0
2014-04-14,32.86,33.0,31.13,31.73,142831,0
2014-04-15,31.8,32.43,30.54,31.91,181535,0
2014-04-16,32.22,33.73,32.17,33.62,128947,0
2014-04-17,33.61,33.88,32.88,33.76,123345,0
2014-04-21,33.58,34.08,33.25,33.94,76675,0
2014-04-22,34.18,35.25,34.17,34.95,128657,0
2014-04-23,36.87,37.41,36.0,37.09,197471,0
2014-04-24,37.11,37.47,36.33,36.73,150368,0
2014-04-25,36.5,36.61,35.78,36.07,91826,0
2014-04-28,36.2,36.67,35.13,35.84,114897,0
2014-04-29,36.02,36.75,35.87,36.74,89227,0
2014-04-30,36.81,37.18,36.3,36.83,102488,0
2014-05-01,37.0,37.53,36.97,37.12,108631,0
2014-05-02,37.11,37.47,36.56,37.23,84717,0
2014-05-05,37.01,37.7,36.63,37.55,73389,0
2014-05-06,38.45,38.82,37.46,37.69,115678,0
2014-05-07,37.81,38.26,37.31,38.24,95597,0
2014-05-08,38.07,38.58,37.5,37.7,102244,0
2014-05-09,37.82,37.82,36.95,37.67,88753,0
2014-05-12,37.77,38.69,37.74,38.65,75521,0
2014-05-13,38.52,39.11,38.37,38.78,59532,0
2014-05-14,38.64,38.86,38.19,38.44,72547,0
2014-05-15,38.08,38.36,37.33,38.13,100659,0
2014-05-16,38.04,38.19,37.41,37.86,84587,0
2014-05-19,37.68,38.72,37.6,38.39,60525,0
2014-05-20,38.4,38.45,37.47,37.83,84183,0
2014-05-21,38.01,38.47,37.97,38.34,58430,0
2014-05-22,38.37,38.85,38.29,38.63,60318,0
2014-05-23,38.77,39.55,38.65,39.16,63778,0
2014-05-27,39.56,39.59,39.32,39.46,62628,0
2014-05-28,39.52,40.69,39.49,40.27,86337,0
2014-05-29,40.32,40.65,39.64,40.14,86745,0
2014-05-30,40.14,40.54,39.67,39.91,65011,0
