Date,Open,High,Low,Close,Volume,OpenInterest
2013-01-02,13.27,13.27,12.78,13.06,475,0
2013-01-03,13.13,13.16,12.85,12.99,395,0
2013-01-04,13.16,13.25,12.98,13.18,344,0
2013-01-07,13.06,13.19,12.98,13.1,183,0
2013-01-08,13.12,13.2,13.01,13.15,107,0
2013-01-09,13.17,13.17,13.02,13.1,223,0
2013-01-10,13.1,13.1,12.53,13.04,456,0
2013-01-11,13.08,13.1,13.0,13.07,119,0
2013-01-14,12.99,13.04,12.56,12.67,155,0
2013-01-15,12.6,12.89,12.6,12.85,174,0
2013-01-16,12.83,12.83,12.61,12.69,61,0
2013-01-17,12.72,12.87,12.61,12.85,145,0
2013-01-18,12.82,13.0,12.75,12.94,177,0
2013-01-22,12.91,13.0,12.85,12.94,115,0
2013-01-23,12.95,13.24,12.91,13.15,208,0
2013-01-24,13.13,13.24,12.68,13.06,254,0
2013-01-25,13.16,13.25,12.97,13.04,198,0
2013-01-28,13.03,13.5,13.01,13.43,286,0
2013-01-29,13.45,13.79,13.45,13.79,236,0
2013-01-30,13.73,13.96,13.56,13.86,120,0
2013-01-31,13.84,13.94,13.72,13.88,135,0
2013-02-01,13.94,14.17,13.84,14.08,366,0
2013-02-04,13.99,14.18,13.99,14.15,391,0
2013-02-05,14.2,14.28,14.13,14.26,247,0
2013-02-06,14.15,14.18,13.81,14.08,162,0
2013-02-07,14.05,14.13,13.95,14.07,97,0
2013-02-08,14.12,14.12,13.9,14.1,246,0
2013-02-11,14.08,14.08,13.91,13.99,36,0
2013-02-12,13.98,14.2,13.69,14.14,326,0
2013-02-13,14.2,14.2,14.05,14.15,90,0
2013-02-14,14.06,14.5,13.96,14.49,167,0
2013-02-15,14.5,14.5,14.28,14.45,162,0
2013-02-19,14.43,14.45,13.96,14.12,165,0
2013-02-20,14.13,14.24,13.73,13.74,108,0
2013-02-21,13.7,13.9,13.6,13.7,141,0
2013-02-22,13.82,13.82,13.44,13.68,95,0
2013-02-25,13.76,13.76,13.28,13.3,117,0
2013-02-26,13.34,13.43,13.25,13.34,500,0
2013-02-27,13.34,13.79,13.34,13.63,69,0
2013-02-28,13.63,13.89,13.63,13.82,69,0
2013-03-01,13.52,14.1,13.42,13.91,143,0
2013-03-04,13.91,14.09,13.77,14.07,107,0
2013-03-05,14.13,14.2,13.95,14.18,128,0
2013-03-06,14.34,14.34,14.1,14.2,64,0
2013-03-07,14.25,14.25,13.96,14.0,430,0
2013-03-08,14.2,14.2,13.87,13.9,303,0
2013-03-11,13.79,13.88,13.65,13.72,124,0
2013-03-12,13.72,13.94,13.71,13.81,124,0
2013-03-13,13.81,13.82,13.7,13.81,176,0
2013-03-14,13.87,14.1,13.79,14.05,122,0
2013-03-15,14.06,14.23,14.0,14.14,560,0
2013-03-18,13.99,14.33,13.66,14.2,206,0
2013-03-19,14.25,14.36,14.02,14.27,139,0
2013-03-20,14.33,14.33,13.95,14.29,147,0
2013-03-21,14.21,14.21,13.75,14.0,175,0
2013-03-22,14.02,14.02,13.8,13.94,71,0
2013-03-25,14.03,14.16,13.9,14.07,141,0
2013-03-26,14.17,14.5,13.96,14.46,145,0
2013-03-27,14.29,14.4,14.2,14.37,71,0
2013-03-28,14.37,14.6,14.27,14.53,420,0
2013-04-01,14.54,14.54,13.79,14.04,278,0
2013-04-02,14.08,14.26,13.95,13.98,207,0
2013-04-03,14.0,14.1,13.99,14.0,497,0
2013-04-04,14.06,14.4,13.99,14.32,517,0
2013-04-05,13.79,14.16,13.53,13.9,497,0
2013-04-08,13.92,14.09,13.19,13.59,945,0
2013-04-09,13.6,13.83,13.48,13.8,364,0
2013-04-10,13.79,14.0,13.77,13.94,201,0
2013-04-11,14.04,14.06,13.88,14.0,60,0
2013-04-12,13.93,14.03,13.91,13.96,33,0
2013-04-15,13.89,13.99,13.3,13.4,283,0
2013-04-16,13.46,13.73,13.43,13.68,90,0
2013-04-17,13.57,13.57,13.47,13.5,292,0
2013-04-18,13.52,13.52,13.3,13.35,840,0
2013-04-19,13.34,13.5,13.13,13.39,286,0
2013-04-22,13.36,13.64,13.16,13.61,52,0
2013-04-23,13.75,13.75,13.39,13.64,116,0
2013-04-24,13.67,13.67,13.54,13.65,42,0
2013-04-25,13.66,13.66,13.09,13.41,524,0
2013-04-26,13.33,13.44,13.2,13.3,314,0
2013-04-29,13.35,13.45,13.21,13.27,209,0
2013-04-30,13.26,14.14,13.1,14.08,613,0
2013-05-01,14.05,14.07,13.42,13.58,341,0
2013-05-02,13.62,14.02,13.54,13.96,232,0
2013-05-03,14.09,14.18,13.86,14.02,239,0
2013-05-06,14.19,14.25,14.0,14.22,280,0
2013-05-07,14.2,14.2,13.96,14.02,116,0
2013-05-08,13.92,14.02,13.25,13.93,10248,0
2013-05-09,13.92,13.97,13.68,13.71,48,0
2013-05-10,13.75,14.02,13.7,14.0,385,0
2013-05-13,13.91,14.2,13.85,14.1,189,0
2013-05-14,14.08,14.2,14.07,14.2,291,0
2013-05-15,14.19,14.25,14.0,14.21,140,0
2013-05-16,14.2,14.2,14.07,14.19,106,0
2013-05-17,14.23,14.23,13.76,14.14,256,0
2013-05-20,14.13,14.2,13.61,14.02,319,0
2013-05-21,14.01,14.17,13.92,14.03,135,0
2013-05-22,14.0,14.22,14.0,14.15,322,0
2013-05-23,13.75,14.16,13.75,14.17,178,0
2013-05-24,14.12,14.12,13.87,14.02,190,0
2013-05-28,14.15,14.31,14.03,14.3,727,0
2013-05-29,14.22,14.22,13.73,13.8,217,0
2013-05-30,13.82,14.0,13.82,13.92,88,0
2013-05-31,13.85,13.96,13.64,13.79,171,0
2013-06-03,13.91,14.28,13.85,14.12,497,0
2013-06-04,14.17,14.2,13.92,14.07,235,0
2013-06-05,13.98,14.09,13.82,13.85,73,0
2013-06-06,13.9,14.11,13.78,14.11,237,0
2013-06-07,14.24,14.31,13.96,14.15,195,0
2013-06-10,14.14,14.18,13.88,14.13,98,0
2013-06-11,13.97,14.23,13.77,14.0,93,0
2013-06-12,14.12,14.12,13.86,13.92,66,0
2013-06-13,13.95,14.23,13.94,14.18,55,0
2013-06-14,14.18,14.39,14.08,14.2,154,0
2013-06-17,14.24,14.24,13.84,13.92,406,0
2013-06-18,13.87,13.97,13.85,13.94,331,0
2013-06-19,13.92,13.94,13.8,13.89,318,0
2013-06-20,13.67,13.74,13.5,13.56,560,0
2013-06-21,13.6,13.79,13.51,13.7,762,0
2013-06-24,13.7,13.7,13.5,13.5,262,0
2013-06-25,13.67,13.73,13.51,13.52,389,0
2013-06-26,13.62,13.64,13.42,13.45,995,0
2013-06-27,13.43,13.55,13.4,13.43,161,0
2013-06-28,13.4,13.52,13.07,13.46,873,0
2013-07-01,13.58,14.3,13.5,14.15,307,0
2013-07-02,14.2,14.21,13.81,13.99,329,0
2013-07-03,13.94,14.25,13.65,14.11,141,0
2013-07-05,14.34,14.45,13.99,14.4,200,0
2013-07-08,14.45,14.48,14.25,14.34,408,0
2013-07-09,14.4,14.5,14.31,14.5,1507,0
2013-07-10,14.74,15.0,14.5,14.88,2058,0
2013-07-11,14.98,15.1,14.9,14.97,2084,0
2013-07-12,14.96,15.14,14.9,15.12,1042,0
2013-07-15,15.15,15.47,15.15,15.47,794,0
2013-07-16,15.5,15.55,15.32,15.51,578,0
2013-07-17,15.55,16.14,15.45,16.02,1007,0
2013-07-18,16.12,16.42,15.94,16.03,354,0
2013-07-19,16.0,16.44,15.82,16.27,509,0
2013-07-22,16.37,16.7,16.33,16.62,361,0
2013-07-23,16.68,16.68,16.26,16.3,230,0
2013-07-24,16.43,16.43,15.95,16.0,138,0
2013-07-25,16.01,16.25,15.95,16.21,461,0
