Date,Open,High,Low,Close,Volume,OpenInterest
2018-01-02,86.98,87.4,84.56,84.96,15777,0
2018-01-03,84.96,88.11,84.65,87.81,18381,0
2018-01-04,88.19,89.57,88.19,88.47,24338,0
2018-01-05,88.56,88.8,87.3,88.14,7572,0
2018-01-08,87.83,88.68,87.5,88.33,7822,0
2018-01-09,88.71,89.35,88.15,88.2,11627,0
2018-01-10,88.61,91.2,88.61,89.99,12752,0
2018-01-11,90.29,92.34,90.19,92.31,13676,0
2018-01-12,92.74,93.0,90.78,91.06,14366,0
2018-01-16,90.5,91.55,87.17,87.3,32893,0
2018-01-17,87.33,88.85,86.29,88.4,15747,0
2018-01-18,88.14,88.64,85.8,85.97,14058,0
2018-01-19,85.94,90.01,85.76,89.93,20207,0
2018-01-22,89.83,90.18,89.15,89.88,16662,0
2018-01-23,89.23,91.7,89.23,90.97,21964,0
2018-01-24,90.9,91.08,90.16,90.43,16450,0
2018-01-25,90.83,91.11,89.98,90.51,13451,0
2018-01-26,90.59,90.93,89.41,90.83,8686,0
2018-01-29,90.66,91.29,90.34,90.59,6865,0
2018-01-30,90.0,90.97,89.88,90.25,13794,0
2018-01-31,90.79,91.44,89.12,89.55,10787,0
2018-02-01,89.84,90.56,89.01,90.55,8811,0
2018-02-02,90.55,91.48,90.0,90.27,10201,0
2018-02-05,89.5,89.85,87.52,88.2,19765,0
2018-02-06,86.39,89.96,85.93,89.6,32790,0
2018-02-07,89.45,91.05,89.31,90.16,11949,0
2018-02-08,90.01,90.57,88.8,88.77,18817,0
2018-02-09,89.36,89.85,87.7,89.58,29432,0
2018-02-12,90.0,90.94,89.91,90.57,11471,0
2018-02-13,89.95,91.21,89.81,91.17,10204,0
2018-02-14,91.12,95.2,90.87,95.15,19525,0
2018-02-15,95.34,95.64,94.0,95.05,18220,0
2018-02-16,94.61,95.92,94.61,95.52,10288,0
2018-02-20,95.14,96.06,95.02,95.29,14308,0
2018-02-21,95.3,96.79,95.3,95.61,8579,0
2018-02-22,95.92,96.4,93.24,93.63,9324,0
2018-02-23,93.7,95.32,93.58,95.28,6089,0
2018-02-26,95.99,95.99,94.53,95.56,6037,0
2018-02-27,95.77,96.52,94.59,94.57,4148,0
2018-02-28,95.12,95.41,92.8,92.8,8356,0
2018-03-01,92.43,93.54,91.87,92.89,7580,0
2018-03-02,92.14,94.22,91.54,94.12,8112,0
2018-03-05,93.18,94.61,92.24,94.16,8713,0
2018-03-06,96.36,98.87,96.0,97.44,24381,0
2018-03-07,96.44,98.58,96.35,98.37,11167,0
2018-03-08,98.64,98.86,97.61,98.03,6899,0
2018-03-09,99.03,99.04,97.76,98.78,7788,0
2018-03-12,99.06,99.17,98.06,98.25,4660,0
2018-03-13,98.55,98.55,96.44,97.04,7371,0
2018-03-14,97.08,97.21,95.31,95.81,6057,0
2018-03-15,96.0,96.48,95.19,95.59,4509,0
2018-03-16,96.0,97.06,95.71,96.64,5463,0
2018-03-19,96.43,96.92,96.02,96.77,9588,0
2018-03-20,96.71,97.43,95.5,95.79,9861,0
2018-03-21,95.99,97.26,95.01,96.9,12969,0
2018-03-22,96.12,96.2,92.07,92.11,27060,0
2018-03-23,92.15,92.53,89.95,90.14,16633,0
2018-03-26,91.73,92.06,90.31,91.84,7839,0
2018-03-27,91.9,92.32,89.54,90.4,7658,0
2018-03-28,90.55,91.87,89.71,91.51,7575,0
2018-03-29,91.97,92.67,91.39,92.61,6044,0
2018-04-02,92.13,92.42,90.0,90.73,6227,0
2018-04-03,91.09,91.73,90.25,91.09,6749,0
2018-04-04,90.0,91.8,89.67,91.57,8999,0
2018-04-05,91.67,92.16,91.16,91.81,9245,0
2018-04-06,91.44,91.64,89.23,89.83,8165,0
2018-04-09,90.1,91.4,89.59,89.66,7680,0
2018-04-10,90.93,91.32,89.74,90.63,11180,0
2018-04-11,90.12,90.3,89.11,89.51,7787,0
2018-04-12,90.32,90.84,89.11,90.24,15562,0
2018-04-13,95.74,96.0,90.18,91.4,25987,0
2018-04-16,91.55,92.09,89.83,91.17,11018,0
2018-04-17,92.0,92.05,89.4,89.83,9031,0
2018-04-18,89.97,91.27,89.85,90.8,11380,0
2018-04-19,91.0,92.84,91.0,92.47,8426,0
2018-04-20,92.84,93.3,92.12,92.99,5980,0
2018-04-23,93.22,94.22,93.05,93.8,6056,0
2018-04-24,94.1,95.07,93.32,94.2,5475,0
2018-04-25,93.8,94.52,93.43,93.61,6264,0
2018-04-26,93.49,93.82,92.7,93.38,5235,0
2018-04-27,93.58,94.01,93.08,93.94,5164,0
2018-04-30,94.25,94.5,92.87,92.87,4266,0
2018-05-01,92.67,93.62,91.93,93.48,5519,0
2018-05-02,93.28,94.69,92.9,93.8,7875,0
2018-05-03,93.11,94.63,92.27,94.17,7709,0
2018-05-04,93.54,95.78,92.72,94.89,4632,0
2018-05-07,95.01,96.12,94.25,95.91,4215,0
2018-05-08,95.75,97.71,95.54,96.6,6074,0
2018-05-09,96.86,97.77,96.15,97.13,3470,0
2018-05-10,97.06,97.84,95.87,97.55,5768,0
2018-05-11,97.7,98.41,97.31,97.42,4974,0
2018-05-14,97.47,97.62,96.82,97.33,3390,0
2018-05-15,96.98,99.15,96.98,97.96,8269,0
2018-05-16,97.64,99.29,97.58,99.12,6813,0
2018-05-17,99.07,99.6,98.75,99.04,6186,0
2018-05-18,98.68,98.85,97.89,98.03,4685,0
