Date,Open,High,Low,Close,Volume,OpenInterest
2013-01-02,16.46,16.58,15.89,16.21,8191,0
2013-01-03,16.22,16.4,15.97,16.06,6494,0
2013-01-04,15.97,16.7,15.77,16.68,15203,0
2013-01-07,16.73,16.79,16.31,16.32,6834,0
2013-01-08,16.83,17.49,16.64,17.27,17289,0
2013-01-09,17.76,18.25,17.3,17.75,16501,0
2013-01-10,17.99,18.26,17.71,17.71,8374,0
2013-01-11,17.8,17.87,17.3,17.44,6119,0
2013-01-14,17.4,17.55,17.15,17.3,4013,0
2013-01-15,17.17,17.83,17.15,17.79,4133,0
2013-01-16,17.78,17.92,17.3,17.61,4212,0
2013-01-17,17.74,18.0,17.65,17.96,6189,0
2013-01-18,18.04,18.25,17.73,18.18,7119,0
2013-01-22,18.25,18.75,18.2,18.53,8283,0
2013-01-23,18.57,18.66,17.65,17.69,8394,0
2013-01-24,17.8,19.12,17.8,18.96,14837,0
2013-01-25,19.15,19.5,19.0,19.27,6473,0
2013-01-28,19.26,19.28,18.39,18.99,5087,0
2013-01-29,18.82,19.31,18.82,19.3,6963,0
2013-01-30,19.34,19.67,19.2,19.49,6530,0
2013-01-31,19.46,19.94,19.21,19.93,4588,0
2013-02-01,20.05,20.49,19.96,20.0,6457,0
2013-02-04,19.75,20.1,19.41,19.58,4743,0
2013-02-05,19.75,20.27,19.62,19.99,4563,0
2013-02-06,19.86,20.23,19.78,20.19,3684,0
2013-02-07,20.22,20.45,19.82,20.31,3892,0
2013-02-08,20.31,20.51,20.21,20.26,2194,0
2013-02-11,20.28,20.71,20.04,20.71,4027,0
2013-02-12,20.73,20.99,20.67,20.84,3769,0
2013-02-13,20.88,21.4,20.84,21.34,4451,0
2013-02-14,21.29,21.9,21.2,21.54,4744,0
2013-02-15,21.56,21.99,21.4,21.85,6051,0
2013-02-19,21.96,22.71,21.56,22.65,6231,0
2013-02-20,22.51,22.68,21.04,21.1,9773,0
2013-02-21,21.05,21.33,19.86,20.6,5911,0
2013-02-22,20.76,21.48,20.73,20.92,4325,0
2013-02-25,21.08,21.24,19.76,19.83,3253,0
2013-02-26,19.95,20.15,19.39,19.69,2665,0
2013-02-27,19.77,20.39,19.77,20.28,2411,0
2013-02-28,20.28,20.7,20.09,20.25,3158,0
2013-03-01,19.98,20.5,19.85,20.25,2232,0
2013-03-04,20.2,20.41,20.02,20.23,2498,0
2013-03-05,20.43,21.03,20.4,20.8,3331,0
2013-03-06,20.82,21.25,20.82,21.05,2620,0
2013-03-07,21.17,21.28,20.88,21.25,2370,0
2013-03-08,21.5,21.67,21.12,21.17,2199,0
2013-03-11,21.12,21.35,20.85,21.35,1838,0
2013-03-12,21.31,21.85,21.05,21.64,2347,0
2013-03-13,21.62,21.94,21.33,21.66,2108,0
2013-03-14,21.71,21.93,21.33,21.46,2176,0
2013-03-15,21.49,21.53,21.15,21.47,2860,0
2013-03-18,21.8,22.37,21.51,21.93,3684,0
2013-03-19,22.04,22.5,21.77,21.89,2231,0
2013-03-20,22.02,22.42,21.95,22.27,2990,0
2013-03-21,22.07,22.74,21.82,22.06,2648,0
2013-03-22,22.28,22.36,21.67,21.69,2095,0
2013-03-25,21.73,21.87,20.96,21.31,3676,0
2013-03-26,21.49,21.72,20.97,21.19,2156,0
2013-03-27,21.03,21.43,20.8,21.33,3210,0
2013-03-28,22.5,22.98,22.42,22.71,12362,0
