Date,Open,High,Low,Close,Volume,OpenInterest
2015-01-02,35.27,35.31,34.41,34.84,86826,0
2015-01-05,34.98,35.25,34.07,34.33,144081,0
2015-01-06,34.41,35.22,34.09,34.85,156656,0
2015-01-07,35.23,35.95,35.04,35.84,173050,0
2015-01-08,36.06,36.45,35.8,36.2,126434,0
2015-01-09,36.21,36.37,35.41,35.59,129907,0
2015-01-12,35.81,35.94,35.47,35.84,93858,0
2015-01-13,36.08,36.4,34.68,35.25,185045,0
2015-01-14,34.3,34.57,33.59,34.3,243486,0
2015-01-15,34.78,34.87,33.38,33.43,171131,0
2015-01-16,33.31,33.79,33.27,33.68,158599,0
2015-01-20,33.88,34.01,33.35,33.93,91058,0
2015-01-21,33.82,34.12,33.52,33.89,117103,0
2015-01-22,34.15,34.18,33.31,33.82,121954,0
2015-01-23,33.9,34.18,33.71,33.75,110320,0
2015-01-26,33.71,34.04,33.6,33.7,97520,0
2015-01-27,33.4,33.69,33.15,33.42,124275,0
2015-01-28,33.51,33.58,32.75,32.84,134921,0
2015-01-29,32.91,33.34,32.36,33.16,142176,0
2015-01-30,32.88,33.15,32.63,32.62,121105,0
2015-02-02,32.67,33.15,32.44,33.11,167168,0
2015-02-03,33.5,34.2,33.44,33.98,240442,0
2015-02-04,35.27,35.98,34.15,35.83,439666,0
2015-02-05,36.28,36.6,36.01,36.25,187894,0
2015-02-06,36.26,36.54,35.92,36.0,149157,0
2015-02-09,35.74,36.1,35.51,36.0,135729,0
2015-02-10,37.28,37.55,36.4,37.52,257335,0
2015-02-11,37.58,37.86,37.28,37.67,201040,0
2015-02-12,37.85,38.18,37.73,38.02,139780,0
2015-02-13,37.93,38.07,37.35,37.62,125863,0
2015-02-17,37.2,37.47,37.05,37.24,119141,0
2015-02-18,37.25,37.48,37.13,37.19,73794,0
2015-02-19,37.03,37.61,36.98,37.51,104635,0
2015-02-20,37.49,37.72,37.16,37.65,83997,0
2015-02-23,37.62,37.77,37.33,37.69,74130,0
2015-02-24,37.62,37.91,37.58,37.75,76817,0
2015-02-25,37.79,37.96,37.61,37.86,92976,0
2015-02-26,37.81,38.13,37.51,37.56,94971,0
2015-02-27,37.38,37.45,37.11,37.31,76725,0
2015-03-02,37.41,37.71,37.36,37.61,81902,0
2015-03-03,37.38,37.81,37.3,37.8,82832,0
2015-03-04,37.63,37.8,37.3,37.57,86840,0
2015-03-05,37.64,37.82,37.56,37.61,57502,0
2015-03-06,37.46,37.55,36.73,36.84,106333,0
2015-03-09,37.58,37.81,37.32,37.66,195163,0
2015-03-10,37.43,37.78,37.15,37.55,155955,0
2015-03-11,37.6,38.13,37.52,37.78,117319,0
2015-03-12,37.86,38.47,37.84,38.43,115198,0
2015-03-13,38.39,38.39,37.73,38.05,82938,0
2015-03-16,38.27,38.6,38.21,38.58,88532,0
2015-03-17,38.15,38.47,38.06,38.29,75267,0
2015-03-18,38.17,38.6,37.78,38.5,109277,0
2015-03-19,38.45,38.78,38.29,38.65,97086,0
2015-03-20,38.76,38.93,38.55,38.87,117933,0
