Date,Open,High,Low,Close,Volume,OpenInterest
2017-01-03,69.98,70.95,69.04,70.5,13427,0
2017-01-04,70.69,73.13,70.44,73.13,15031,0
2017-01-05,72.77,73.94,72.77,73.42,13893,0
2017-01-06,73.55,74.61,73.22,74.45,12962,0
2017-01-09,78.4,80.88,78.06,79.79,31976,0
2017-01-10,80.26,80.45,77.86,77.88,16628,0
2017-01-11,77.33,78.41,77.21,78.23,9495,0
2017-01-12,77.81,77.96,76.72,77.6,13111,0
2017-01-13,77.47,78.08,77.24,77.74,8339,0
2017-01-17,77.35,78.13,77.18,78.04,9561,0
2017-01-18,78.28,79.36,78.14,78.62,14310,0
2017-01-19,79.16,79.62,78.75,79.39,16502,0
2017-01-20,79.47,79.84,78.76,79.08,11623,0
2017-01-23,78.87,79.07,77.81,78.39,9856,0
2017-01-24,78.39,79.1,78.24,79.03,7467,0
2017-01-25,79.28,79.54,77.96,78.28,10324,0
2017-01-26,77.7,78.04,76.71,76.8,10701,0
2017-01-27,77.58,77.98,76.86,77.44,9386,0
2017-01-30,77.1,77.89,75.88,77.81,10009,0
2017-01-31,77.71,77.71,76.65,77.28,5684,0
2017-02-01,77.59,77.85,76.44,77.05,9386,0
2017-02-02,76.63,77.1,76.03,76.72,8240,0
2017-02-03,77.29,79.29,77.14,78.6,17074,0
2017-02-06,78.05,78.5,77.62,78.18,6815,0
2017-02-07,78.13,79.38,77.85,78.7,10852,0
2017-02-08,78.54,79.78,78.06,79.07,7938,0
2017-02-09,79.0,79.33,78.11,78.62,8764,0
2017-02-10,78.47,78.99,78.25,78.47,7901,0
2017-02-13,78.83,78.91,78.22,78.22,5861,0
2017-02-14,78.15,79.3,77.97,79.21,6493,0
2017-02-15,78.8,79.03,78.35,78.96,4863,0
2017-02-16,78.9,79.03,77.51,77.67,6151,0
2017-02-17,77.6,77.97,76.88,77.95,12933,0
2017-02-21,78.03,79.08,78.03,78.85,6147,0
2017-02-22,78.78,79.3,78.29,78.7,7116,0
2017-02-23,79.09,79.09,77.6,78.21,10409,0
2017-02-24,77.98,78.97,77.38,78.97,9030,0
2017-02-27,79.21,80.0,79.13,79.9,12196,0
2017-02-28,79.6,80.42,79.15,79.69,14861,0
2017-03-01,80.42,81.0,79.32,79.45,18553,0
2017-03-02,79.22,79.27,78.07,78.27,9987,0
2017-03-03,78.33,80.96,78.26,80.61,18805,0
2017-03-06,80.36,80.51,79.18,80.21,11160,0
2017-03-07,80.08,81.56,79.91,80.89,14885,0
2017-03-08,80.9,81.26,80.23,80.27,8904,0
2017-03-09,80.29,80.65,79.19,79.67,6540,0
2017-03-10,79.75,80.28,78.79,79.14,9406,0
2017-03-13,79.05,79.78,78.88,79.67,4945,0
2017-03-14,79.63,80.0,78.8,79.07,4169,0
2017-03-15,79.33,79.33,78.15,78.73,10447,0
2017-03-16,78.84,79.71,78.54,79.7,7605,0
2017-03-17,79.93,80.27,79.62,80.03,6065,0
2017-03-20,80.03,80.03,79.25,79.38,5974,0
2017-03-21,79.78,79.83,78.17,78.25,7052,0
2017-03-22,78.29,79.33,78.21,79.07,4420,0
2017-03-23,78.82,79.84,78.59,78.94,7397,0
2017-03-24,79.26,79.47,78.27,78.42,7349,0
2017-03-27,77.71,78.39,77.31,78.12,10869,0
2017-03-28,78.11,79.11,77.68,78.75,8595,0
2017-03-29,78.75,79.19,78.47,78.83,6832,0
2017-03-30,80.06,81.63,79.31,80.7,18671,0
2017-03-31,80.1,81.1,80.09,80.68,8686,0
2017-04-03,80.86,80.93,79.09,79.33,10252,0
2017-04-04,78.95,79.32,78.01,78.35,10101,0
2017-04-05,78.41,78.9,77.56,77.75,6261,0
2017-04-06,77.67,78.4,77.49,78.09,4962,0
2017-04-07,77.99,78.47,77.73,77.93,4285,0
2017-04-10,77.8,78.34,77.46,77.5,5281,0
2017-04-11,77.5,77.69,76.6,77.69,6711,0
2017-04-12,77.76,77.97,76.47,77.51,5268,0
2017-04-13,77.19,78.38,77.03,77.54,7510,0
2017-04-17,77.64,78.6,77.64,78.58,4918,0
2017-04-18,78.21,79.07,78.17,79.0,4958,0
2017-04-19,78.97,79.53,78.77,78.95,6339,0
2017-04-20,79.26,81.08,78.81,80.99,13530,0
2017-04-21,80.99,81.71,80.27,80.86,13863,0
2017-04-24,81.57,81.89,80.98,81.39,9452,0
2017-04-25,81.55,82.37,81.18,81.98,10381,0
2017-04-26,81.98,82.01,81.05,81.42,7084,0
2017-04-27,81.41,82.12,81.23,81.97,8636,0
2017-04-28,81.71,82.24,80.79,81.76,13894,0
2017-05-01,81.9,82.03,81.43,81.5,8964,0
2017-05-02,81.55,81.99,81.0,81.72,7147,0
2017-05-03,81.33,81.57,80.01,81.1,16042,0
2017-05-04,84.79,86.22,84.29,86.14,26269,0
2017-05-05,86.62,86.62,85.74,86.07,14541,0
2017-05-08,86.34,86.93,86.12,86.54,9498,0
2017-05-09,86.63,87.55,86.44,87.27,13222,0
2017-05-10,87.26,88.17,87.13,87.79,9137,0
2017-05-11,87.27,88.3,86.99,88.25,6453,0
2017-05-12,88.07,88.25,87.5,87.74,7321,0
2017-05-15,87.72,89.83,87.68,89.44,9768,0
2017-05-16,89.76,89.98,89.09,89.36,8376,0
2017-05-17,88.7,89.07,88.07,88.1,9883,0
2017-05-18,88.09,89.38,87.68,88.77,6898,0
2017-05-19,89.29,90.31,89.02,90.04,7783,0
2017-05-22,90.34,91.78,90.21,91.73,6061,0
2017-05-23,91.95,92.18,90.95,91.21,8482,0
2017-05-24,91.23,92.64,90.95,92.51,8453,0
2017-05-25,93.0,93.05,92.32,92.37,8367,0
2017-05-26,92.19,92.68,91.76,91.85,7590,0
2017-05-30,91.82,92.26,91.58,91.98,6542,0
2017-05-31,92.21,92.38,91.34,91.61,7792,0
2017-06-01,91.96,93.31,91.88,93.31,9572,0
2017-06-02,93.28,93.31,92.13,92.39,9540,0
2017-06-05,92.65,92.93,91.65,91.72,11618,0
2017-06-06,91.64,93.52,91.16,92.24,9540,0
2017-06-07,92.28,92.92,91.96,92.25,6600,0
2017-06-08,92.01,92.18,90.39,91.08,8431,0
2017-06-09,91.14,91.16,88.39,89.1,14698,0
2017-06-12,88.66,90.1,87.3,89.5,11810,0
2017-06-13,90.0,91.44,89.99,90.8,7204,0
2017-06-14,91.01,91.18,89.83,90.4,5168,0
2017-06-15,89.38,90.7,88.63,90.34,6803,0
2017-06-16,90.31,90.31,89.18,89.55,7290,0
2017-06-19,89.84,90.73,89.38,89.75,5246,0
2017-06-20,89.47,90.57,89.05,89.11,4099,0
2017-06-21,89.16,90.07,88.95,89.61,6354,0
2017-06-22,89.71,90.85,89.1,90.48,6345,0
2017-06-23,90.86,91.42,90.11,91.26,5517,0
2017-06-26,91.32,91.89,90.11,90.25,4118,0
2017-06-27,90.08,90.62,89.41,89.86,5953,0
2017-06-28,90.51,91.97,89.59,91.88,7816,0
2017-06-29,91.63,91.83,89.66,90.41,6443,0
2017-06-30,91.02,91.24,90.32,90.32,3949,0
2017-07-03,90.86,90.88,89.78,90.05,3138,0
2017-07-05,90.1,90.67,89.43,89.88,6574,0
2017-07-06,89.25,89.25,88.05,88.41,6647,0
2017-07-07,88.77,89.58,88.41,88.99,6098,0
2017-07-10,88.75,89.36,87.99,88.65,9720,0
2017-07-11,88.48,88.74,87.86,88.31,9446,0
2017-07-12,88.81,90.24,88.81,90.19,5086,0
2017-07-13,90.52,90.89,89.98,90.68,5075,0
2017-07-14,90.89,91.91,90.31,91.86,6693,0
2017-07-17,92.13,92.17,89.41,91.37,11611,0
2017-07-18,90.94,91.74,90.44,91.71,5139,0
2017-07-19,92.08,92.98,91.72,92.8,5035,0
2017-07-20,92.78,93.87,92.52,93.61,7700,0
2017-07-21,93.63,94.32,93.38,93.78,7055,0
2017-07-24,93.85,95.0,93.53,94.8,5501,0
