Date,Open,High,Low,Close,Volume,OpenInterest
2017-01-03,242.7,244.97,237.97,241.57,34927,0
2017-01-04,241.44,243.32,240.03,243.13,20562,0
2017-01-05,242.63,243.24,236.78,241.32,25810,0
2017-01-06,242.29,246.2,241.37,244.9,30239,0
2017-01-09,243.25,244.69,241.47,242.89,23121,0
2017-01-10,240.87,243.44,239.05,242.57,27019,0
2017-01-11,242.77,245.84,242.0,245.76,28657,0
2017-01-12,245.06,245.47,241.57,243.84,33000,0
2017-01-13,245.43,247.77,242.91,244.3,34242,0
2017-01-17,242.94,243.06,235.61,235.74,49695,0
2017-01-18,236.0,237.69,231.52,234.29,63446,0
2017-01-19,234.07,234.75,230.62,231.41,38731,0
2017-01-20,231.62,233.23,230.54,232.2,41879,0
2017-01-23,231.86,233.76,230.75,232.67,25505,0
2017-01-24,231.86,236.06,230.84,233.68,35695,0
2017-01-25,235.69,237.33,234.48,237.25,29462,0
2017-01-26,237.47,240.79,237.47,239.58,31553,0
2017-01-27,236.9,237.97,236.01,236.95,24754,0
2017-01-30,235.58,236.29,231.52,233.9,30239,0
2017-01-31,232.85,234.35,228.16,229.32,38737,0
2017-02-01,230.51,232.86,229.52,230.67,31505,0
2017-02-02,228.51,232.33,227.05,230.41,21192,0
2017-02-03,234.52,241.11,234.2,240.95,60544,0
2017-02-06,239.62,243.65,239.17,239.98,37919,0
2017-02-07,241.15,241.44,239.39,239.62,19995,0
2017-02-08,238.3,238.94,236.31,237.73,20856,0
2017-02-09,238.8,243.3,237.42,241.55,27302,0
2017-02-10,243.37,244.16,241.23,242.72,23219,0
2017-02-13,244.49,247.48,244.49,246.27,23080,0
2017-02-14,245.75,250.0,245.69,249.46,32918,0
2017-02-15,250.58,251.95,248.51,250.54,35520,0
2017-02-16,250.3,250.78,248.44,249.44,17356,0
2017-02-17,247.51,250.56,247.11,250.38,22413,0
2017-02-21,251.0,252.65,250.71,251.76,21380,0
2017-02-22,250.06,252.35,250.0,251.73,17194,0
2017-02-23,251.31,251.9,249.32,251.19,19100,0
2017-02-24,247.5,248.88,246.1,247.35,27763,0
2017-02-27,247.21,249.76,246.61,249.33,16657,0
2017-02-28,248.0,249.0,245.61,248.06,26223,0
2017-03-01,253.71,255.15,251.26,252.71,41516,0
2017-03-02,253.52,254.24,250.97,251.06,23510,0
2017-03-03,251.73,254.75,251.5,252.89,25209,0
2017-03-06,252.17,252.73,250.5,252.01,17762,0
2017-03-07,252.49,253.0,250.31,250.9,18409,0
2017-03-08,253.62,254.77,249.61,250.24,28925,0
2017-03-09,251.22,252.74,249.52,250.18,23925,0
2017-03-10,251.85,251.9,246.87,248.38,27754,0
2017-03-13,249.32,249.32,247.2,248.16,13514,0
2017-03-14,246.81,247.83,245.41,247.72,17046,0
2017-03-15,248.35,250.28,245.56,246.78,27198,0
2017-03-16,247.85,250.2,247.31,248.22,23807,0
2017-03-17,249.68,249.68,243.86,243.94,43942,0
2017-03-20,243.32,244.93,241.52,242.14,21826,0
2017-03-21,243.31,243.31,232.79,233.0,46321,0
2017-03-22,231.22,232.92,229.15,231.07,52671,0
2017-03-23,230.75,234.63,229.95,231.9,39445,0
2017-03-24,233.0,233.7,226.97,228.41,54481,0
2017-03-27,223.3,227.07,220.85,225.48,79266,0
2017-03-28,225.58,229.75,225.1,229.33,32236,0
2017-03-29,229.39,229.97,227.52,228.45,22024,0
2017-03-30,229.48,232.0,229.38,231.22,26441,0
2017-03-31,230.53,230.8,228.73,229.72,21729,0
2017-04-03,229.95,230.1,225.57,228.96,28551,0
2017-04-04,227.72,230.69,227.28,229.26,25009,0
2017-04-05,232.14,232.89,227.31,227.66,46676,0
2017-04-06,227.09,230.12,225.71,228.64,23938,0
2017-04-07,226.57,228.83,226.23,227.88,22902,0
2017-04-10,228.0,229.79,226.95,228.89,20926,0
2017-04-11,227.78,229.4,225.39,227.74,26753,0
2017-04-12,227.65,228.25,225.23,225.75,24602,0
2017-04-13,225.18,228.17,223.08,223.32,30251,0
2017-04-17,223.9,226.88,223.02,226.26,32140,0
2017-04-18,219.32,219.89,213.18,215.59,106028,0
2017-04-19,215.87,217.18,213.61,214.09,53991,0
2017-04-20,215.5,218.98,215.0,218.06,43275,0
2017-04-21,218.06,219.18,216.38,216.86,30263,0
2017-04-24,221.18,224.81,220.3,223.22,42882,0
2017-04-25,226.2,227.98,225.15,226.63,31709,0
2017-04-26,227.1,229.36,226.09,226.2,27445,0
2017-04-27,226.7,226.7,223.52,225.81,23029,0
2017-04-28,225.31,226.77,223.72,223.8,22321,0
2017-05-01,224.9,226.39,220.93,224.85,24563,0
2017-05-02,224.86,225.84,223.17,225.12,19987,0
2017-05-03,224.45,226.69,224.32,226.31,25241,0
2017-05-04,228.26,228.89,224.81,226.59,21996,0
2017-05-05,226.88,227.48,225.3,226.87,20174,0
2017-05-08,226.75,227.34,224.6,225.03,17918,0
2017-05-09,225.47,226.57,222.93,223.76,16983,0
2017-05-10,223.33,225.35,223.06,224.88,20950,0
2017-05-11,224.35,225.09,222.15,224.76,18232,0
2017-05-12,223.65,224.49,222.48,222.82,17405,0
2017-05-15,223.13,226.57,222.85,225.12,17737,0
2017-05-16,225.49,226.82,224.41,225.6,13056,0
2017-05-17,221.73,222.16,213.12,213.72,60967,0
2017-05-18,214.0,217.61,213.86,215.16,39342,0
2017-05-19,214.87,217.8,214.0,215.39,30846,0
2017-05-22,217.0,217.64,215.4,216.02,19412,0
2017-05-23,215.97,220.79,214.66,219.64,27782,0
2017-05-24,220.0,224.4,219.45,223.83,32775,0
2017-05-25,224.41,225.45,222.3,222.47,22062,0
2017-05-26,222.01,224.23,221.18,223.53,14542,0
2017-05-30,221.83,222.44,218.01,218.42,24383,0
2017-05-31,218.24,218.3,209.62,211.26,67027,0
2017-06-01,212.61,215.93,210.79,215.01,32763,0
2017-06-02,212.94,215.21,211.91,213.31,28301,0
2017-06-05,213.08,215.81,212.68,213.99,20732,0
2017-06-06,212.51,216.02,212.48,214.53,23800,0
2017-06-07,215.37,217.23,214.31,215.78,19242,0
2017-06-08,215.56,221.0,214.63,218.76,30449,0
2017-06-09,220.83,223.85,219.75,222.44,35585,0
2017-06-12,223.63,225.23,219.65,221.91,27628,0
2017-06-13,223.35,226.8,222.77,224.2,20665,0
2017-06-14,222.99,226.94,221.76,226.51,29696,0
2017-06-15,224.81,226.35,222.8,223.23,27010,0
2017-06-16,222.65,223.67,221.13,221.81,27147,0
2017-06-19,223.43,227.04,223.11,226.13,22877,0
2017-06-20,225.51,226.54,224.19,225.1,15590,0
2017-06-21,224.54,224.93,221.93,222.49,23632,0
2017-06-22,221.44,221.9,219.29,219.77,26686,0
2017-06-23,220.5,220.69,216.46,217.19,29056,0
2017-06-26,218.2,221.97,217.69,220.44,20716,0
2017-06-27,221.84,222.41,219.56,220.28,23701,0
2017-06-28,221.75,224.63,220.75,223.22,26237,0
2017-06-29,228.37,228.79,223.03,224.41,41971,0
2017-06-30,225.31,226.05,221.54,221.9,24124,0
2017-07-03,224.46,229.07,223.42,227.28,22564,0
2017-07-05,228.38,228.92,225.21,228.04,20972,0
2017-07-06,227.97,230.06,225.25,226.69,25002,0
2017-07-07,228.23,228.49,224.42,225.28,20393,0
2017-07-10,224.39,227.34,223.96,225.84,18407,0
2017-07-11,226.15,227.95,224.67,226.95,21728,0
2017-07-12,226.4,229.02,226.07,227.39,19806,0
2017-07-13,227.39,230.64,226.95,230.4,20607,0
2017-07-14,227.22,229.61,225.1,228.6,30130,0
2017-07-17,228.73,229.64,227.21,229.26,20266,0
2017-07-18,227.5,230.36,222.76,223.31,51688,0
2017-07-19,222.91,224.2,221.67,222.87,41375,0
2017-07-20,223.0,224.76,221.61,222.3,28976,0
2017-07-21,221.84,222.31,219.09,220.18,27323,0
2017-07-24,218.94,219.73,218.0,218.18,25646,0
2017-07-25,220.45,222.88,220.18,221.58,27798,0
2017-07-26,222.45,223.74,221.87,222.25,22369,0
2017-07-27,221.84,222.71,220.43,221.48,21918,0
2017-07-28,221.77,223.67,220.86,223.61,19098,0
2017-07-31,223.95,225.5,223.05,225.33,15264,0
2017-08-01,227.09,228.62,226.73,227.0,23889,0
2017-08-02,226.4,227.73,225.57,226.27,13556,0
2017-08-03,226.0,226.74,223.97,223.99,16629,0
2017-08-04,226.05,229.68,225.06,229.79,26876,0
2017-08-07,229.8,233.13,229.29,232.92,30152,0
2017-08-08,232.4,235.83,231.7,232.05,27523,0
2017-08-09,230.13,231.49,229.06,231.01,20238,0
2017-08-10,229.02,229.46,225.46,225.5,25238,0
2017-08-11,225.07,226.68,222.65,224.15,22561,0
2017-08-14,226.37,229.83,226.37,227.36,17395,0
2017-08-15,229.57,230.61,227.5,227.59,14566,0
2017-08-16,228.32,229.01,225.0,225.61,17185,0
2017-08-17,224.38,225.98,221.11,221.42,25570,0
2017-08-18,220.79,224.1,220.55,222.15,25243,0
2017-08-21,222.32,222.4,219.21,220.79,16033,0
2017-08-22,221.87,223.78,221.33,223.58,14599,0
2017-08-23,221.9,224.81,221.33,222.74,20494,0
2017-08-24,223.77,224.57,222.59,222.99,14960,0
2017-08-25,223.64,224.95,222.13,222.47,16165,0
2017-08-28,222.91,223.09,218.86,220.35,20465,0
2017-08-29,217.27,220.14,215.75,219.96,18795,0
2017-08-30,220.25,224.22,220.09,222.42,18580,0
2017-08-31,223.25,224.49,222.58,223.74,15491,0
2017-09-01,224.55,227.56,223.53,225.88,16940,0
2017-09-05,223.85,224.0,217.3,217.78,45499,0
2017-09-06,218.98,221.02,217.61,218.83,26158,0
2017-09-07,218.73,218.81,214.64,215.84,27963,0
2017-09-08,215.51,219.28,215.4,217.21,23250,0
2017-09-11,220.07,221.89,218.99,221.06,21819,0
2017-09-12,222.54,227.69,222.02,225.95,29561,0
2017-09-13,225.25,227.14,224.72,226.56,17398,0
2017-09-14,226.1,228.1,226.05,226.85,14555,0
2017-09-15,227.15,227.21,223.82,225.22,26642,0
2017-09-18,226.3,229.0,225.66,227.53,17383,0
2017-09-19,228.01,230.14,227.33,228.91,13571,0
2017-09-20,229.5,231.65,228.5,229.79,20183,0
2017-09-21,229.89,232.1,229.4,231.29,12926,0
2017-09-22,230.64,231.49,228.88,231.03,13350,0
2017-09-25,230.77,231.86,228.35,230.26,11491,0
2017-09-26,230.86,231.44,229.03,229.94,12781,0
2017-09-27,234.07,235.6,232.91,234.76,22037,0
2017-09-28,235.0,236.2,233.5,235.47,16227,0
2017-09-29,235.01,237.6,234.57,237.19,13237,0
2017-10-02,237.2,241.1,237.1,240.65,18823,0
2017-10-03,241.1,242.71,239.69,241.62,14602,0
2017-10-04,241.62,242.88,240.12,240.31,13706,0
2017-10-05,241.0,246.32,240.12,246.06,26008,0
2017-10-06,246.3,247.08,244.61,246.02,16470,0
2017-10-09,245.15,246.35,242.02,242.8,16193,0
2017-10-10,242.8,243.73,241.7,242.6,15296,0
2017-10-11,242.0,243.2,241.35,242.4,15038,0
2017-10-12,242.33,243.42,238.75,239.8,15947,0
2017-10-13,239.0,239.45,236.84,238.53,18752,0
2017-10-16,238.6,242.76,238.35,242.41,23085,0
2017-10-17,244.44,244.89,235.19,236.09,58606,0
2017-10-18,236.87,242.65,236.87,242.03,33220,0
2017-10-19,240.3,240.99,238.1,239.99,19171,0
2017-10-20,242.95,245.25,240.67,244.73,23108,0
2017-10-23,244.39,245.33,241.38,242.13,14728,0
2017-10-24,243.6,246.25,243.0,244.84,15037,0
2017-10-25,246.16,246.5,240.8,241.71,20729,0
2017-10-26,242.33,244.0,241.53,241.72,14310,0
2017-10-27,240.85,242.44,239.67,241.71,13547,0
2017-10-30,240.1,242.59,239.53,240.89,13239,0
2017-10-31,240.68,244.18,240.63,242.48,19625,0
2017-11-01,243.89,247.4,242.91,244.26,23269,0
2017-11-02,244.69,247.74,243.38,246.88,18498,0
2017-11-03,245.37,246.28,243.19,244.4,14761,0
2017-11-06,243.5,244.58,241.67,243.49,11602,0
2017-11-07,243.94,244.98,238.84,239.81,16508,0
2017-11-08,239.2,242.32,237.55,241.25,17041,0
2017-11-09,239.51,242.37,237.84,240.79,14609,0
2017-11-10,241.69,243.32,240.0,240.15,13181,0
2017-11-13,237.97,240.9,237.16,240.27,13070,0
2017-11-14,239.65,240.88,235.63,237.24,22955,0
2017-11-15,234.97,238.15,233.55,237.61,18392,0
