Date,Open,High,Low,Close,Volume,OpenInterest
2013-01-02,10.905,10.905,10.64,10.715,65020,0
2013-01-03,10.765,10.96,10.73,10.87,71588,0
2013-01-04,10.735,10.735,10.585,10.67,79760,0
2013-01-07,10.675,10.83,10.67,10.825,67972,0
2013-01-08,10.625,10.7,10.61,10.63,91940,0
2013-01-09,10.61,10.75,10.61,10.67,126716,0
2013-01-10,10.75,11.19,10.645,10.99,150092,0
2013-01-11,12.71,13.295,12.535,13.055,532692,0
2013-01-14,12.88,13.07,12.84,12.985,184208,0
2013-01-15,12.795,12.83,12.585,12.75,144064,0
2013-01-16,12.69,12.895,12.66,12.835,62716,0
2013-01-17,12.92,13.14,12.915,13.035,73288,0
2013-01-18,13.0,13.1,12.955,13.055,45176,0
2013-01-22,13.025,13.05,12.93,13.0,54532,0
2013-01-23,13.01,13.34,12.97,13.255,98032,0
2013-01-24,13.115,13.245,13.08,13.16,69964,0
2013-01-25,13.13,13.2,13.11,13.17,61164,0
2013-01-28,13.15,13.155,12.985,13.055,44556,0
2013-01-29,13.09,13.155,13.005,13.115,40912,0
2013-01-30,13.15,13.265,13.085,13.21,64544,0
2013-01-31,13.08,13.22,13.05,13.18,66648,0
2013-02-01,13.145,13.215,13.075,13.205,62476,0
2013-02-04,13.01,13.115,12.975,12.98,80336,0
2013-02-05,13.105,13.18,13.045,13.15,71596,0
2013-02-06,13.085,13.245,13.075,13.225,83416,0
2013-02-07,13.115,13.115,12.98,13.05,80640,0
2013-02-08,13.06,13.21,13.06,13.1,42532,0
2013-02-11,13.05,13.05,12.75,12.78,86188,0
2013-02-12,12.84,12.92,12.7,12.89,54452,0
2013-02-13,12.975,13.11,12.945,13.045,53140,0
2013-02-14,13.135,13.17,12.86,12.91,44980,0
2013-02-15,12.92,12.93,12.805,12.85,41308,0
2013-02-19,13.015,13.14,13.0,13.065,52876,0
2013-02-20,13.0,13.12,12.93,12.975,52740,0
2013-02-21,12.9,12.955,12.775,12.795,49168,0
2013-02-22,13.15,13.485,13.105,13.37,126220,0
2013-02-25,13.585,13.93,13.58,13.645,147372,0
2013-02-26,13.705,13.75,13.575,13.62,53296,0
2013-02-27,13.52,13.73,13.51,13.64,87140,0
2013-02-28,13.455,13.625,13.45,13.485,59404,0
2013-03-01,13.37,13.535,13.255,13.495,92340,0
2013-03-04,13.335,13.405,13.285,13.395,69364,0
2013-03-05,13.44,13.565,13.4,13.54,65972,0
2013-03-06,13.615,13.75,13.615,13.69,55640,0
2013-03-07,13.78,13.8,13.675,13.675,64476,0
2013-03-08,13.645,13.805,13.645,13.765,64020,0
2013-03-11,13.58,13.62,13.465,13.59,50664,0
2013-03-12,13.395,13.44,13.135,13.19,79268,0
2013-03-13,13.225,13.29,13.125,13.235,43236,0
2013-03-14,13.25,13.345,13.235,13.315,41740,0
2013-03-15,13.425,13.62,13.39,13.4,76196,0
2013-03-18,13.21,13.395,13.175,13.305,49520,0
2013-03-19,13.24,13.275,13.08,13.135,46364,0
2013-03-20,13.18,13.385,13.18,13.36,58560,0
2013-03-21,13.25,13.27,13.03,13.055,46996,0
2013-03-22,13.1,13.18,13.0,13.09,49612,0
2013-03-25,13.145,13.175,13.0,13.075,50540,0
2013-03-26,13.16,13.23,13.14,13.16,49448,0
2013-03-27,13.115,13.21,13.05,13.18,31588,0
2013-03-28,13.23,13.495,13.18,13.48,75184,0
2013-04-01,13.485,13.49,13.29,13.325,37292,0
2013-04-02,13.57,13.715,13.485,13.555,53488,0
2013-04-03,13.54,13.62,13.36,13.41,52928,0
2013-04-04,13.14,13.19,13.05,13.14,57428,0
2013-04-05,12.925,13.03,12.795,13.01,34432,0
2013-04-08,12.93,12.975,12.85,12.95,39540,0
2013-04-09,12.745,13.02,12.69,12.87,58920,0
2013-04-10,12.875,13.35,12.875,13.25,102608,0
2013-04-11,13.415,13.635,13.295,13.585,133380,0
2013-04-12,11.045,11.315,10.715,10.775,664472,0
2013-04-15,10.655,10.685,10.385,10.43,218692,0
2013-04-16,10.555,10.715,10.53,10.69,103528,0
2013-04-17,10.645,10.67,10.385,10.475,134728,0
2013-04-18,10.595,10.635,10.275,10.32,111552,0
2013-04-19,10.385,10.455,10.28,10.435,122652,0
2013-04-22,10.285,10.36,10.215,10.33,92360,0
2013-04-23,10.365,10.43,10.245,10.295,93152,0
2013-04-24,10.25,10.315,10.145,10.2,100248,0
