Date,Open,High,Low,Close,Volume,OpenInterest
2017-01-03,87.34,87.76,85.98,87.23,150397,0
2017-01-04,86.96,87.18,86.4,86.91,122135,0
2017-01-05,86.81,87.11,85.25,86.11,118330,0
2017-01-06,86.39,86.62,85.94,86.12,106158,0
2017-01-09,85.72,86.77,85.52,86.18,102755,0
2017-01-10,86.12,86.9,85.72,86.43,109456,0
2017-01-11,86.43,87.08,85.91,87.08,125883,0
2017-01-12,86.81,87.27,86.02,86.24,177107,0
2017-01-13,87.11,88.17,86.1,86.7,238905,0
2017-01-17,84.93,85.22,83.28,83.55,251933,0
2017-01-18,83.63,84.23,83.03,83.94,185780,0
2017-01-19,84.06,84.67,83.12,83.3,128945,0
2017-01-20,83.43,83.83,83.28,83.67,148668,0
2017-01-23,83.3,84.0,83.2,83.71,96466,0
2017-01-24,83.92,85.0,83.56,84.72,120326,0
2017-01-25,85.84,86.17,85.17,86.03,144776,0
2017-01-26,85.95,86.95,85.95,86.75,124215,0
2017-01-27,86.66,86.98,86.27,86.93,100477,0
2017-01-30,86.19,86.5,85.32,86.03,115171,0
2017-01-31,85.6,86.15,84.09,84.63,127168,0
2017-02-01,85.54,86.1,84.68,84.95,127720,0
2017-02-02,84.37,84.91,84.16,84.59,86997,0
2017-02-03,86.19,87.31,85.86,87.18,149079,0
2017-02-06,86.79,87.45,86.61,86.77,92649,0
2017-02-07,87.14,87.4,86.48,86.72,77213,0
2017-02-08,86.18,86.31,85.37,85.96,117115,0
2017-02-09,86.42,87.33,86.13,87.2,101063,0
2017-02-10,87.48,87.48,86.89,87.0,89369,0
2017-02-13,87.41,88.74,87.41,88.15,131286,0
2017-02-14,88.3,89.7,88.1,89.56,141144,0
2017-02-15,90.08,90.87,89.35,90.59,146901,0
2017-02-16,90.4,91.04,89.77,90.53,147014,0
2017-02-17,89.82,90.47,89.69,90.23,127261,0
2017-02-21,90.51,91.15,90.46,91.01,97126,0
2017-02-22,90.52,91.3,90.42,91.06,81342,0
2017-02-23,91.18,91.34,90.52,91.13,89826,0
2017-02-24,90.18,90.54,89.73,90.33,123500,0
2017-02-27,90.32,90.73,90.02,90.43,96819,0
2017-02-28,89.84,90.82,89.58,90.62,111728,0
2017-03-01,92.79,93.98,92.61,93.6,194868,0
2017-03-02,93.87,93.92,92.03,92.14,130775,0
2017-03-03,92.23,93.11,92.19,92.8,107237,0
2017-03-06,92.25,92.32,91.1,91.92,119484,0
2017-03-07,91.67,92.09,91.21,91.41,92146,0
2017-03-08,92.68,92.86,91.1,91.21,140557,0
2017-03-09,91.6,92.14,91.15,91.57,113894,0
