Date,Open,High,Low,Close,Volume,OpenInterest
2013-01-02,39.87,39.93,39.39,39.81,30662,0
2013-01-03,39.88,40.745,39.42,39.84,37115,0
2013-01-04,39.83,40.2,39.5,40.16,26736,0
2013-01-07,40.06,41.155,39.89,41.145,41020,0
2013-01-08,41.135,41.305,40.515,41.095,26034,0
2013-01-09,41.395,41.925,41.175,41.635,27751,0
2013-01-10,41.855,41.885,40.645,40.945,32788,0
2013-01-11,41.045,41.725,40.455,40.875,30276,0
2013-01-14,41.075,41.375,40.585,40.945,34592,0
2013-01-15,40.585,41.225,39.73,40.605,98106,0
2013-01-16,41.105,41.105,40.365,40.445,33883,0
2013-01-17,40.975,42.045,40.885,41.865,53396,0
2013-01-18,41.975,42.265,41.535,42.005,35475,0
2013-01-22,41.945,42.115,41.115,41.995,38105,0
2013-01-23,41.865,42.615,41.845,42.535,33329,0
2013-01-24,42.595,43.06,42.055,42.225,35405,0
2013-01-25,42.355,43.1,42.045,42.99,28659,0
2013-01-28,42.99,43.14,41.715,41.835,29095,0
2013-01-29,42.335,42.925,41.955,42.605,36558,0
2013-01-30,42.445,42.455,41.225,41.525,37790,0
2013-01-31,41.125,41.605,40.605,41.465,31832,0
2013-02-01,41.775,42.195,40.945,40.995,31371,0
2013-02-04,40.945,41.375,40.455,40.475,29942,0
2013-02-05,40.525,41.225,39.76,40.895,36680,0
2013-02-06,40.745,41.295,40.515,40.625,22222,0
2013-02-07,40.675,40.865,39.61,40.05,33171,0
2013-02-08,40.18,40.275,39.39,39.89,34960,0
2013-02-11,39.83,40.11,39.14,39.2,41122,0
2013-02-12,39.28,41.475,39.22,40.795,56876,0
2013-02-13,40.815,41.205,40.385,40.755,22638,0
2013-02-14,40.725,40.975,40.485,40.565,17187,0
2013-02-15,40.545,41.055,39.99,40.13,24409,0
2013-02-19,40.18,40.515,38.95,39.84,33532,0
2013-02-20,39.44,39.53,36.965,37.115,64542,0
2013-02-21,37.125,37.81,36.545,37.62,56438,0
2013-02-22,37.8,38.15,37.365,37.81,27659,0
2013-02-25,38.09,38.3,36.565,36.595,35410,0
2013-02-26,36.805,38.04,36.695,37.94,46153,0
2013-02-27,38.05,39.08,37.75,38.87,41631,0
2013-02-28,38.96,39.67,38.44,38.52,33568,0
2013-03-01,38.37,38.97,37.71,38.77,36281,0
2013-03-04,38.69,39.8,38.68,39.79,38785,0
2013-03-05,39.96,40.895,39.9,40.615,37232,0
2013-03-06,40.895,41.645,40.785,41.175,40051,0
2013-03-07,41.005,41.425,40.525,41.345,28077,0
2013-03-08,41.705,41.765,40.855,41.645,36068,0
2013-03-11,41.445,42.015,41.295,41.735,27715,0
2013-03-12,41.585,41.725,40.865,40.915,30814,0
2013-03-13,40.845,41.295,40.295,41.105,35473,0
2013-03-14,41.175,41.975,41.165,41.865,26221,0
2013-03-15,41.975,42.225,41.325,41.695,33311,0
2013-03-18,41.175,41.725,40.955,41.505,29004,0
2013-03-19,42.215,42.225,40.925,41.345,42834,0
2013-03-20,41.675,43.82,41.055,43.32,88624,0
2013-03-21,43.22,43.32,42.025,42.315,62748,0
2013-03-22,42.305,42.515,41.745,42.045,32769,0
2013-03-25,42.055,42.795,41.255,41.485,31517,0
2013-03-26,41.625,41.905,41.185,41.645,26489,0
2013-03-27,41.215,41.755,41.085,41.715,22441,0
2013-03-28,41.765,41.775,41.035,41.405,31132,0
2013-04-01,41.305,41.575,40.365,40.535,32486,0
2013-04-02,40.675,41.065,39.94,39.96,32537,0
2013-04-03,39.97,40.06,38.02,38.86,62130,0
2013-04-04,39.25,39.27,38.38,38.72,41605,0
2013-04-05,38.01,39.43,37.88,39.27,37919,0
2013-04-08,39.21,40.385,38.67,40.365,36828,0
2013-04-09,40.325,40.555,39.39,39.67,30606,0
2013-04-10,39.79,39.82,38.93,39.44,34998,0
2013-04-11,39.36,39.65,38.82,38.99,39291,0
2013-04-12,38.74,40.705,38.66,40.405,56096,0
2013-04-15,39.99,40.05,37.59,37.71,56271,0
2013-04-16,38.78,39.16,37.66,38.63,51886,0
2013-04-17,38.23,38.34,37.325,38.22,40075,0
2013-04-18,38.19,38.25,36.755,37.165,41833,0
2013-04-19,37.44,38.22,36.695,38.1,43292,0
2013-04-22,38.1,38.79,37.045,38.72,47240,0
2013-04-23,40.265,41.445,39.78,41.375,75628,0
2013-04-24,41.505,42.165,40.795,41.335,42837,0
2013-04-25,41.455,42.425,41.085,41.855,32770,0
2013-04-26,42.305,42.795,41.725,42.225,37517,0
2013-04-29,42.195,42.825,41.295,41.345,36207,0
2013-04-30,41.215,41.565,40.395,41.145,36875,0
2013-05-01,40.865,40.955,40.15,40.295,31436,0
2013-05-02,40.675,42.135,40.375,41.845,37747,0
2013-05-03,42.385,43.24,41.685,42.035,43754,0
2013-05-06,41.965,42.395,41.685,42.045,17794,0
2013-05-07,42.085,42.285,41.455,42.125,19156,0
2013-05-08,41.985,42.255,41.335,42.175,28041,0
