Date,Open,High,Low,Close,Volume,OpenInterest
2018-01-02,89.23,89.74,88.09,89.31,450,0
2018-01-03,89.02,89.6,88.1,88.58,593,0
2018-01-04,88.96,90.1,88.28,88.97,846,0
2018-01-05,89.33,89.85,87.73,88.91,575,0
2018-01-08,88.72,90.03,88.72,89.83,513,0
2018-01-09,89.95,90.1,89.05,89.55,397,0
2018-01-10,89.38,90.76,88.77,89.17,560,0
2018-01-11,89.46,92.31,88.61,92.13,668,0
2018-01-12,92.5,95.41,92.25,94.95,1002,0
2018-01-16,95.46,95.46,92.36,92.41,458,0
2018-01-17,92.98,92.98,91.71,92.09,401,0
2018-01-18,91.99,93.31,91.29,91.66,555,0
2018-01-19,91.6,93.05,91.6,92.79,419,0
2018-01-22,92.37,94.06,91.22,91.58,341,0
2018-01-23,91.42,91.46,90.49,90.74,238,0
2018-01-24,90.81,91.54,90.0,90.69,532,0
2018-01-25,91.11,91.39,90.24,91.37,373,0
2018-01-26,91.45,92.62,90.97,92.39,582,0
2018-01-29,91.98,93.49,91.09,91.81,419,0
2018-01-30,91.07,92.06,90.12,90.71,235,0
2018-01-31,91.28,91.28,88.72,89.21,320,0
2018-02-01,89.07,91.69,89.07,90.54,478,0
2018-02-02,89.76,90.99,87.63,87.8,569,0
2018-02-05,87.45,89.59,86.1,86.51,1153,0
2018-02-06,85.18,91.15,85.0,90.3,1513,0
2018-02-07,89.8,91.5,88.41,90.56,986,0
2018-02-08,90.45,91.09,88.98,89.61,1092,0
2018-02-09,90.41,91.47,88.59,90.84,1054,0
2018-02-12,91.27,92.63,90.13,91.59,742,0
2018-02-13,90.82,93.27,90.82,91.91,471,0
2018-02-14,91.3,93.17,91.3,92.39,870,0
2018-02-15,93.28,93.45,91.2,92.76,976,0
2018-02-16,92.58,93.55,91.27,92.72,761,0
2018-02-20,92.42,92.91,91.29,91.64,696,0
2018-02-21,91.45,92.92,90.81,91.52,695,0
2018-02-22,91.78,92.21,90.82,91.27,724,0
2018-02-23,91.71,91.72,90.62,91.21,358,0
2018-02-26,91.41,91.85,91.0,91.87,645,0
2018-02-27,91.63,92.41,90.89,90.89,393,0
2018-02-28,91.17,91.9,88.33,88.44,348,0
2018-03-01,88.68,88.69,86.27,87.64,501,0
2018-03-02,87.0,89.27,86.08,89.06,415,0
2018-03-05,88.65,90.41,88.65,90.04,377,0
2018-03-06,90.42,91.31,89.42,91.25,446,0
2018-03-07,90.36,92.19,90.36,91.89,381,0
2018-03-08,92.22,92.98,90.41,92.39,462,0
2018-03-09,93.0,94.0,92.61,93.0,987,0
2018-03-12,93.0,93.3,92.08,92.78,657,0
2018-03-13,92.8,93.1,92.37,92.66,812,0
2018-03-14,93.0,93.0,91.88,92.55,482,0
2018-03-15,92.71,93.0,91.63,92.27,364,0
2018-03-16,92.28,92.82,91.63,92.65,384,0
2018-03-19,92.27,92.5,90.8,92.28,220,0
2018-03-20,92.25,93.45,91.31,92.26,215,0
2018-03-21,91.97,92.9,91.68,91.71,220,0
2018-03-22,90.77,92.25,87.93,88.22,517,0
2018-03-23,88.52,89.62,87.0,87.58,766,0
2018-03-26,88.69,89.89,87.06,89.56,438,0
2018-03-27,89.57,91.0,88.02,88.98,370,0
2018-03-28,88.96,90.39,88.53,89.38,613,0
2018-03-29,94.7,100.4,90.81,91.44,2748,0
2018-04-02,92.57,92.57,84.05,84.81,1240,0
2018-04-03,84.91,86.04,83.58,85.15,895,0
2018-04-04,84.09,84.89,83.56,84.73,804,0
2018-04-05,85.49,87.36,84.85,87.11,578,0
2018-04-06,86.49,87.62,84.83,86.02,813,0
2018-04-09,86.8,87.81,86.08,86.63,833,0
2018-04-10,87.88,88.78,87.4,88.04,387,0
2018-04-11,87.72,88.18,86.55,87.05,357,0
2018-04-12,87.72,87.86,86.36,87.36,734,0
2018-04-13,87.84,88.89,87.84,88.37,497,0
2018-04-16,88.99,89.93,88.17,89.35,243,0
2018-04-17,90.06,91.21,90.06,90.62,273,0
2018-04-18,91.04,92.48,91.04,91.62,357,0
2018-04-19,91.28,92.38,91.27,91.87,252,0
2018-04-20,91.23,92.25,90.5,90.9,382,0
2018-04-23,90.96,91.8,90.51,90.91,142,0
2018-04-24,91.58,91.95,87.12,87.6,463,0
2018-04-25,87.39,89.06,87.25,88.19,176,0
2018-04-26,88.36,88.39,86.73,88.0,708,0
2018-04-27,88.25,88.87,87.46,88.58,196,0
2018-04-30,88.61,89.36,87.76,87.86,310,0
2018-05-01,87.69,88.67,86.25,88.54,424,0
2018-05-02,88.2,90.29,87.58,87.75,1265,0
2018-05-03,87.69,88.8,86.14,87.89,1319,0
2018-05-04,88.09,89.76,87.21,89.18,347,0
2018-05-07,89.76,91.42,88.65,90.97,321,0
2018-05-08,90.69,92.28,90.69,91.83,381,0
2018-05-09,92.14,93.16,91.31,93.0,513,0
2018-05-10,93.31,94.33,92.68,93.8,757,0
2018-05-11,93.89,94.65,93.33,94.36,267,0
2018-05-14,94.36,94.91,93.93,94.19,521,0
2018-05-15,93.74,94.62,93.74,94.45,272,0
2018-05-16,94.47,95.85,94.43,95.41,423,0
2018-05-17,95.45,97.18,95.45,96.96,464,0
2018-05-18,96.85,97.87,95.84,97.7,444,0
