Date,Open,High,Low,Close,Volume,OpenInterest
2000-01-03,16.19,16.38,15.69,15.88,21852,0
2000-01-04,15.88,16.13,15.44,15.44,31347,0
2000-01-05,15.44,15.63,15.31,15.38,22886,0
2000-01-06,15.38,15.5,15.19,15.31,18730,0
2000-01-07,15.38,16.0,15.31,15.88,33114,0
2000-01-10,15.88,16.25,15.88,16.06,21146,0
2000-01-11,16.5,17.0,16.44,16.56,34828,0
2000-01-12,16.56,16.88,16.5,16.63,13039,0
2000-01-13,16.38,16.44,16.06,16.06,18585,0
2000-01-14,16.25,16.38,16.06,16.19,14269,0
2000-01-18,15.94,16.0,15.69,15.75,24238,0
2000-01-19,15.56,15.69,15.38,15.5,19172,0
2000-01-20,15.38,15.44,15.06,15.13,22377,0
2000-01-21,15.38,15.38,15.0,15.31,21163,0
2000-01-24,15.13,15.38,15.13,15.13,20427,0
2000-01-25,15.38,15.44,15.25,15.38,27452,0
2000-01-26,15.5,15.75,15.5,15.56,22162,0
2000-01-27,15.81,16.13,15.69,16.0,20770,0
2000-01-28,15.56,16.0,15.56,15.69,19021,0
2000-01-31,15.69,16.0,15.63,15.94,23942,0
2000-02-01,15.88,16.06,15.56,15.69,37571,0
2000-02-02,15.69,16.19,15.56,16.0,24327,0
2000-02-03,16.19,16.19,15.88,15.88,18224,0
2000-02-04,16.19,16.25,15.88,16.13,18364,0
2000-02-07,16.25,16.31,16.06,16.19,15732,0
2000-02-08,16.19,16.25,16.0,16.19,17067,0
2000-02-09,16.06,16.19,16.0,16.0,22232,0
2000-02-10,16.06,16.06,15.63,15.75,25241,0
2000-02-11,15.75,15.81,15.13,15.44,30476,0
2000-02-14,15.25,15.44,15.13,15.38,25266,0
2000-02-15,15.38,15.56,15.13,15.5,30456,0
2000-02-16,15.31,16.44,15.25,16.13,51671,0
2000-02-17,16.13,16.44,16.0,16.38,32079,0
2000-02-18,16.44,16.63,16.06,16.19,31616,0
2000-02-22,16.25,16.81,16.25,16.44,33250,0
2000-02-23,16.63,17.88,16.5,17.69,42936,0
2000-02-24,17.94,17.94,17.0,17.44,34240,0
2000-02-25,17.25,18.13,17.0,18.13,27542,0
2000-02-28,17.88,18.13,17.38,17.69,16836,0
2000-02-29,17.69,18.44,17.25,18.44,18943,0
2000-03-01,18.25,18.25,17.81,18.25,16529,0
2000-03-02,17.94,18.0,17.44,17.81,22047,0
2000-03-03,18.0,18.19,17.81,18.06,20411,0
2000-03-06,17.63,17.69,17.31,17.56,12018,0
2000-03-07,17.13,17.31,15.94,16.5,21333,0
2000-03-08,16.25,17.88,16.13,17.63,19775,0
2000-03-09,17.94,18.56,17.75,18.19,27771,0
2000-03-10,18.25,18.72,18.19,18.69,20424,0
2000-03-13,18.25,18.94,17.88,18.94,18341,0
2000-03-14,19.0,19.44,18.69,18.94,18996,0
2000-03-15,18.94,19.88,18.88,19.5,30454,0
2000-03-16,19.5,20.0,19.19,19.88,21793,0
2000-03-17,19.88,20.0,19.0,20.0,22717,0
2000-03-20,19.06,20.0,19.06,19.88,17808,0
2000-03-21,19.94,20.25,19.75,20.19,14628,0
2000-03-22,20.19,20.19,19.5,19.56,12877,0
2000-03-23,19.38,20.38,19.31,20.31,16968,0
2000-03-24,20.13,20.25,19.56,20.0,14952,0
2000-03-27,19.81,20.13,19.5,19.63,13795,0
2000-03-28,20.0,20.44,19.88,20.44,16990,0
2000-03-29,20.5,20.88,19.88,20.13,13434,0
