Date,Open,High,Low,Close,Volume,OpenInterest
2017-01-03,25.89,26.27,25.52,25.71,358,0
2017-01-04,26.19,26.46,26.03,26.33,1074,0
2017-01-05,24.27,24.75,23.5,24.23,3124,0
2017-01-06,24.47,24.87,24.01,24.1,1257,0
2017-01-09,24.04,24.8,23.98,24.27,1020,0
2017-01-10,23.98,24.52,23.7,24.2,993,0
2017-01-11,24.12,24.51,23.64,23.82,983,0
2017-01-12,23.65,24.32,23.45,23.72,851,0
2017-01-13,23.75,24.05,23.57,23.64,579,0
2017-01-17,23.59,23.59,22.9,23.07,778,0
2017-01-18,23.07,23.23,22.71,22.85,638,0
2017-01-19,22.52,23.0,22.52,22.65,690,0
2017-01-20,23.0,23.48,23.0,23.25,690,0
2017-01-23,23.18,23.28,23.0,23.05,436,0
2017-01-24,23.19,23.47,23.04,23.42,764,0
2017-01-25,23.63,24.0,23.45,23.49,613,0
2017-01-26,23.46,23.57,23.33,23.54,403,0
2017-01-27,23.65,23.65,23.11,23.28,252,0
2017-01-30,23.02,23.13,22.55,23.0,598,0
2017-01-31,22.91,23.25,22.64,23.08,606,0
2017-02-01,23.08,23.22,22.72,22.87,468,0
2017-02-02,22.81,22.81,22.45,22.59,439,0
2017-02-03,22.76,23.03,22.52,23.01,507,0
2017-02-06,22.86,23.27,22.6,22.78,278,0
2017-02-07,22.89,22.89,22.49,22.51,353,0
2017-02-08,22.62,22.76,22.34,22.52,328,0
2017-02-09,22.54,22.58,22.26,22.29,543,0
2017-02-10,22.58,23.47,22.48,23.3,491,0
2017-02-13,23.28,23.44,22.7,23.05,421,0
2017-02-14,22.98,23.05,22.73,22.96,356,0
2017-02-15,22.92,23.08,22.81,23.07,307,0
2017-02-16,23.15,23.38,22.87,23.0,352,0
2017-02-17,23.11,23.3,22.88,22.95,552,0
2017-02-21,22.95,23.16,22.88,23.11,236,0
2017-02-22,23.15,23.15,22.95,23.1,211,0
2017-02-23,23.17,23.17,22.95,23.0,376,0
2017-02-24,22.9,23.05,22.82,23.02,350,0
2017-02-27,22.9,23.35,22.9,23.29,433,0
2017-02-28,23.19,23.19,22.44,22.52,574,0
2017-03-01,22.8,23.12,22.68,23.04,239,0
2017-03-02,23.02,23.5,22.69,23.07,355,0
2017-03-03,23.14,23.16,22.69,22.8,141,0
2017-03-06,22.63,22.74,22.45,22.47,580,0
2017-03-07,22.43,22.63,22.43,22.51,180,0
2017-03-08,22.62,22.63,22.21,22.23,198,0
2017-03-09,22.16,22.24,21.86,21.96,374,0
2017-03-10,22.06,22.31,21.99,22.23,252,0
2017-03-13,22.22,22.55,22.22,22.49,656,0
2017-03-14,22.43,22.74,22.16,22.2,904,0
2017-03-15,22.36,22.48,22.07,22.36,437,0
2017-03-16,22.47,22.74,22.22,22.25,381,0
2017-03-17,21.36,21.83,20.05,20.39,3135,0
2017-03-20,20.23,20.41,19.53,20.1,2801,0
2017-03-21,20.12,21.4,19.49,20.77,1811,0
2017-03-22,20.77,20.77,19.57,20.0,700,0
2017-03-23,20.09,20.49,20.07,20.48,748,0
2017-03-24,20.52,20.79,20.14,20.17,369,0
2017-03-27,20.36,20.87,20.18,20.63,664,0
2017-03-28,20.74,20.97,20.6,20.83,615,0
2017-03-29,20.82,20.84,20.62,20.73,356,0
2017-03-30,20.71,21.15,20.71,21.0,459,0
2017-03-31,20.94,21.52,20.88,21.38,555,0
2017-04-03,21.49,21.49,20.63,20.74,927,0
2017-04-04,20.76,20.97,20.3,20.62,530,0
2017-04-05,20.66,20.89,20.51,20.8,716,0
2017-04-06,20.81,21.06,20.7,21.03,459,0
2017-04-07,20.95,21.07,20.84,21.04,591,0
2017-04-10,20.94,21.53,20.9,20.97,491,0
2017-04-11,20.98,21.31,20.94,21.21,459,0
2017-04-12,21.13,21.19,20.78,20.93,390,0
2017-04-13,20.9,21.04,20.34,20.54,328,0
2017-04-17,20.55,20.79,20.3,20.76,567,0
2017-04-18,20.53,20.92,20.33,20.91,1189,0
2017-04-19,20.9,21.25,20.67,21.13,1164,0
2017-04-20,21.27,21.83,21.11,21.61,982,0
2017-04-21,21.6,21.74,21.04,21.37,940,0
2017-04-24,21.6,22.11,21.54,22.08,766,0
2017-04-25,22.24,22.44,21.8,22.18,457,0
2017-04-26,22.11,22.97,22.11,22.78,644,0
2017-04-27,22.78,22.85,22.59,22.68,508,0
2017-04-28,22.65,22.75,22.44,22.5,718,0
2017-05-01,22.45,22.76,22.08,22.4,427,0
2017-05-02,22.39,22.8,22.39,22.67,440,0
2017-05-03,22.5,22.55,21.99,22.27,449,0
2017-05-04,22.26,22.3,21.78,22.13,297,0
2017-05-05,22.16,22.35,21.98,22.15,269,0
2017-05-08,22.17,22.69,22.03,22.56,327,0
2017-05-09,22.16,22.95,21.99,22.39,727,0
2017-05-10,22.09,22.65,22.07,22.58,699,0
2017-05-11,22.52,22.52,20.65,21.26,1397,0
2017-05-12,21.25,21.78,21.21,21.51,961,0
2017-05-15,21.57,21.86,21.54,21.71,370,0
2017-05-16,21.77,22.4,21.1,22.23,836,0
2017-05-17,21.92,22.17,21.34,21.34,882,0
2017-05-18,21.35,21.94,21.05,21.35,1030,0
2017-05-19,21.32,21.72,21.12,21.38,933,0
2017-05-22,21.46,21.47,21.06,21.26,515,0
2017-05-23,21.38,21.38,20.94,21.12,421,0
2017-05-24,21.02,21.13,20.78,20.98,898,0
2017-05-25,21.11,21.14,20.55,20.68,461,0
2017-05-26,20.63,20.95,20.57,20.81,439,0
2017-05-30,20.72,20.88,20.62,20.79,232,0
2017-05-31,20.82,21.13,20.36,20.92,440,0
2017-06-01,20.95,21.42,20.72,21.34,328,0
2017-06-02,21.37,22.3,21.37,21.87,482,0
2017-06-05,21.85,21.98,21.26,21.75,351,0
2017-06-06,21.53,21.88,20.99,21.01,1597,0
2017-06-07,21.01,21.02,20.53,20.55,351,0
2017-06-08,20.55,21.04,20.11,20.91,813,0
