Date,Open,High,Low,Close,Volume,OpenInterest
2018-01-02,117.05,117.5,116.9,117.52,17031,0
2018-01-03,117.51,118.0,117.44,118.0,21246,0
2018-01-04,118.0,118.25,117.53,117.93,27964,0
2018-01-05,118.46,118.69,117.7,118.6,36215,0
2018-01-08,118.74,119.12,118.45,119.1,11177,0
2018-01-09,119.15,119.61,118.79,119.32,14626,0
2018-01-10,119.29,119.29,118.64,118.83,23343,0
2018-01-11,118.99,119.73,118.76,119.54,25952,0
2018-01-12,119.54,119.74,119.05,119.7,13224,0
2018-01-16,119.78,120.11,119.03,119.72,25611,0
2018-01-17,119.69,120.1,118.75,118.81,22686,0
2018-01-18,118.61,119.19,118.5,118.86,18128,0
2018-01-19,119.15,121.25,118.93,120.66,54448,0
2018-01-22,120.5,121.06,120.29,120.99,11213,0
2018-01-23,120.37,122.2,120.2,121.55,34027,0
2018-01-24,121.34,122.53,120.99,122.18,22342,0
2018-01-25,122.4,123.15,121.6,122.39,28117,0
2018-01-26,122.75,122.81,122.25,122.41,14411,0
2018-01-29,122.1,122.34,121.75,121.77,14169,0
2018-01-30,121.7,122.42,121.0,122.25,17987,0
2018-01-31,122.0,122.5,121.71,121.8,20710,0
2018-02-01,121.8,122.38,121.45,121.89,23910,0
2018-02-02,121.25,122.28,121.01,121.0,21454,0
2018-02-05,121.0,121.83,119.03,119.18,28055,0
2018-02-06,118.63,120.14,118.5,119.29,44892,0
2018-02-07,119.0,121.5,118.96,120.41,30852,0
2018-02-08,120.47,120.67,119.09,119.08,23662,0
2018-02-09,119.47,119.75,118.1,118.64,41082,0
2018-02-12,119.0,121.3,119.0,120.44,30272,0
2018-02-13,120.0,120.81,119.98,120.11,12277,0
2018-02-14,119.75,120.5,119.75,120.18,15013,0
2018-02-15,120.66,120.99,120.17,121.0,11072,0
2018-02-16,120.72,121.33,120.31,120.79,12419,0
2018-02-20,121.05,121.15,120.05,120.31,17272,0
2018-02-21,120.31,121.1,120.0,120.19,14537,0
2018-02-22,120.47,121.26,120.02,120.42,23605,0
2018-02-23,120.5,121.85,120.44,121.74,18535,0
2018-02-26,121.76,124.2,121.74,122.9,21370,0
2018-02-27,122.74,123.39,122.56,122.7,19270,0
2018-02-28,123.4,123.93,123.04,123.37,38160,0
2018-03-01,123.45,123.89,122.35,122.91,35941,0
2018-03-02,122.83,123.18,122.46,122.73,22720,0
2018-03-05,122.55,123.26,122.38,123.0,12834,0
2018-03-06,123.06,123.39,122.61,123.37,21732,0
2018-03-07,122.94,123.22,122.84,122.95,37947,0
2018-03-08,122.99,123.23,122.73,123.02,25485,0
2018-03-09,123.15,123.5,122.74,123.51,24789,0
2018-03-12,123.25,123.91,122.91,123.15,11345,0
2018-03-13,123.56,123.8,123.27,123.59,10120,0
2018-03-14,123.65,123.73,122.9,123.15,26343,0
2018-03-15,123.2,123.35,116.25,117.2,133602,0
2018-03-16,117.55,119.0,117.47,117.77,39102,0
2018-03-19,117.53,118.23,117.01,117.64,19468,0
2018-03-20,117.87,119.09,117.45,118.36,16920,0
2018-03-21,118.68,119.56,118.38,119.02,40627,0
2018-03-22,118.75,119.0,117.36,117.53,19657,0
2018-03-23,117.8,118.4,116.99,117.15,16260,0
2018-03-26,117.86,117.86,116.9,117.69,14717,0
2018-03-27,117.76,118.46,117.04,117.58,13575,0
2018-03-28,117.79,117.99,116.75,116.75,14544,0
2018-03-29,117.11,117.87,116.0,116.69,20063,0
2018-04-02,116.86,117.52,116.18,116.6,16117,0
2018-04-03,116.85,117.26,116.24,117.0,11595,0
2018-04-04,116.6,116.98,116.17,116.75,13869,0
2018-04-05,116.6,118.12,116.36,118.05,27921,0
2018-04-06,117.75,118.86,117.39,117.86,19242,0
2018-04-09,118.0,126.8,117.41,125.15,141189,0
2018-04-10,124.99,126.0,124.23,125.01,104558,0
2018-04-11,125.56,125.66,124.93,125.2,69174,0
2018-04-12,125.2,125.75,125.13,125.31,30358,0
2018-04-13,125.4,125.62,125.26,125.4,23606,0
2018-04-16,125.4,125.75,125.24,125.7,30727,0
2018-04-17,125.7,125.9,125.45,125.45,25264,0
2018-04-18,125.5,125.56,124.82,124.95,35628,0
2018-04-19,124.9,125.08,124.27,124.6,33357,0
2018-04-20,124.98,125.39,124.85,125.0,31272,0
2018-04-23,124.8,125.0,124.6,125.05,20437,0
2018-04-24,124.89,125.12,124.51,124.74,19320,0
2018-04-25,125.0,125.0,124.35,124.68,17548,0
2018-04-26,124.99,125.27,124.86,124.99,26375,0
2018-04-27,124.93,125.24,124.86,125.07,15406,0
2018-04-30,124.98,125.44,124.94,125.37,11681,0
2018-05-01,125.38,125.59,125.22,125.61,15740,0
2018-05-02,125.41,125.55,124.94,125.2,21284,0
2018-05-03,125.06,125.18,124.65,125.1,33004,0
2018-05-04,124.93,125.09,124.75,124.83,21095,0
2018-05-07,125.0,125.6,124.81,125.05,15211,0
2018-05-08,124.8,125.01,124.69,124.93,16760,0
2018-05-09,125.0,125.1,124.3,124.69,29493,0
2018-05-10,124.71,124.83,124.57,124.89,17256,0
2018-05-11,124.9,125.08,124.7,124.97,15558,0
2018-05-14,125.0,125.08,124.83,124.95,14083,0
2018-05-15,124.85,125.31,124.76,125.29,14019,0
2018-05-16,125.14,125.5,125.07,125.44,22400,0
2018-05-17,125.32,125.58,125.25,125.49,16069,0
2018-05-18,125.42,126.0,125.4,125.85,17205,0
