Date,Open,High,Low,Close,Volume,OpenInterest
2018-01-02,25.95,26.67,25.95,26.65,40496,0
2018-01-03,26.76,26.86,26.39,26.41,33172,0
2018-01-04,26.5,26.86,26.15,26.82,40936,0
2018-01-05,26.99,27.13,26.6,26.86,42934,0
2018-01-08,26.92,26.92,25.9,26.29,34833,0
2018-01-09,26.34,26.44,25.97,26.11,31053,0
2018-01-10,25.53,26.09,25.51,25.91,45263,0
2018-01-11,26.04,27.12,26.02,27.07,51880,0
2018-01-12,27.14,27.28,27.0,27.22,24331,0
2018-01-16,27.25,27.25,25.59,25.68,49607,0
2018-01-17,25.84,25.84,25.22,25.54,28271,0
2018-01-18,25.51,26.52,25.38,26.22,54526,0
2018-01-19,26.35,26.67,25.92,26.53,36960,0
2018-01-22,26.44,26.8,26.27,26.66,36724,0
2018-01-23,27.11,27.51,27.01,27.3,51145,0
2018-01-24,27.42,27.5,27.05,27.2,43063,0
2018-01-25,27.39,27.5,26.69,26.69,39480,0
2018-01-26,26.83,27.74,26.8,27.62,37179,0
2018-01-29,27.53,28.3,27.5,27.7,68006,0
2018-01-30,27.46,27.93,27.04,27.19,34271,0
2018-01-31,27.32,27.41,26.73,27.3,45699,0
2018-02-01,27.11,27.69,26.75,26.87,47873,0
2018-02-02,26.72,26.84,25.62,26.04,46586,0
2018-02-05,25.76,26.1,24.77,24.78,62587,0
2018-02-06,24.21,25.25,23.74,25.07,61994,0
2018-02-07,25.05,25.69,24.92,25.25,38997,0
2018-02-08,25.24,25.42,24.12,24.13,39647,0
2018-02-09,24.46,24.63,23.46,24.35,61689,0
2018-02-12,24.79,25.36,24.51,25.21,39712,0
2018-02-13,25.07,25.34,24.77,25.21,23635,0
2018-02-14,24.9,25.93,24.9,25.72,33590,0
2018-02-15,26.0,26.11,25.43,25.86,31013,0
2018-02-16,25.8,26.0,25.43,25.43,42579,0
2018-02-20,26.05,27.37,26.0,26.76,70019,0
2018-02-21,27.53,28.08,27.37,27.46,67502,0
2018-02-22,27.62,28.06,27.28,27.45,48136,0
2018-02-23,27.8,28.84,27.59,28.74,53360,0
2018-02-26,28.86,29.2,27.91,28.19,41261,0
2018-02-27,28.16,28.18,26.8,26.82,52243,0
2018-02-28,26.87,26.95,26.32,26.32,46525,0
2018-03-01,26.3,26.7,25.85,26.36,35286,0
2018-03-02,26.26,26.81,25.71,26.75,29693,0
2018-03-05,27.19,28.28,27.13,27.98,72025,0
2018-03-06,28.15,28.46,27.45,27.74,44334,0
2018-03-07,27.41,27.61,26.99,27.28,31712,0
2018-03-08,27.35,27.35,26.59,27.29,36335,0
2018-03-09,27.5,29.18,27.1,28.25,68813,0
2018-03-12,28.13,28.26,27.45,27.62,40714,0
2018-03-13,27.65,28.29,27.52,27.61,36106,0
2018-03-14,27.7,27.84,27.05,27.1,31937,0
2018-03-15,27.12,27.27,26.35,26.39,32140,0
2018-03-16,26.31,26.43,26.03,26.1,37749,0
2018-03-19,25.86,25.91,25.2,25.59,39606,0
2018-03-20,25.69,25.78,25.0,25.03,22695,0
2018-03-21,25.07,25.71,24.95,25.26,28095,0
2018-03-22,24.89,25.49,24.66,24.68,38554,0
2018-03-23,24.68,25.03,24.23,24.26,25561,0
2018-03-26,24.67,24.69,24.1,24.65,33541,0
2018-03-27,24.79,25.1,24.03,24.2,38152,0
2018-03-28,24.21,24.31,23.43,23.57,41198,0
2018-03-29,23.71,24.44,23.7,24.28,37871,0
2018-04-02,24.25,24.42,23.44,23.67,24355,0
2018-04-03,23.8,24.01,23.42,23.93,24999,0
2018-04-04,23.15,24.13,22.9,24.1,39033,0
2018-04-05,24.33,25.29,24.24,25.19,42801,0
2018-04-06,24.8,24.87,23.99,24.22,29397,0
2018-04-09,24.39,24.79,24.06,24.49,32606,0
2018-04-10,25.0,25.37,24.78,25.03,25320,0
2018-04-11,24.65,24.98,24.22,24.4,38153,0
2018-04-12,24.51,25.06,24.4,24.82,25087,0
2018-04-13,25.02,25.07,24.52,24.84,15478,0
2018-04-16,25.03,25.26,24.81,25.2,23467,0
2018-04-17,25.44,25.73,25.09,25.59,25133,0
2018-04-18,25.83,26.31,25.71,26.04,35789,0
2018-04-19,26.02,26.14,25.47,25.85,26075,0
2018-04-20,25.81,26.06,25.47,25.68,25069,0
2018-04-23,25.63,26.03,25.43,25.89,28836,0
2018-04-24,26.06,26.6,25.77,26.09,44269,0
2018-04-25,25.96,27.15,25.77,27.0,47256,0
2018-04-26,27.11,27.49,26.89,27.17,44944,0
2018-04-27,27.12,27.29,26.85,27.15,26614,0
2018-04-30,27.15,27.42,26.87,26.95,47776,0
2018-05-01,26.76,26.96,26.41,26.85,36882,0
2018-05-02,26.93,27.55,26.93,27.14,36216,0
2018-05-03,27.01,27.2,26.64,27.01,43613,0
2018-05-04,26.84,27.65,26.81,27.43,25404,0
2018-05-07,27.42,27.9,27.25,27.56,34196,0
2018-05-08,27.0,27.35,25.88,26.1,93686,0
2018-05-09,26.08,26.31,25.51,25.8,55059,0
2018-05-10,25.92,26.54,25.73,26.38,31319,0
2018-05-11,26.5,26.73,26.39,26.56,21805,0
2018-05-14,26.73,27.39,26.72,27.17,25791,0
2018-05-15,27.19,27.68,27.0,27.57,36192,0
2018-05-16,27.59,27.86,27.29,27.73,47556,0
2018-05-17,27.74,28.09,27.54,28.02,36315,0
2018-05-18,28.01,28.24,27.74,27.91,26630,0
