Date,Open,High,Low,Close,Volume,OpenInterest
2014-01-02,80.77,80.96,80.29,80.74,7468,0
2014-01-03,80.91,81.79,80.8,81.36,2988,0
2014-01-06,81.52,81.99,80.6,80.84,4446,0
2014-01-07,81.14,81.69,80.52,81.41,7434,0
2014-01-08,82.02,84.76,80.43,84.51,13327,0
2014-01-09,84.63,84.71,83.66,84.63,7942,0
2014-01-10,84.39,85.6,84.39,85.4,4627,0
2014-01-13,85.02,85.84,84.91,85.35,7056,0
2014-01-14,86.48,87.48,85.75,87.39,7996,0
2014-01-15,87.22,88.47,86.7,88.25,6886,0
2014-01-16,87.97,89.16,87.63,88.62,7954,0
2014-01-17,88.66,89.0,88.23,88.35,3313,0
2014-01-21,89.24,89.36,87.72,87.8,3745,0
2014-01-22,87.89,87.93,87.02,87.84,2649,0
2014-01-23,87.0,87.64,86.29,86.68,3657,0
2014-01-24,85.95,85.95,84.47,84.87,7556,0
2014-01-27,85.0,85.74,84.52,85.0,4954,0
2014-01-28,85.24,85.82,83.85,84.45,3742,0
2014-01-29,83.54,84.58,83.35,83.51,3252,0
2014-01-30,84.21,84.74,83.5,84.33,3255,0
2014-01-31,83.02,84.38,82.89,84.02,3598,0
2014-02-03,84.11,84.15,80.65,80.94,6538,0
2014-02-04,81.74,82.61,80.8,81.39,6734,0
2014-02-05,81.16,81.85,79.51,80.19,6992,0
2014-02-06,80.49,81.47,80.4,81.42,4858,0
2014-02-07,81.91,82.2,81.23,81.8,3833,0
2014-02-10,81.68,81.91,80.77,81.47,3208,0
2014-02-11,81.46,82.5,81.09,82.41,2082,0
2014-02-12,82.47,82.91,82.02,82.44,2544,0
2014-02-13,81.65,83.05,81.65,83.0,1648,0
2014-02-14,82.92,84.16,82.65,83.97,3628,0
2014-02-18,84.19,84.24,83.18,83.97,3072,0
2014-02-19,83.61,84.61,83.33,83.95,2266,0
2014-02-20,83.98,85.32,83.65,85.18,3152,0
2014-02-21,85.36,85.81,85.07,85.1,1839,0
2014-02-24,85.26,86.31,84.95,85.01,2144,0
2014-02-25,85.01,85.26,84.49,84.62,2029,0
2014-02-26,84.88,85.88,84.68,85.29,2510,0
2014-02-27,85.1,86.12,84.99,86.08,1518,0
2014-02-28,86.18,86.82,85.82,86.33,1918,0
2014-03-03,85.5,86.67,85.11,86.25,3049,0
2014-03-04,87.24,87.55,86.63,87.21,2227,0
2014-03-05,87.22,88.1,86.94,88.09,3047,0
2014-03-06,88.29,88.82,87.43,88.3,3149,0
2014-03-07,88.62,89.29,88.08,88.3,1736,0
2014-03-10,88.05,88.58,87.41,88.36,2101,0
2014-03-11,88.61,88.61,86.89,87.5,3154,0
2014-03-12,87.01,87.4,86.47,87.38,2848,0
2014-03-13,87.65,87.69,85.48,85.69,2514,0
2014-03-14,85.44,86.95,85.16,86.38,1819,0
2014-03-17,86.86,88.3,86.85,87.69,2848,0
2014-03-18,87.71,88.35,87.16,88.29,2903,0
2014-03-19,88.17,88.73,86.91,87.39,1929,0
2014-03-20,85.86,86.78,85.39,86.75,3641,0
2014-03-21,87.12,87.86,86.48,88.19,4127,0
2014-03-24,88.22,88.27,86.13,86.37,4706,0
2014-03-25,86.83,87.1,85.7,86.46,2478,0
2014-03-26,86.79,87.4,84.97,85.03,1995,0
2014-03-27,85.12,85.75,84.08,85.15,4288,0
2014-03-28,85.47,87.42,85.36,86.04,3017,0
