Date,Open,High,Low,Close,Volume,OpenInterest
2017-01-03,158.2,160.77,155.74,156.74,8772,0
2017-01-04,156.9,158.25,156.44,157.7,5569,0
2017-01-05,157.26,157.41,154.35,155.38,7135,0
2017-01-06,155.91,157.12,155.5,156.56,7406,0
2017-01-09,155.5,156.8,154.66,155.96,5206,0
2017-01-10,156.12,157.46,155.45,156.7,4414,0
2017-01-11,156.45,157.09,155.31,157.01,4941,0
2017-01-12,156.39,156.39,154.23,155.35,6332,0
2017-01-13,156.28,158.75,155.48,156.07,4270,0
2017-01-17,154.02,154.29,152.46,152.68,6341,0
2017-01-18,153.54,154.86,152.2,154.64,8222,0
2017-01-19,155.0,157.4,152.61,155.35,6499,0
2017-01-20,155.74,157.71,155.49,157.03,4065,0
2017-01-23,155.91,157.14,155.32,155.94,7356,0
2017-01-24,156.77,160.22,156.3,159.59,5640,0
2017-01-25,160.8,162.88,160.07,162.2,7078,0
2017-01-26,162.38,163.97,161.89,163.63,6579,0
2017-01-27,163.4,164.53,163.02,164.04,4444,0
2017-01-30,163.94,163.94,161.39,163.25,4795,0
2017-01-31,162.16,163.25,161.39,162.57,6680,0
2017-02-01,163.99,166.34,162.62,162.72,8366,0
2017-02-02,161.27,162.95,160.52,162.11,4726,0
2017-02-03,163.89,164.47,162.72,163.89,8545,0
2017-02-06,162.62,163.98,161.57,163.45,4437,0
2017-02-07,164.25,164.25,162.33,162.5,5922,0
2017-02-08,161.67,163.19,160.77,162.8,5475,0
2017-02-09,162.94,165.17,162.05,164.48,5306,0
2017-02-10,165.14,165.98,164.41,165.31,4202,0
2017-02-13,166.1,168.29,165.93,166.8,6990,0
2017-02-14,166.98,169.08,166.47,168.22,7269,0
2017-02-15,168.95,170.81,167.97,169.13,6821,0
2017-02-16,168.82,169.16,166.46,167.58,8414,0
2017-02-17,166.48,168.02,166.25,167.91,5399,0
2017-02-21,168.25,169.33,167.39,167.93,4966,0
2017-02-22,166.88,168.61,166.69,168.03,5865,0
2017-02-23,168.35,170.09,167.39,169.78,5006,0
2017-02-24,168.56,169.13,167.43,168.67,9570,0
2017-02-27,168.74,169.16,167.85,167.95,5773,0
2017-02-28,167.19,168.08,166.1,166.97,6533,0
2017-03-01,169.64,173.72,169.45,172.21,6811,0
2017-03-02,172.01,172.01,166.57,167.12,5989,0
2017-03-03,167.26,168.35,167.09,168.01,3982,0
2017-03-06,166.56,167.88,165.01,166.97,4668,0
2017-03-07,166.79,167.98,165.63,166.73,3853,0
2017-03-08,168.07,168.49,166.12,166.66,3404,0
2017-03-09,167.29,167.77,165.94,166.53,3975,0
2017-03-10,167.63,167.63,164.69,166.19,5306,0
2017-03-13,166.09,166.53,165.08,165.48,6174,0
2017-03-14,164.91,166.28,163.51,165.96,3492,0
2017-03-15,166.53,166.73,163.57,163.75,5146,0
2017-03-16,163.75,165.58,163.25,164.49,4651,0
2017-03-17,164.32,164.87,161.45,162.09,10191,0
2017-03-20,161.67,162.99,160.66,160.94,5916,0
2017-03-21,161.96,162.29,154.8,155.05,8347,0
2017-03-22,154.28,156.15,151.68,154.76,7286,0
2017-03-23,154.65,157.5,153.56,154.97,5896,0
2017-03-24,155.93,156.86,153.57,154.97,4964,0
2017-03-27,151.29,154.46,149.51,154.17,5438,0
2017-03-28,154.3,156.72,153.73,156.06,4784,0
2017-03-29,155.26,155.84,154.03,154.43,2939,0
2017-03-30,154.13,157.37,154.13,156.64,5248,0
2017-03-31,156.07,156.57,154.51,154.73,2797,0
2017-04-03,155.27,155.88,152.49,154.49,5723,0
2017-04-04,153.81,155.22,153.43,154.19,3443,0
2017-04-05,155.68,156.26,152.1,152.38,3790,0
2017-04-06,152.37,153.69,151.2,153.37,5386,0
2017-04-07,152.38,153.9,151.72,153.02,3513,0
2017-04-10,152.75,153.81,150.96,151.55,3493,0
2017-04-11,150.77,151.47,149.66,151.48,4212,0
2017-04-12,150.64,151.55,148.84,149.82,6511,0
2017-04-13,149.2,150.36,147.55,147.93,10680,0
2017-04-17,149.51,153.86,149.12,153.71,9585,0
2017-04-18,153.18,154.49,150.63,151.85,8961,0
2017-04-19,153.1,153.76,151.17,151.48,5697,0
2017-04-20,152.87,154.83,152.17,154.28,4153,0
2017-04-21,153.87,155.25,153.46,153.91,4323,0
2017-04-24,157.57,158.87,156.7,156.97,3589,0
2017-04-25,158.36,159.91,157.66,157.73,6582,0
2017-04-26,157.3,159.57,157.3,158.69,4421,0
2017-04-27,158.81,159.45,156.32,156.95,2114,0
2017-04-28,156.76,157.63,155.35,155.41,2359,0
2017-05-01,156.88,157.89,155.39,156.96,2581,0
2017-05-02,157.49,157.87,155.95,156.8,2883,0
2017-05-03,155.91,159.9,155.63,159.3,4387,0
2017-05-04,160.29,160.88,158.19,159.09,6339,0
2017-05-05,159.34,159.61,157.78,158.93,2493,0
2017-05-08,158.74,160.01,158.12,159.9,2614,0
2017-05-09,160.07,161.84,158.83,159.31,3094,0
2017-05-10,158.74,159.47,158.19,159.3,2871,0
2017-05-11,158.66,159.29,156.85,158.43,2154,0
2017-05-12,157.27,158.03,156.29,157.81,3464,0
2017-05-15,157.94,160.64,157.54,160.54,5428,0
2017-05-16,160.76,163.5,160.28,162.37,10034,0
2017-05-17,158.01,159.75,155.46,156.53,7658,0
2017-05-18,156.27,158.19,155.64,157.08,6229,0
2017-05-19,157.13,158.92,156.76,157.3,6252,0
2017-05-22,157.89,158.95,155.79,158.75,4312,0
2017-05-23,158.77,162.16,158.42,161.3,3850,0
2017-05-24,161.67,161.77,159.82,160.41,5023,0
2017-05-25,160.73,161.82,159.96,161.2,4327,0
2017-05-26,160.55,161.62,159.99,160.2,2742,0
2017-05-30,159.01,159.07,156.47,158.07,3312,0
2017-05-31,158.2,158.57,155.19,156.47,5539,0
2017-06-01,157.56,159.01,155.52,158.7,4528,0
2017-06-02,157.52,158.73,156.51,157.59,4291,0
2017-06-05,157.63,159.15,156.88,157.18,4215,0
2017-06-06,155.88,156.54,155.1,155.87,4180,0
2017-06-07,156.22,157.48,155.64,156.72,4980,0
2017-06-08,156.71,160.72,155.85,159.08,5657,0
2017-06-09,160.08,164.03,160.08,163.36,4603,0
2017-06-12,163.5,163.96,161.84,162.44,7265,0
2017-06-13,163.11,163.86,162.0,162.68,4853,0
2017-06-14,160.66,162.68,159.16,162.55,4529,0
2017-06-15,161.77,162.99,160.11,161.51,2722,0
2017-06-16,161.66,162.7,160.76,161.67,3971,0
2017-06-19,162.79,163.13,161.82,162.66,2289,0
2017-06-20,161.91,162.78,161.4,161.8,2753,0
2017-06-21,162.38,162.69,160.53,161.03,2477,0
2017-06-22,160.41,160.68,158.47,159.49,3030,0
2017-06-23,160.26,160.26,157.31,157.84,3012,0
2017-06-26,158.26,159.24,157.26,158.81,2303,0
2017-06-27,159.93,161.33,159.1,159.16,2726,0
2017-06-28,160.57,161.94,160.18,161.65,4240,0
2017-06-29,163.11,163.9,159.29,161.18,10422,0
2017-06-30,162.27,162.62,159.73,161.95,4790,0
2017-07-03,162.98,165.26,162.34,164.31,2524,0
2017-07-05,164.44,165.33,163.16,164.44,3276,0
2017-07-06,164.19,165.53,163.44,163.59,4059,0
2017-07-07,164.72,165.39,163.62,165.11,3298,0
2017-07-10,164.7,165.4,163.99,164.36,3209,0
2017-07-11,164.91,166.18,163.36,165.17,7302,0
2017-07-12,164.88,165.5,163.71,165.24,3789,0
2017-07-13,165.58,166.81,164.92,166.54,2634,0
2017-07-14,165.16,166.45,164.3,165.77,3098,0
2017-07-17,165.55,166.35,164.18,165.99,3889,0
2017-07-18,164.83,165.9,164.34,165.48,6481,0
2017-07-19,166.81,166.85,160.9,162.48,11974,0
2017-07-20,162.62,162.95,159.07,160.34,5448,0
2017-07-21,159.56,160.57,157.63,158.11,4696,0
2017-07-24,158.21,161.36,158.21,160.34,6531,0
2017-07-25,163.12,163.91,161.08,161.5,9986,0
2017-07-26,161.97,161.97,157.55,157.98,5859,0
2017-07-27,158.06,159.07,157.26,159.01,5952,0
2017-07-28,159.0,161.67,158.42,160.59,4870,0
2017-07-31,160.82,164.23,160.44,163.15,3998,0
2017-08-01,163.88,165.14,163.44,164.66,5457,0
2017-08-02,164.19,164.94,163.59,164.92,2196,0
2017-08-03,164.64,164.88,163.1,163.79,4250,0
2017-08-04,163.99,165.21,163.12,163.58,4833,0
2017-08-07,163.34,164.61,162.73,163.62,2558,0
2017-08-08,163.3,166.7,163.2,164.37,3547,0
2017-08-09,163.33,164.36,162.43,163.0,5071,0
2017-08-10,162.0,162.63,158.62,158.72,4663,0
2017-08-11,159.4,160.15,156.03,156.6,4303,0
2017-08-14,157.88,159.76,157.88,159.09,2270,0
2017-08-15,160.11,160.72,158.39,158.5,2388,0
2017-08-16,159.12,159.74,158.14,158.6,2478,0
2017-08-17,158.21,158.46,153.69,153.87,2971,0
2017-08-18,153.04,154.79,152.04,153.43,4040,0
2017-08-21,153.46,153.46,151.79,152.49,3730,0
2017-08-22,152.97,153.78,152.3,153.6,2960,0
2017-08-23,152.53,154.62,152.42,153.21,3038,0
2017-08-24,153.54,153.63,152.57,152.83,2475,0
2017-08-25,153.31,154.51,153.31,153.8,3161,0
2017-08-28,154.04,154.49,151.28,152.0,3183,0
2017-08-29,149.93,150.52,149.16,150.13,6376,0
2017-08-30,149.75,150.3,149.03,149.29,4480,0
2017-08-31,150.05,150.05,147.74,147.86,3301,0
2017-09-01,148.66,150.38,148.1,149.0,3762,0
2017-09-05,147.64,148.15,145.24,145.45,4526,0
2017-09-06,146.46,146.83,144.59,145.16,3033,0
2017-09-07,145.25,145.25,141.12,142.47,4731,0
2017-09-08,142.36,144.73,142.17,144.07,5035,0
2017-09-11,146.33,147.67,145.56,146.52,4795,0
2017-09-12,147.17,149.65,146.74,149.02,5911,0
2017-09-13,148.42,150.79,148.03,150.5,6660,0
2017-09-14,150.43,150.98,149.6,149.92,14097,0
2017-09-15,149.72,150.01,148.52,149.99,5507,0
2017-09-18,150.63,152.42,150.15,151.67,3784,0
2017-09-19,151.5,153.52,151.04,152.71,2810,0
2017-09-20,153.06,155.13,151.68,154.56,4329,0
2017-09-21,154.58,155.82,154.22,154.42,3231,0
2017-09-22,154.18,154.33,153.21,153.82,3145,0
2017-09-25,153.67,154.82,153.09,154.71,4751,0
2017-09-26,155.29,155.55,153.97,155.44,4495,0
2017-09-27,157.62,159.17,156.39,157.91,4823,0
2017-09-28,158.1,159.26,156.39,159.22,6004,0
2017-09-29,159.33,161.78,158.96,161.04,3997,0
2017-10-02,161.17,161.67,159.32,161.39,2814,0
