Date,Open,High,Low,Close,Volume,OpenInterest
2008-12-31,17.08,18.25,17.01,18.08,12736,0
2009-01-02,18.08,18.39,17.8,18.17,10876,0
2009-01-05,18.08,18.91,17.97,18.55,9745,0
2009-01-06,18.91,19.79,18.7,19.3,12974,0
2009-01-07,19.12,19.38,18.48,18.59,8976,0
2009-01-08,18.53,18.92,18.42,18.8,7960,0
2009-01-09,18.78,18.94,17.56,17.92,9646,0
2009-01-12,17.77,17.97,17.09,17.32,9157,0
2009-01-13,17.18,17.7,16.95,17.48,8677,0
2009-01-14,17.15,17.23,16.4,16.53,10899,0
2009-01-15,16.42,16.99,15.58,16.79,13683,0
2009-01-16,17.13,17.38,16.52,17.01,7629,0
2009-01-20,17.01,17.01,15.69,15.75,9388,0
2009-01-21,15.75,16.65,15.63,16.53,8973,0
2009-01-22,16.2,16.49,15.63,16.03,16855,0
2009-01-23,16.03,16.55,15.19,16.2,11186,0
2009-01-26,16.39,16.97,16.16,16.48,12508,0
2009-01-27,15.15,15.95,13.65,14.16,36136,0
2009-01-28,14.44,14.89,14.17,14.76,17906,0
2009-01-29,14.36,15.09,14.31,14.98,14563,0
2009-01-30,14.67,14.78,13.84,14.05,14093,0
2009-02-02,13.83,14.24,13.8,14.17,11720,0
2009-02-03,14.31,14.42,13.78,14.09,11868,0
2009-02-04,14.16,14.66,13.97,14.34,11986,0
2009-02-05,14.16,14.51,14.04,14.34,21003,0
2009-02-06,14.34,14.66,14.15,14.61,9829,0
2009-02-09,14.62,15.31,14.56,14.9,8916,0
2009-02-10,14.79,14.91,13.85,13.94,13133,0
2009-02-11,13.99,14.22,13.69,13.97,7693,0
2009-02-12,14.1,14.16,13.55,14.12,9036,0
2009-02-13,14.08,14.78,14.0,14.23,7730,0
2009-02-17,14.2,14.2,13.27,13.41,10813,0
2009-02-18,13.5,13.59,13.0,13.29,10268,0
2009-02-19,13.3,13.59,12.63,12.67,15161,0
2009-02-20,12.55,12.55,11.71,12.13,16424,0
2009-02-23,12.25,12.45,11.15,11.2,13400,0
2009-02-24,11.52,11.62,11.03,11.53,15626,0
2009-02-25,11.48,11.62,10.89,10.92,12252,0
2009-02-26,11.06,11.29,10.67,10.73,11456,0
2009-02-27,10.56,10.69,10.12,10.44,23789,0
2009-03-02,10.25,11.22,10.03,10.05,21423,0
2009-03-03,10.23,10.37,9.75,9.92,14415,0
2009-03-04,10.1,10.34,9.91,10.15,14633,0
2009-03-05,10.0,10.02,8.98,9.1,16928,0
2009-03-06,9.14,9.42,8.97,9.28,14182,0
2009-03-09,9.19,9.65,9.01,9.07,15756,0
2009-03-10,9.37,10.0,9.28,10.0,14374,0
2009-03-11,9.97,10.55,9.65,10.28,11538,0
2009-03-12,10.28,10.83,10.06,10.6,13651,0
2009-03-13,10.76,11.2,10.65,11.13,13484,0
2009-03-16,11.3,12.05,11.05,11.49,16397,0
2009-03-17,11.61,12.51,11.21,12.51,13669,0
2009-03-18,12.44,13.94,12.43,13.76,32657,0
2009-03-19,13.8,14.34,13.66,13.75,19282,0
2009-03-20,13.94,14.23,13.14,14.0,14951,0
2009-03-23,13.69,14.65,13.5,14.61,17310,0
2009-03-24,14.33,14.54,13.98,14.04,15388,0
2009-03-25,14.23,15.01,13.85,14.49,21502,0
2009-03-26,14.76,15.44,14.7,15.01,26013,0
