Date,Open,High,Low,Close,Volume,OpenInterest
2018-01-02,116.98,118.0,116.81,118.0,6402,0
2018-01-03,118.0,118.81,117.14,118.19,6652,0
2018-01-04,118.66,119.76,117.32,117.47,8031,0
2018-01-05,117.74,119.05,117.49,118.92,6958,0
2018-01-08,119.0,119.19,118.49,118.72,8422,0
2018-01-09,119.05,119.18,118.15,118.22,6503,0
2018-01-10,117.97,118.33,116.31,116.61,9060,0
2018-01-11,116.69,117.86,116.12,117.57,9551,0
2018-01-12,118.01,118.6,117.67,118.17,9839,0
2018-01-16,118.56,118.99,116.17,116.64,17690,0
2018-01-17,116.6,117.04,114.28,114.5,32365,0
2018-01-18,115.75,122.07,115.15,118.41,29115,0
2018-01-19,118.05,119.13,116.53,118.44,21545,0
2018-01-22,118.26,118.66,116.36,116.78,12063,0
2018-01-23,116.51,118.11,116.51,117.25,12280,0
2018-01-24,117.54,119.12,117.35,118.94,14633,0
2018-01-25,119.76,120.78,118.97,120.21,19262,0
2018-01-26,120.5,121.5,119.62,121.47,11366,0
2018-01-29,120.91,121.65,119.38,119.57,9129,0
2018-01-30,119.2,119.66,117.78,118.35,8049,0
2018-01-31,118.87,119.07,118.2,118.73,8016,0
2018-02-01,118.16,118.77,115.57,117.62,10304,0
2018-02-02,117.28,117.46,115.51,115.61,10393,0
2018-02-05,115.29,117.12,111.62,111.98,17025,0
2018-02-06,110.33,114.2,109.6,113.96,16407,0
2018-02-07,113.86,116.74,113.48,114.13,14103,0
2018-02-08,113.89,114.2,110.27,110.3,15158,0
2018-02-09,111.76,113.2,108.74,112.37,12279,0
2018-02-12,113.0,114.73,112.86,113.98,8731,0
2018-02-13,113.44,114.82,112.6,114.56,9999,0
2018-02-14,113.85,116.82,113.47,116.32,9395,0
2018-02-15,116.24,116.55,114.81,116.19,9814,0
2018-02-16,115.86,117.23,115.37,116.16,7184,0
2018-02-20,115.35,116.12,114.74,115.4,6596,0
2018-02-21,115.48,117.73,115.32,115.62,7320,0
2018-02-22,116.27,117.1,115.59,115.86,6152,0
2018-02-23,116.68,117.6,115.88,117.46,5110,0
2018-02-26,117.55,117.75,116.24,117.53,7620,0
2018-02-27,117.75,117.88,115.27,115.31,8194,0
2018-02-28,113.64,114.72,112.29,112.44,20228,0
2018-03-01,111.95,113.13,110.3,111.11,11236,0
2018-03-02,110.23,110.89,109.59,110.25,8877,0
2018-03-05,109.5,113.09,109.5,112.76,13213,0
2018-03-06,113.09,116.14,112.7,115.07,11973,0
2018-03-07,113.78,115.32,113.7,115.02,9773,0
2018-03-08,115.41,115.64,114.84,115.4,7001,0
2018-03-09,116.21,117.74,115.95,117.65,10751,0
2018-03-12,117.65,118.62,115.6,116.46,8796,0
2018-03-13,117.2,117.83,115.48,116.07,9193,0
2018-03-14,116.48,116.75,114.68,115.04,7314,0
2018-03-15,115.21,115.84,113.96,114.28,8582,0
2018-03-16,114.29,115.21,113.85,114.93,13216,0
2018-03-19,114.42,114.86,112.62,113.22,7566,0
2018-03-20,115.0,115.58,113.7,113.85,10817,0
2018-03-21,114.0,115.45,113.71,113.95,9384,0
2018-03-22,113.12,113.76,111.12,111.31,8887,0
2018-03-23,111.44,112.49,109.39,109.48,8622,0
2018-03-26,110.62,112.1,110.01,111.93,7614,0
2018-03-27,112.59,113.92,111.47,111.91,11586,0
2018-03-28,112.18,112.84,109.93,109.97,15188,0
2018-03-29,110.36,112.53,110.04,111.6,8673,0
2018-04-02,111.55,111.58,107.04,108.26,10399,0
2018-04-03,108.5,110.43,107.79,110.18,17390,0
2018-04-04,108.39,110.89,107.95,110.79,9305,0
2018-04-05,111.7,112.3,111.09,111.67,10240,0
2018-04-06,110.6,111.86,108.4,109.39,12516,0
2018-04-09,110.3,111.37,109.37,109.61,8395,0
2018-04-10,110.62,111.25,109.9,110.36,9971,0
2018-04-11,109.38,109.85,108.57,109.28,9688,0
2018-04-12,109.75,110.43,108.63,110.04,15560,0
2018-04-13,110.65,110.93,109.56,110.0,8154,0
2018-04-16,110.88,112.0,110.45,111.77,13722,0
2018-04-17,112.2,113.49,111.66,113.08,11624,0
2018-04-18,113.31,113.83,112.77,113.19,15672,0
2018-04-19,113.75,113.9,108.38,109.64,19232,0
2018-04-20,109.46,110.17,108.24,108.87,14017,0
2018-04-23,108.8,109.8,108.7,108.88,10530,0
2018-04-24,108.97,109.45,104.39,105.77,18868,0
2018-04-25,107.46,109.47,105.92,107.88,20236,0
2018-04-26,107.97,108.09,106.44,107.7,7556,0
2018-04-27,107.31,108.34,107.2,107.97,7499,0
2018-04-30,108.51,108.9,105.75,105.88,9182,0
2018-05-01,105.1,106.94,104.01,106.92,10207,0
2018-05-02,107.05,107.27,105.4,105.71,13490,0
2018-05-03,105.55,106.2,104.28,104.96,8510,0
2018-05-04,104.48,107.04,104.14,106.4,9179,0
2018-05-07,106.48,106.98,105.64,106.21,6413,0
2018-05-08,106.07,107.16,105.95,106.68,6203,0
2018-05-09,106.71,107.41,106.11,107.05,8081,0
2018-05-10,107.26,107.7,105.94,106.11,15059,0
2018-05-11,105.85,106.29,100.36,100.43,64558,0
2018-05-14,101.04,102.97,100.97,102.97,28737,0
2018-05-15,102.78,103.25,101.78,103.03,12659,0
2018-05-16,101.89,103.98,101.21,103.5,12519,0
2018-05-17,103.26,104.72,103.25,104.41,8845,0
2018-05-18,104.16,105.3,104.03,104.95,9692,0
