Date,Open,High,Low,Close,Volume,OpenInterest
2000-12-29,9.25,9.44,9.19,9.44,751,0
2001-01-02,9.44,9.44,9.38,9.38,264,0
2001-01-03,9.38,9.5,9.38,9.5,441,0
2001-01-04,9.44,9.94,9.44,9.94,792,0
2001-01-05,9.94,9.94,9.75,9.88,527,0
2001-01-08,9.81,9.88,9.75,9.88,291,0
2001-01-09,9.94,9.94,9.81,9.94,243,0
2001-01-10,9.88,10.0,9.88,10.0,423,0
2001-01-11,9.81,10.06,9.81,10.0,560,0
2001-01-12,10.0,10.19,10.0,10.19,374,0
2001-01-16,10.19,10.94,10.13,10.94,1312,0
2001-01-17,10.88,10.88,10.25,10.63,1181,0
2001-01-18,10.69,10.69,10.5,10.56,568,0
2001-01-19,10.56,10.63,10.38,10.63,351,0
2001-01-22,10.5,10.63,10.38,10.44,235,0
2001-01-23,10.5,10.56,10.31,10.5,382,0
2001-01-24,10.5,10.56,10.38,10.5,144,0
2001-01-25,10.56,10.56,10.19,10.19,319,0
2001-01-26,10.06,10.06,9.88,10.0,466,0
2001-01-29,10.0,10.35,10.0,10.34,364,0
2001-01-30,10.34,10.5,10.15,10.4,310,0
2001-01-31,10.2,10.35,10.0,10.0,464,0
2001-02-01,10.0,10.89,10.0,10.4,713,0
2001-02-02,10.3,10.56,10.13,10.25,324,0
2001-02-05,10.18,10.35,10.15,10.21,280,0
2001-02-06,10.24,10.4,10.15,10.24,254,0
2001-02-07,10.14,10.24,10.14,10.24,303,0
2001-02-08,10.1,10.25,10.1,10.15,196,0
2001-02-09,10.2,10.23,10.05,10.15,203,0
2001-02-12,10.2,10.9,10.2,10.7,700,0
2001-02-13,10.7,10.75,10.2,10.2,471,0
2001-02-14,10.13,10.45,10.13,10.45,143,0
2001-02-15,10.45,10.55,10.42,10.47,128,0
2001-02-16,10.47,10.48,10.2,10.36,168,0
2001-02-20,10.4,10.48,10.13,10.3,235,0
2001-02-21,10.25,10.4,10.15,10.4,162,0
2001-02-22,10.3,10.3,10.15,10.16,187,0
2001-02-23,10.2,10.6,10.1,10.49,304,0
2001-02-26,10.49,10.5,10.27,10.5,223,0
2001-02-27,10.25,10.45,10.19,10.26,294,0
2001-02-28,10.15,10.15,9.93,10.15,415,0
2001-03-01,10.05,10.05,9.91,9.99,249,0
2001-03-02,10.0,10.1,9.92,10.0,274,0
2001-03-05,10.0,10.35,9.92,10.02,285,0
2001-03-06,10.1,10.3,10.01,10.27,527,0
2001-03-07,10.27,10.67,10.15,10.56,782,0
2001-03-08,10.45,10.48,10.15,10.15,313,0
2001-03-09,10.1,10.18,10.06,10.15,285,0
2001-03-12,10.18,10.26,10.03,10.12,197,0
2001-03-13,10.07,10.4,10.03,10.4,316,0
2001-03-14,10.4,10.55,10.15,10.35,567,0
2001-03-15,10.4,10.43,10.05,10.3,414,0
2001-03-16,10.38,10.4,10.07,10.33,424,0
2001-03-19,10.2,10.32,10.14,10.32,205,0
2001-03-20,10.38,10.55,10.15,10.2,301,0
2001-03-21,10.32,10.45,10.25,10.37,171,0
2001-03-22,10.2,10.4,10.13,10.2,797,0
2001-03-23,10.25,10.32,10.02,10.25,412,0
2001-03-26,10.25,10.25,10.05,10.15,389,0
2001-03-27,10.07,10.22,10.0,10.04,347,0
2001-03-28,10.0,10.05,9.95,9.95,391,0
2001-03-29,9.95,10.07,9.82,9.84,374,0
2001-03-30,9.8,9.97,9.55,9.82,556,0
2001-04-02,9.6,9.65,9.35,9.45,540,0
2001-04-03,9.4,9.92,9.3,9.86,287,0
2001-04-04,9.85,9.95,9.52,9.86,260,0
2001-04-05,9.8,9.84,9.52,9.74,356,0
2001-04-06,9.84,9.97,9.68,9.9,637,0
2001-04-09,10.0,10.0,9.9,9.99,416,0
2001-04-10,9.99,10.06,9.95,10.01,689,0
2001-04-11,10.05,10.2,10.02,10.1,325,0
2001-04-12,10.45,10.45,10.0,10.06,284,0
2001-04-16,9.7,10.0,9.6,9.84,315,0
2001-04-17,9.84,9.84,9.7,9.75,538,0
2001-04-18,9.75,9.75,9.61,9.7,968,0
2001-04-19,9.7,9.8,9.65,9.8,444,0
2001-04-20,9.7,9.75,9.6,9.65,353,0
2001-04-23,9.7,9.8,9.61,9.8,298,0
2001-04-24,9.75,9.85,9.62,9.65,536,0
2001-04-25,9.58,9.65,9.55,9.64,297,0
2001-04-26,9.55,9.9,9.5,9.68,762,0
2001-04-27,9.75,9.85,9.72,9.85,397,0
2001-04-30,9.85,9.88,9.6,9.79,270,0
2001-05-01,9.74,10.23,9.65,10.1,737,0
2001-05-02,10.1,10.33,9.99,10.25,667,0
2001-05-03,10.25,10.33,10.05,10.25,171,0
2001-05-04,10.3,10.39,10.22,10.24,325,0
2001-05-07,10.13,10.35,10.09,10.2,267,0
2001-05-08,10.25,10.38,10.2,10.38,178,0
2001-05-09,10.3,10.4,10.25,10.37,164,0
2001-05-10,10.35,10.35,10.15,10.21,213,0
2001-05-11,10.2,10.2,10.02,10.16,162,0
2001-05-14,10.2,10.35,10.18,10.27,387,0
2001-05-15,10.37,10.41,10.22,10.25,207,0
2001-05-16,10.3,10.45,10.3,10.35,389,0
2001-05-17,10.38,10.5,10.24,10.47,246,0
2001-05-18,10.47,10.5,10.3,10.4,254,0
2001-05-21,10.45,10.45,10.21,10.34,231,0
2001-05-22,10.14,10.3,9.99,10.0,734,0
2001-05-23,10.1,10.35,10.01,10.11,685,0
2001-05-24,10.2,10.2,9.93,10.05,506,0
2001-05-25,10.13,10.3,10.03,10.3,284,0
2001-05-29,10.29,10.29,10.0,10.09,321,0
2001-05-30,9.89,9.95,9.5,9.52,987,0
2001-05-31,9.52,9.7,9.12,9.21,847,0
2001-06-01,9.3,9.78,9.3,9.78,232,0
2001-06-04,9.95,9.95,9.4,9.59,235,0
2001-06-05,9.7,9.74,9.59,9.7,244,0
2001-06-06,9.69,9.84,9.5,9.8,255,0
2001-06-07,9.8,9.8,9.4,9.65,321,0
2001-06-08,9.56,9.65,9.41,9.65,122,0
2001-06-11,9.55,9.69,9.52,9.52,128,0
2001-06-12,9.58,9.85,9.51,9.84,384,0
2001-06-13,9.76,9.93,9.62,9.8,229,0
2001-06-14,9.89,9.92,9.63,9.72,321,0
2001-06-15,9.62,9.75,9.43,9.45,333,0
2001-06-18,9.45,9.65,9.42,9.43,281,0
2001-06-19,9.42,9.66,9.41,9.41,224,0
2001-06-20,9.49,9.49,9.29,9.49,352,0
2001-06-21,9.49,9.7,9.26,9.7,436,0
2001-06-22,9.7,9.7,9.26,9.4,291,0
2001-06-25,9.35,9.4,9.1,9.11,412,0
2001-06-26,9.15,9.38,9.11,9.38,360,0
2001-06-27,9.4,9.69,9.4,9.6,221,0
2001-06-28,9.65,9.7,9.53,9.65,98,0
2001-06-29,9.69,9.8,9.5,9.8,569,0
2001-07-02,9.7,9.71,9.45,9.59,406,0
2001-07-03,9.6,9.68,9.45,9.65,79,0
2001-07-05,9.55,9.63,9.35,9.37,258,0
2001-07-06,9.4,9.7,9.3,9.31,308,0
2001-07-09,9.41,9.41,9.32,9.4,152,0
2001-07-10,9.32,9.53,9.25,9.4,463,0
2001-07-11,9.4,9.63,9.4,9.63,685,0
2001-07-12,9.89,9.89,9.44,9.62,747,0
2001-07-13,9.75,9.83,9.7,9.73,321,0
2001-07-16,9.75,9.79,9.51,9.51,232,0
2001-07-17,9.51,9.74,9.51,9.73,174,0
2001-07-18,9.71,9.73,9.57,9.65,189,0
2001-07-19,9.7,9.78,9.56,9.76,155,0
2001-07-20,9.78,9.78,9.67,9.67,131,0
2001-07-23,9.75,9.75,9.2,9.21,431,0
2001-07-24,9.3,9.3,9.0,9.1,766,0
2001-07-25,9.02,9.24,9.0,9.17,283,0
2001-07-26,9.17,9.45,9.03,9.45,377,0
2001-07-27,9.28,9.4,9.15,9.24,126,0
2001-07-30,9.25,9.35,9.05,9.13,257,0
2001-07-31,9.25,9.47,9.15,9.32,319,0
2001-08-01,9.32,9.32,9.09,9.15,106,0
2001-08-02,9.11,9.35,9.11,9.3,120,0
2001-08-03,9.2,9.4,9.07,9.32,389,0
2001-08-06,9.25,9.43,9.03,9.03,414,0
2001-08-07,9.03,9.34,9.03,9.13,1469,0
2001-08-08,9.23,9.23,8.88,8.88,838,0
2001-08-09,8.95,9.0,8.95,9.0,687,0
2001-08-10,9.0,9.0,8.95,9.0,316,0
2001-08-13,9.0,9.25,9.0,9.05,260,0
2001-08-14,9.1,9.32,8.9,9.32,395,0
2001-08-15,9.32,9.6,9.18,9.52,244,0
2001-08-16,9.6,10.0,9.3,9.9,725,0
2001-08-17,9.85,9.98,9.67,9.8,531,0
2001-08-20,9.8,9.99,9.75,9.95,524,0
2001-08-21,9.87,9.99,9.81,9.82,351,0
2001-08-22,9.82,10.24,9.8,10.24,587,0
2001-08-23,10.24,10.3,9.8,9.8,814,0
2001-08-24,9.9,10.24,9.9,10.24,436,0
2001-08-27,10.24,10.25,10.05,10.15,646,0
2001-08-28,9.81,10.15,9.81,10.0,373,0
2001-08-29,9.81,9.95,9.75,9.93,359,0
2001-08-30,9.9,10.12,9.75,9.8,301,0
2001-08-31,9.81,9.99,9.75,9.95,175,0
2001-09-04,9.95,9.99,9.8,9.9,260,0
2001-09-05,9.9,9.99,9.81,9.92,342,0
2001-09-06,10.0,10.0,9.61,9.61,343,0
2001-09-07,9.52,9.9,9.4,9.61,662,0
2001-09-10,9.71,9.71,9.3,9.3,206,0
2001-09-17,10.5,10.75,10.01,10.3,2510,0
2001-09-18,10.2,10.39,10.04,10.11,1426,0
2001-09-19,10.2,10.3,9.85,10.1,646,0
2001-09-20,10.1,10.25,9.88,9.88,665,0
2001-09-21,9.95,10.32,9.9,10.23,885,0
2001-09-24,10.27,10.48,10.18,10.48,707,0
2001-09-25,10.5,10.98,10.48,10.57,2215,0
2001-09-26,10.55,10.7,10.27,10.27,1057,0
2001-09-27,10.37,10.37,9.92,10.1,725,0
2001-09-28,10.1,10.4,10.03,10.38,617,0
2001-10-01,10.4,10.4,10.15,10.25,550,0
2001-10-02,10.25,10.92,10.25,10.83,2430,0
2001-10-03,10.79,10.8,10.32,10.77,1604,0
2001-10-04,10.7,10.78,10.5,10.56,785,0
2001-10-05,10.57,10.79,10.39,10.77,542,0
2001-10-08,10.79,10.92,10.51,10.51,1286,0
2001-10-09,10.52,11.95,10.5,11.6,3763,0
2001-10-10,11.61,12.23,11.5,11.89,3277,0
2001-10-11,11.99,12.09,11.7,11.82,1309,0
2001-10-12,11.92,12.0,11.42,12.0,1178,0
2001-10-15,12.03,13.29,11.85,13.29,2490,0
2001-10-16,13.25,13.4,12.79,13.15,3978,0
2001-10-17,13.05,13.05,12.64,12.75,1349,0
2001-10-18,12.5,13.0,12.36,12.69,1366,0
2001-10-19,12.59,12.59,11.97,12.58,1323,0
2001-10-22,12.48,12.48,12.11,12.37,1019,0
2001-10-23,12.47,12.57,12.0,12.1,1001,0
2001-10-24,12.15,12.18,11.21,11.3,1685,0
2001-10-25,11.4,11.65,11.3,11.48,882,0
2001-10-26,11.38,11.95,11.36,11.95,765,0
2001-10-29,11.5,11.68,11.26,11.27,579,0
2001-10-30,11.32,11.58,11.01,11.32,646,0
2001-10-31,11.42,11.7,11.4,11.7,687,0
2001-11-01,11.6,11.92,11.0,11.2,1716,0
