Date,Open,High,Low,Close,Volume,OpenInterest
2013-01-02,30.08,30.28,29.76,30.21,6137,0
2013-01-03,30.23,30.59,30.2,30.35,5382,0
2013-01-04,30.47,30.61,30.29,30.5,3444,0
2013-01-07,30.34,30.61,30.15,30.57,9548,0
2013-01-08,30.01,30.35,29.2,30.09,9412,0
2013-01-09,30.24,31.0,30.06,30.92,9113,0
2013-01-10,31.11,31.11,30.31,30.86,9831,0
2013-01-11,30.97,31.02,30.57,30.92,6219,0
2013-01-14,30.93,31.43,30.87,31.35,8772,0
2013-01-15,31.54,31.85,31.29,31.42,8640,0
2013-01-16,31.33,31.4,30.66,31.04,6541,0
2013-01-17,31.23,31.53,31.0,31.48,4941,0
2013-01-18,31.54,31.98,31.32,31.96,7192,0
2013-01-22,31.95,31.99,31.53,31.65,5186,0
2013-01-23,31.66,31.83,31.41,31.52,6114,0
2013-01-24,31.59,31.88,31.48,31.62,4557,0
2013-01-25,31.71,31.76,31.43,31.65,4027,0
2013-01-28,31.63,31.63,31.18,31.45,4577,0
2013-01-29,31.34,31.5,30.96,31.18,5582,0
2013-01-30,31.03,31.15,30.72,30.93,7144,0
2013-01-31,30.8,31.39,30.8,31.21,8634,0
2013-02-01,31.35,31.78,31.29,31.73,6820,0
2013-02-04,31.53,31.78,31.2,31.41,5046,0
2013-02-05,31.61,31.81,31.56,31.76,4823,0
2013-02-06,31.62,31.77,31.41,31.44,5431,0
2013-02-07,31.43,31.58,31.05,31.48,3457,0
2013-02-08,31.47,31.83,31.47,31.72,3042,0
2013-02-11,31.58,31.72,31.39,31.71,3507,0
2013-02-12,31.56,31.56,31.15,31.5,6443,0
2013-02-13,31.49,31.9,31.49,31.89,4557,0
2013-02-14,31.75,31.91,31.6,31.9,3432,0
2013-02-15,31.86,31.97,31.69,31.81,3201,0
2013-02-19,31.89,31.89,31.03,31.3,11542,0
2013-02-20,31.33,31.36,29.93,29.96,13704,0
2013-02-21,29.86,29.86,29.11,29.5,13112,0
2013-02-22,29.51,30.1,29.45,30.12,6978,0
2013-02-25,30.27,30.33,29.7,29.71,8911,0
2013-02-26,29.98,30.23,29.79,29.99,7139,0
2013-02-27,30.05,30.8,30.05,30.54,6742,0
2013-02-28,30.57,30.75,30.4,30.41,4937,0
2013-03-01,30.3,30.43,30.0,30.26,5263,0
2013-03-04,30.24,30.42,29.91,30.32,5083,0
2013-03-05,30.51,30.58,30.4,30.49,3109,0
2013-03-06,30.6,30.74,30.47,30.56,2209,0
2013-03-07,30.53,30.74,30.47,30.54,1804,0
2013-03-08,30.69,30.98,30.52,30.98,3213,0
2013-03-11,30.94,31.27,30.85,31.26,4537,0
2013-03-12,31.27,31.49,31.15,31.31,2560,0
2013-03-13,31.33,31.58,31.18,31.49,3430,0
2013-03-14,31.58,31.99,31.5,31.96,5212,0
2013-03-15,31.97,32.11,31.54,31.96,6868,0
2013-03-18,31.64,32.15,31.55,31.94,4884,0
2013-03-19,32.0,32.04,31.42,31.8,4312,0
2013-03-20,31.94,32.32,31.66,32.22,5286,0
2013-03-21,32.16,32.35,31.55,31.71,4407,0
2013-03-22,31.95,32.0,31.41,31.58,4149,0
2013-03-25,31.77,31.86,31.14,31.24,4389,0
2013-03-26,31.49,31.61,31.05,31.24,3446,0
2013-03-27,31.16,31.29,30.8,31.26,2690,0
2013-03-28,31.32,31.61,31.12,31.58,3863,0
2013-04-01,31.49,31.49,31.1,31.19,4411,0
2013-04-02,31.36,31.47,31.16,31.34,4004,0
2013-04-03,31.37,31.39,30.56,30.76,6873,0
2013-04-04,30.72,30.98,30.1,30.34,9016,0
2013-04-05,29.98,30.3,29.73,30.09,6123,0
2013-04-08,30.16,30.37,29.78,30.34,4670,0
2013-04-09,30.46,30.55,30.02,30.35,4961,0
2013-04-10,30.27,30.97,30.1,30.9,6781,0
2013-04-11,30.92,31.11,30.76,30.89,7260,0
2013-04-12,30.72,30.81,30.56,30.68,7363,0
2013-04-15,30.67,30.67,29.49,29.51,7341,0
2013-04-16,29.83,30.24,29.8,30.24,4767,0
2013-04-17,30.07,30.2,29.65,29.96,4940,0
2013-04-18,30.08,30.38,30.05,30.35,5798,0
2013-04-19,30.61,30.83,30.35,30.76,5145,0
2013-04-22,30.86,30.95,30.24,30.83,3492,0
2013-04-23,30.85,31.04,30.48,31.04,5044,0
2013-04-24,31.12,31.39,30.97,31.33,2610,0
2013-04-25,31.48,31.94,31.38,31.78,8505,0
2013-04-26,31.79,31.81,31.5,31.69,3566,0
2013-04-29,31.77,31.88,31.48,31.87,3299,0
2013-04-30,31.88,32.39,31.74,32.4,4971,0
2013-05-01,32.26,32.36,31.66,31.72,4851,0
2013-05-02,31.86,32.35,31.74,32.21,4137,0
2013-05-03,32.51,33.03,32.47,32.86,5280,0
2013-05-06,32.92,33.09,32.81,32.99,4747,0
2013-05-07,33.1,33.35,33.0,33.32,4448,0
2013-05-08,33.3,33.54,33.17,33.5,6318,0
2013-05-09,33.48,33.67,33.4,33.59,2893,0
2013-05-10,33.61,33.79,33.44,33.52,3528,0
2013-05-13,33.55,33.64,33.27,33.34,2115,0
2013-05-14,33.31,33.99,33.26,33.96,3957,0
2013-05-15,33.94,34.16,33.71,34.03,4131,0
2013-05-16,34.02,34.07,33.28,33.39,7284,0
2013-05-17,33.53,33.89,33.48,33.85,6548,0
2013-05-20,33.84,33.96,33.46,33.51,4008,0
2013-05-21,33.01,33.82,30.53,33.51,6664,0
2013-05-22,33.53,33.75,32.69,32.73,4924,0
2013-05-23,32.42,33.11,32.3,33.08,3747,0
2013-05-24,32.89,33.17,32.68,33.1,2238,0
2013-05-28,33.51,33.89,33.48,33.67,5787,0
2013-05-29,33.44,33.52,32.96,33.26,3415,0
2013-05-30,33.34,33.49,33.16,33.42,2466,0
2013-05-31,33.49,33.71,33.11,33.13,3995,0
2013-06-03,33.14,33.32,32.76,33.03,4323,0
2013-06-04,32.94,33.27,32.62,32.67,4250,0
2013-06-05,32.61,32.64,31.96,31.97,3073,0
2013-06-06,31.94,32.33,31.78,32.34,3248,0
2013-06-07,32.48,32.75,32.24,32.64,1813,0
2013-06-10,32.78,32.87,32.41,32.62,2991,0
2013-06-11,32.13,32.52,31.85,32.15,1641,0
2013-06-12,32.38,32.43,31.89,32.05,2088,0
2013-06-13,31.94,32.78,31.86,32.72,2995,0
2013-06-14,32.68,32.68,32.29,32.45,2069,0
2013-06-17,32.75,32.75,32.48,32.68,1953,0
2013-06-18,32.72,33.05,32.68,33.01,3509,0
2013-06-19,32.95,32.96,32.49,32.5,2558,0
2013-06-20,32.01,32.21,31.46,31.51,3687,0
2013-06-21,31.58,31.83,31.32,31.34,6947,0
2013-06-24,31.06,31.43,30.85,31.2,4078,0
2013-06-25,31.47,31.82,31.16,31.78,3953,0
2013-06-26,32.12,32.22,31.69,31.83,3008,0
2013-06-27,32.08,32.28,31.92,32.12,3741,0
2013-06-28,32.05,32.22,31.77,31.94,5457,0
2013-07-01,32.0,32.66,32.0,32.3,6877,0
2013-07-02,32.37,32.64,32.02,32.34,3971,0
2013-07-03,32.22,32.34,32.02,32.22,2321,0
2013-07-05,32.59,33.0,32.46,32.75,3854,0
2013-07-08,33.0,33.09,32.82,32.92,3416,0
2013-07-09,33.17,33.61,33.17,33.41,7098,0
2013-07-10,33.0,33.44,31.93,33.29,6586,0
2013-07-11,33.78,34.0,33.66,33.75,5185,0
2013-07-12,33.81,34.07,33.57,33.92,5297,0
2013-07-15,33.94,34.12,33.56,33.62,5507,0
2013-07-16,33.73,33.83,33.3,33.44,4054,0
2013-07-17,33.65,33.72,33.46,33.6,2693,0
2013-07-18,33.58,33.94,33.5,33.8,3249,0
2013-07-19,33.83,34.17,33.61,34.12,9328,0
2013-07-22,34.28,35.43,34.28,34.75,7555,0
2013-07-23,34.94,35.37,34.83,35.37,6524,0
2013-07-24,35.34,35.46,34.96,35.28,4015,0
2013-07-25,35.12,35.52,35.12,35.27,5849,0
2013-07-26,35.1,35.23,34.69,34.76,3313,0
2013-07-29,34.69,34.83,34.46,34.8,4441,0
2013-07-30,34.84,35.12,34.75,35.11,3296,0
2013-07-31,35.36,35.5,35.03,35.24,4530,0
2013-08-01,35.58,36.39,35.25,35.94,7551,0
2013-08-02,35.79,35.92,35.59,35.65,3881,0
2013-08-05,35.53,35.73,35.41,35.55,2962,0
2013-08-06,35.49,35.59,35.19,35.36,2309,0
2013-08-07,35.12,35.36,35.02,35.12,2193,0
2013-08-08,35.25,35.64,35.25,35.48,2105,0
2013-08-09,35.35,36.0,35.31,35.9,4792,0
2013-08-12,35.77,36.13,35.65,36.0,2765,0
2013-08-13,35.96,36.25,35.79,35.96,2669,0
2013-08-14,35.97,36.09,35.58,35.65,2437,0
2013-08-15,35.29,35.29,34.81,35.03,4608,0
2013-08-16,34.88,35.15,34.72,34.83,6000,0
2013-08-19,34.71,35.08,34.65,34.79,2597,0
2013-08-20,34.71,35.05,34.64,34.86,2787,0
2013-08-21,34.83,35.05,34.55,34.58,3107,0
2013-08-22,34.71,35.12,34.64,35.06,2347,0
2013-08-23,35.05,35.19,34.74,35.11,2423,0
2013-08-26,35.13,35.47,35.11,35.21,1776,0
2013-08-27,34.88,34.97,34.36,34.36,1962,0
2013-08-28,34.43,34.75,34.35,34.51,2141,0
2013-08-29,34.51,34.92,34.43,34.69,1769,0
2013-08-30,34.7,34.87,33.94,33.98,4073,0
2013-09-03,34.54,34.87,33.37,33.84,6691,0
2013-09-04,33.95,34.5,33.72,34.4,2603,0
2013-09-05,34.39,34.64,34.38,34.5,2091,0
2013-09-06,34.57,34.76,34.05,34.5,1992,0
2013-09-09,34.65,35.01,34.44,34.99,1525,0
2013-09-10,35.18,35.66,35.16,35.65,2756,0
2013-09-11,35.52,35.7,35.36,35.58,1551,0
2013-09-12,35.53,35.72,35.28,35.5,1524,0
2013-09-13,35.63,35.63,35.13,35.25,2975,0
2013-09-16,35.94,35.99,35.58,35.76,2219,0
2013-09-17,35.7,36.01,35.7,35.85,2720,0
2013-09-18,35.78,36.44,35.76,36.38,2546,0
2013-09-19,36.34,36.66,36.33,36.38,2537,0
2013-09-20,36.48,36.7,35.87,36.05,5323,0
2013-09-23,35.89,36.05,35.67,35.68,2039,0
2013-09-24,35.87,36.26,35.59,35.77,2139,0
2013-09-25,35.83,36.35,35.66,36.21,4293,0
2013-09-26,36.2,36.7,36.2,36.46,2216,0
2013-09-27,36.29,36.39,36.03,36.03,2135,0
2013-09-30,35.69,36.38,35.51,36.2,3008,0
2013-10-01,36.26,37.0,36.26,36.78,5872,0
2013-10-02,36.76,37.05,36.31,36.96,8088,0
2013-10-03,36.76,36.96,36.33,36.72,3431,0
2013-10-04,36.8,37.57,36.72,37.39,3935,0
2013-10-07,37.09,37.27,36.5,36.72,6019,0
2013-10-08,36.59,36.68,35.64,35.72,6757,0
2013-10-09,37.05,37.43,35.87,36.63,14535,0
2013-10-10,37.02,37.11,36.49,37.06,7477,0
2013-10-11,37.06,37.25,36.75,37.21,5731,0
2013-10-14,36.99,37.34,36.79,37.25,4755,0
2013-10-15,37.0,37.21,36.74,36.87,4311,0
2013-10-16,37.25,37.31,36.87,36.97,5681,0
2013-10-17,36.63,37.35,36.63,37.29,19033,0
2013-10-18,37.55,37.83,37.4,37.54,9465,0
2013-10-21,37.61,37.73,37.22,37.72,11138,0
2013-10-22,37.94,38.32,37.74,38.26,9060,0
2013-10-23,38.05,38.32,38.0,38.24,4855,0
2013-10-24,38.38,38.53,38.1,38.21,3979,0
2013-10-25,38.33,38.36,37.83,38.3,3110,0
2013-10-28,38.36,38.44,37.94,38.15,3019,0
2013-10-29,38.3,38.44,38.02,38.44,2937,0
2013-10-30,38.42,38.73,38.19,38.53,3977,0
2013-10-31,38.64,39.19,38.41,38.72,7735,0
2013-11-01,38.73,38.77,38.25,38.49,3805,0
2013-11-04,38.48,38.98,38.37,38.94,3306,0
2013-11-05,38.7,38.8,38.21,38.43,3013,0
2013-11-06,38.7,38.93,38.57,38.73,3693,0
2013-11-07,38.81,38.9,37.79,37.85,5920,0
2013-11-08,37.87,38.56,37.79,38.56,2778,0
2013-11-11,38.6,38.82,38.56,38.79,2657,0
2013-11-12,38.86,39.25,38.57,39.2,5210,0
2013-11-13,38.85,39.68,38.82,39.67,5031,0
2013-11-14,39.63,39.86,39.49,39.79,2810,0
2013-11-15,39.86,39.99,39.51,39.93,4921,0
2013-11-18,39.93,39.93,39.47,39.64,3992,0
2013-11-19,39.58,39.82,39.36,39.65,3167,0
2013-11-20,39.65,39.82,39.25,39.44,3555,0
2013-11-21,39.66,39.97,39.51,39.96,3241,0
2013-11-22,39.92,40.22,39.8,40.17,4940,0
2013-11-25,40.19,40.25,39.67,39.85,3408,0
2013-11-26,39.77,39.91,39.54,39.86,3202,0
2013-11-27,39.93,39.93,39.42,39.54,6347,0
2013-11-29,39.74,39.85,39.56,39.6,1677,0
2013-12-02,39.58,39.95,39.29,39.36,4571,0
2013-12-03,39.12,39.33,38.34,38.64,8004,0
2013-12-04,38.83,39.72,38.78,39.2,7760,0
2013-12-05,39.03,39.49,39.03,39.49,4717,0
2013-12-06,39.78,40.14,39.73,39.94,3847,0
2013-12-09,39.95,40.16,39.86,39.99,3642,0
2013-12-10,39.85,40.22,39.73,40.15,6298,0
2013-12-11,40.16,40.23,39.4,39.57,6502,0
2013-12-12,39.45,39.72,39.38,39.49,5599,0
2013-12-13,39.53,39.68,39.32,39.64,5931,0
2013-12-16,39.75,40.02,39.44,39.74,6205,0
2013-12-17,39.6,39.95,39.42,39.87,4613,0
2013-12-18,39.89,40.4,39.57,40.37,5857,0
2013-12-19,40.24,40.49,40.04,40.23,5222,0
2013-12-20,40.22,40.75,40.15,40.64,6519,0
2013-12-23,40.94,41.1,40.6,40.91,5740,0
2013-12-24,40.83,41.33,40.77,41.29,1403,0
2013-12-26,41.25,41.57,41.08,41.15,2767,0
2013-12-27,41.19,41.35,41.0,41.12,3618,0
2013-12-30,41.12,41.29,41.02,41.14,3753,0
2013-12-31,41.16,41.64,41.12,41.51,6193,0
