Date,Open,High,Low,Close,Volume,OpenInterest
2014-01-02,15.69,15.69,15.35,15.53,134,0
2014-01-03,15.39,16.02,15.35,15.56,137,0
2014-01-06,15.55,15.94,15.47,15.61,81,0
2014-01-07,15.85,16.08,15.65,15.79,57,0
2014-01-08,15.81,15.81,15.51,15.62,133,0
2014-01-09,15.56,15.9,15.55,15.73,103,0
2014-01-10,15.7,15.88,15.56,15.56,78,0
2014-01-13,15.6,15.96,15.6,15.74,75,0
2014-01-14,15.88,15.97,15.74,15.94,77,0
2014-01-15,15.94,16.75,15.73,16.56,266,0
2014-01-16,16.61,16.88,16.46,16.53,170,0
2014-01-17,16.48,16.48,16.33,16.37,128,0
2014-01-21,16.31,16.47,16.02,16.26,202,0
2014-01-22,16.05,16.29,16.05,16.11,88,0
2014-01-23,16.27,16.27,15.74,16.015,228,0
2014-01-24,15.91,16.06,15.84,15.85,36,0
2014-01-27,15.83,15.85,15.53,15.535,206,0
2014-01-28,15.5,15.8,15.5,15.76,57,0
2014-01-29,15.68,15.91,15.13,15.74,332,0
2014-01-30,16.03,16.16,15.9,16.01,50,0
2014-01-31,16.25,16.42,16.25,16.27,131,0
2014-02-03,16.03,16.07,16.02,16.06,28,0
2014-02-04,16.04,16.1,16.03,16.03,14,0
2014-02-05,16.01,16.01,15.8,15.8,87,0
2014-02-06,15.8,15.8,15.74,15.78,53,0
2014-02-07,15.73,15.94,15.5,15.91,86,0
2014-02-10,15.92,15.92,15.6,15.73,56,0
2014-02-11,15.84,15.84,15.66,15.75,14,0
2014-02-12,15.75,15.87,15.74,15.865,23,0
2014-02-13,15.75,15.86,15.75,15.77,19,0
2014-02-14,15.77,16.07,15.77,16.02,161,0
2014-02-18,16.0,16.2,15.93,15.935,96,0
2014-02-19,16.04,16.05,16.0,16.03,43,0
2014-02-20,16.0,16.4,16.0,16.4,12,0
2014-02-21,16.25,16.25,15.91,15.91,41,0
2014-02-24,15.9,16.19,15.9,15.955,41,0
2014-02-25,15.77,15.99,15.77,15.78,41,0
