Date,Open,High,Low,Close,Volume,OpenInterest
2013-01-02,14.67,15.08,14.62,15.08,142995,0
2013-01-03,15.05,15.2,14.86,15.06,128394,0
2013-01-04,15.08,15.57,15.05,15.46,153191,0
2013-01-07,15.41,15.41,15.07,15.27,97884,0
2013-01-08,15.26,15.34,15.07,15.22,86422,0
2013-01-09,15.23,15.31,15.0,15.13,69642,0
2013-01-10,15.24,15.37,15.14,15.33,69790,0
2013-01-11,15.29,15.42,15.24,15.39,65940,0
2013-01-14,15.39,15.41,15.25,15.27,78812,0
2013-01-15,15.19,15.29,15.11,15.29,88330,0
2013-01-16,15.22,15.25,14.98,15.05,106164,0
2013-01-17,15.18,15.3,15.09,15.25,109294,0
2013-01-18,15.25,15.47,15.21,15.45,69887,0
2013-01-22,15.43,15.74,15.37,15.71,77766,0
2013-01-23,15.74,15.8,15.52,15.64,73293,0
2013-01-24,15.67,15.87,15.66,15.81,67094,0
2013-01-25,15.84,16.05,15.81,16.05,73879,0
2013-01-28,16.07,16.2,15.93,16.1,83589,0
2013-01-29,16.06,16.64,16.01,16.47,178764,0
2013-01-30,16.45,16.62,16.37,16.51,110433,0
2013-01-31,16.46,16.66,16.31,16.53,97578,0
2013-02-01,16.63,16.94,16.59,16.75,123694,0
2013-02-04,16.42,16.57,16.36,16.39,105568,0
2013-02-05,16.52,16.77,16.47,16.65,78838,0
2013-02-06,16.51,16.81,16.45,16.79,108747,0
2013-02-07,16.76,17.41,16.49,17.11,321940,0
2013-02-08,17.18,17.23,16.81,16.89,144636,0
2013-02-11,16.49,16.88,16.48,16.73,100640,0
2013-02-12,16.71,16.94,16.71,16.86,62197,0
2013-02-13,16.93,17.07,16.82,16.92,56084,0
2013-02-14,16.85,16.96,16.74,16.92,51185,0
2013-02-15,16.96,16.97,16.78,16.9,77109,0
2013-02-19,16.94,17.1,16.89,17.1,68883,0
2013-02-20,17.06,17.06,16.69,16.69,57810,0
2013-02-21,16.67,16.68,16.29,16.37,88973,0
2013-02-22,16.47,16.74,16.45,16.73,54390,0
2013-02-25,16.84,16.92,16.29,16.32,118936,0
2013-02-26,16.24,16.48,15.96,16.21,139461,0
2013-02-27,16.22,16.48,16.15,16.41,93640,0
2013-02-28,16.43,16.46,16.24,16.24,92687,0
2013-03-01,16.22,16.46,16.0,16.4,82152,0
2013-03-04,16.65,16.83,16.53,16.78,91341,0
2013-03-05,16.82,17.1,16.82,16.98,68185,0
2013-03-06,17.08,17.64,17.06,17.35,132867,0
2013-03-07,17.34,17.75,17.28,17.58,98737,0
