Date,Open,High,Low,Close,Volume,OpenInterest
2014-01-02,24.32,24.33,23.68,23.85,2320,0
2014-01-03,23.96,24.02,23.78,23.92,2079,0
2014-01-06,23.92,23.92,23.53,23.82,2612,0
2014-01-07,23.68,23.78,23.52,23.6,3593,0
2014-01-08,23.65,23.65,23.39,23.47,2412,0
2014-01-09,23.53,23.56,23.31,23.47,2075,0
2014-01-10,23.35,23.65,23.27,23.57,2577,0
2014-01-13,23.49,23.64,23.19,23.3,2663,0
2014-01-14,23.13,23.2,22.41,22.76,6823,0
2014-01-15,22.5,22.81,22.44,22.62,11117,0
2014-01-16,22.66,22.71,22.53,22.61,5107,0
2014-01-17,22.54,22.67,22.49,22.59,2366,0
2014-01-21,22.65,22.73,22.52,22.69,3466,0
2014-01-22,22.79,22.8,22.57,22.64,4069,0
2014-01-23,22.51,22.57,22.35,22.47,2924,0
2014-01-24,22.4,22.56,22.3,22.4,4840,0
2014-01-27,22.41,22.46,22.16,22.29,4219,0
2014-01-28,22.3,22.31,22.11,22.14,5050,0
2014-01-29,22.14,22.21,21.86,21.91,6003,0
2014-01-30,21.93,22.07,21.93,22.03,5683,0
2014-01-31,21.85,22.2,21.77,22.05,5573,0
2014-02-03,22.18,22.28,21.96,22.01,8635,0
2014-02-04,21.97,22.06,21.91,22.03,3515,0
2014-02-05,21.99,22.49,21.95,22.46,3966,0
2014-02-06,22.46,22.74,22.41,22.72,4027,0
2014-02-07,22.83,23.0,22.79,23.0,6791,0
2014-02-10,22.93,22.99,22.63,22.77,3309,0
2014-02-11,22.76,23.19,22.69,23.15,3414,0
2014-02-12,23.16,23.24,23.01,23.17,3331,0
2014-02-13,23.11,23.49,23.1,23.47,3888,0
2014-02-14,23.41,23.59,23.23,23.4,1959,0
2014-02-18,23.43,23.59,23.36,23.48,2328,0
2014-02-19,23.34,23.54,23.34,23.47,4645,0
2014-02-20,23.34,23.5,22.82,22.85,6527,0
2014-02-21,22.75,23.04,22.64,22.78,4055,0
2014-02-24,22.93,23.07,22.82,22.82,2779,0
2014-02-25,22.82,22.99,22.73,22.9,2989,0
2014-02-26,22.91,22.98,22.67,22.78,2647,0
2014-02-27,22.8,23.0,22.78,22.93,2113,0
2014-02-28,22.98,23.23,22.85,23.15,3097,0
2014-03-03,23.04,23.08,22.91,23.01,1885,0
2014-03-04,23.18,23.21,23.01,23.11,2159,0
2014-03-05,23.18,23.57,23.18,23.58,2194,0
2014-03-06,23.57,23.69,23.47,23.67,2104,0
2014-03-07,23.56,23.6,23.46,23.55,1732,0
2014-03-10,23.48,23.55,23.26,23.47,2703,0
2014-03-11,23.48,23.51,23.41,23.45,1004,0
2014-03-12,23.3,23.41,23.22,23.39,1408,0
2014-03-13,23.47,23.47,23.2,23.27,1551,0
2014-03-14,23.25,23.34,23.14,23.22,1096,0
2014-03-17,23.26,23.46,23.18,23.42,2417,0
2014-03-18,23.36,23.52,23.27,23.33,1729,0
2014-03-19,23.31,23.43,23.11,23.21,2539,0
2014-03-20,23.18,23.22,23.09,23.19,4597,0
2014-03-21,23.25,23.25,23.02,23.08,4504,0
2014-03-24,23.18,23.18,23.07,23.15,4050,0
2014-03-25,23.3,23.3,23.09,23.14,2633,0
2014-03-26,23.18,23.4,23.05,23.34,2416,0
2014-03-27,23.41,23.45,23.28,23.44,2599,0
2014-03-28,23.52,23.79,23.48,23.77,2514,0
2014-03-31,23.89,24.0,23.82,23.9,2250,0
2014-04-01,23.89,24.11,23.8,24.05,1902,0
2014-04-02,24.09,24.27,24.03,24.22,2283,0
2014-04-03,23.87,23.97,23.22,23.51,6115,0
2014-04-04,23.64,23.85,23.56,23.68,2030,0
2014-04-07,23.68,23.75,23.61,23.71,1923,0
2014-04-08,23.76,24.0,23.7,23.97,1358,0
2014-04-09,24.04,24.31,24.03,24.28,1875,0
2014-04-10,24.24,24.57,24.19,24.34,6609,0
2014-04-11,23.89,24.08,23.42,23.82,4790,0
2014-04-14,23.88,24.09,23.8,24.03,2401,0
2014-04-15,23.94,24.07,23.85,24.03,3003,0
2014-04-16,24.1,24.17,24.03,24.15,2328,0
2014-04-17,24.17,24.21,24.06,24.11,2531,0
2014-04-21,24.09,24.19,24.02,24.13,1416,0
2014-04-22,24.12,24.12,23.68,23.82,2779,0
2014-04-23,23.84,23.92,23.72,23.89,3121,0
2014-04-24,23.96,24.04,23.74,23.87,1668,0
2014-04-25,23.86,23.89,23.7,23.84,1467,0
2014-04-28,23.92,23.97,23.77,23.96,2102,0
2014-04-29,24.02,24.13,24.02,24.11,1322,0
2014-04-30,24.1,24.27,24.03,24.23,1242,0
2014-05-01,24.21,24.35,24.17,24.31,2326,0
2014-05-02,24.32,24.51,24.22,24.49,2420,0
2014-05-05,24.46,24.6,24.33,24.56,2240,0
2014-05-06,24.62,24.73,24.55,24.73,1540,0
2014-05-07,24.61,24.78,24.6,24.75,2454,0
2014-05-08,24.77,24.93,24.71,24.9,1686,0
2014-05-09,24.78,24.89,24.72,24.8,1396,0
2014-05-12,24.85,25.04,24.75,25.03,1966,0
2014-05-13,24.94,24.94,24.69,24.81,2105,0
2014-05-14,24.84,25.06,24.83,24.92,2104,0
2014-05-15,24.94,24.98,24.6,24.86,1299,0
2014-05-16,24.82,24.94,24.73,24.86,1739,0
2014-05-19,24.92,25.02,24.85,24.97,1304,0
2014-05-20,24.83,25.03,24.73,24.8,1447,0
2014-05-21,24.8,24.99,24.8,24.97,1206,0
2014-05-22,24.85,25.13,24.85,25.1,1415,0
2014-05-23,25.13,25.19,24.93,24.99,1787,0
2014-05-27,25.07,25.07,24.81,24.96,1647,0
2014-05-28,25.0,25.0,24.79,24.85,1423,0
2014-05-29,24.93,24.99,24.72,24.81,1438,0
2014-05-30,24.82,24.91,24.78,24.86,1218,0
2014-06-02,24.73,25.04,24.73,24.96,1292,0
2014-06-03,24.89,25.08,24.85,24.98,1155,0
2014-06-04,24.93,25.14,24.72,25.11,2064,0
2014-06-05,25.09,25.09,24.5,24.73,3760,0
2014-06-06,24.7,24.82,24.57,24.78,1624,0
2014-06-09,24.81,24.84,24.63,24.69,3183,0
2014-06-10,24.73,24.88,24.69,24.88,1589,0
2014-06-11,24.81,24.92,24.59,24.65,2128,0
2014-06-12,24.62,24.83,24.62,24.84,1459,0
2014-06-13,24.8,24.84,24.71,24.78,1211,0
2014-06-16,24.68,25.15,24.68,25.05,2235,0
2014-06-17,24.99,25.06,24.91,25.02,1217,0
2014-06-18,24.99,25.28,24.97,25.26,1629,0
2014-06-19,25.3,25.39,24.91,24.95,2183,0
2014-06-20,25.0,25.09,24.82,24.91,1856,0
2014-06-23,24.96,25.0,24.54,24.63,3972,0
2014-06-24,24.63,24.67,24.41,24.45,8532,0
2014-06-25,24.43,24.71,24.41,24.6,7107,0
2014-06-26,24.67,24.9,24.59,24.65,6165,0
2014-06-27,24.8,25.49,24.53,25.47,5520,0
2014-06-30,25.5,25.83,25.3,25.66,6225,0
2014-07-01,25.75,25.93,25.69,25.91,2125,0
2014-07-02,25.77,25.98,25.49,25.97,3231,0
2014-07-03,25.95,26.18,25.89,26.06,1111,0
2014-07-07,25.98,26.17,25.92,26.05,2573,0
2014-07-08,26.03,26.04,25.79,25.97,2357,0
2014-07-09,25.96,26.3,25.86,26.19,2592,0
2014-07-10,26.06,26.3,26.05,26.26,2031,0
2014-07-11,26.13,26.13,25.51,25.61,2975,0
2014-07-14,25.66,25.85,25.65,25.78,1629,0
2014-07-15,25.8,25.85,25.51,25.66,1706,0
2014-07-16,25.7,25.83,25.66,25.76,1724,0
2014-07-17,25.72,25.78,25.6,25.61,2069,0
2014-07-18,25.68,25.81,25.62,25.71,1708,0
2014-07-21,25.66,25.75,25.53,25.6,1470,0
2014-07-22,25.6,25.66,25.54,25.6,1071,0
2014-07-23,25.7,25.72,25.52,25.61,1398,0
2014-07-24,25.63,25.66,25.57,25.66,938,0
2014-07-25,25.6,25.62,25.32,25.36,1050,0
2014-07-28,25.38,25.39,25.14,25.31,1706,0
2014-07-29,25.29,25.5,25.2,25.22,1574,0
2014-07-30,25.19,25.37,25.11,25.23,1692,0
2014-07-31,25.05,25.1,24.4,24.51,3073,0
2014-08-01,24.43,24.66,24.31,24.49,2179,0
2014-08-04,24.56,24.77,24.48,24.73,1210,0
2014-08-05,24.66,24.9,24.58,24.63,2426,0
2014-08-06,24.59,24.8,24.59,24.72,1142,0
2014-08-07,24.79,24.81,24.33,24.43,2029,0
2014-08-08,24.44,24.61,24.28,24.41,1245,0
2014-08-11,24.42,24.63,24.42,24.58,970,0
2014-08-12,24.53,24.68,24.45,24.6,1615,0
2014-08-13,24.62,24.62,24.27,24.52,1483,0
2014-08-14,24.54,24.79,24.52,24.77,1451,0
2014-08-15,24.87,24.93,24.45,24.91,2153,0
2014-08-18,24.93,25.07,24.72,24.96,1946,0
2014-08-19,24.94,24.94,24.73,24.88,2144,0
2014-08-20,24.9,24.94,24.66,24.88,1172,0
2014-08-21,24.93,25.09,24.91,25.03,1204,0
2014-08-22,25.03,25.23,24.99,25.14,2305,0
2014-08-25,25.18,25.18,24.74,24.92,1546,0
2014-08-26,24.97,25.04,24.71,24.8,1590,0
2014-08-27,25.08,25.15,24.89,25.14,2537,0
2014-08-28,25.07,25.16,24.98,25.16,1475,0
2014-08-29,25.19,25.22,25.1,25.19,1008,0
2014-09-02,25.08,25.26,25.02,25.23,1365,0
2014-09-03,25.28,25.73,25.18,25.59,3382,0
2014-09-04,25.66,25.75,25.43,25.53,1247,0
2014-09-05,25.53,25.53,25.27,25.41,1939,0
2014-09-08,25.25,25.4,25.12,25.17,1445,0
2014-09-09,25.11,25.22,25.01,25.22,1236,0
2014-09-10,25.18,25.23,25.03,25.23,1438,0
2014-09-11,25.0,25.29,24.91,25.08,1431,0
2014-09-12,25.04,25.3,24.98,25.19,2161,0
2014-09-15,25.21,25.27,25.12,25.2,1439,0
2014-09-16,25.21,25.74,25.12,25.74,2636,0
2014-09-17,25.77,26.0,25.72,25.76,2932,0
2014-09-18,25.9,25.93,25.7,25.82,1647,0
2014-09-19,25.9,25.9,25.24,25.36,2786,0
2014-09-22,25.35,25.41,25.12,25.27,1875,0
2014-09-23,25.27,25.32,25.12,25.12,2826,0
