Date,Open,High,Low,Close,Volume,OpenInterest
2017-01-03,122.12,122.9,119.88,121.24,1122,0
2017-01-04,121.33,124.14,121.13,123.53,2204,0
2017-01-05,123.53,124.5,122.24,123.31,1482,0
2017-01-06,123.78,123.78,121.47,121.67,1582,0
2017-01-09,121.32,121.7,120.24,120.6,1704,0
2017-01-10,121.0,123.15,119.42,122.14,3222,0
2017-01-11,123.29,129.24,121.29,127.7,5049,0
2017-01-12,127.23,127.96,121.72,124.7,5410,0
2017-01-13,125.39,127.07,125.26,125.47,1543,0
2017-01-17,125.56,125.56,122.25,122.55,1243,0
2017-01-18,123.13,123.55,121.95,122.67,1161,0
2017-01-19,123.13,124.05,120.29,120.6,1101,0
2017-01-20,120.6,122.07,120.51,121.22,1002,0
2017-01-23,121.07,121.63,118.77,120.08,909,0
2017-01-24,120.66,122.26,120.52,121.56,806,0
2017-01-25,123.15,123.15,121.5,121.72,1025,0
2017-01-26,120.82,121.79,119.97,120.33,1211,0
2017-01-27,120.33,120.88,119.75,120.12,1366,0
2017-01-30,119.43,119.82,117.84,119.65,983,0
2017-01-31,119.34,120.66,118.42,120.18,1029,0
2017-02-01,121.38,121.39,118.2,118.3,1138,0
2017-02-02,118.15,119.66,117.64,118.8,1628,0
2017-02-03,119.63,121.22,119.4,120.38,554,0
2017-02-06,119.89,119.92,118.1,118.61,654,0
2017-02-07,118.48,118.9,116.97,117.76,869,0
2017-02-08,117.17,119.17,117.02,117.3,1008,0
2017-02-09,117.77,119.8,117.77,119.25,955,0
2017-02-10,120.0,120.1,118.21,118.25,3250,0
2017-02-13,119.15,119.77,118.33,119.35,783,0
2017-02-14,118.99,119.78,117.71,119.49,844,0
2017-02-15,118.77,119.63,118.21,119.34,376,0
2017-02-16,119.64,119.64,117.52,118.6,810,0
2017-02-17,118.57,118.89,117.28,118.37,756,0
2017-02-21,118.71,119.88,118.44,119.47,949,0
2017-02-22,119.3,120.04,119.04,119.82,589,0
2017-02-23,120.25,120.25,117.74,118.83,855,0
2017-02-24,118.1,119.1,117.54,119.09,768,0
2017-02-27,118.88,119.72,117.85,118.87,730,0
2017-02-28,118.48,118.5,116.69,116.92,780,0
2017-03-01,118.25,120.97,117.57,120.27,1335,0
2017-03-02,119.73,119.9,118.49,118.73,654,0
2017-03-03,118.76,119.33,117.3,118.45,813,0
2017-03-06,117.79,118.44,116.75,118.03,648,0
2017-03-07,118.03,118.06,116.73,117.39,483,0
2017-03-08,118.01,118.01,116.19,116.43,558,0
2017-03-09,116.18,117.89,115.9,116.2,651,0
2017-03-10,116.84,118.05,115.95,116.95,621,0
2017-03-13,116.74,117.55,116.41,117.42,483,0
