Date,Open,High,Low,Close,Volume,OpenInterest
2008-01-02,146.89,147.15,143.88,145.2,1711386,0
2008-01-03,144.73,145.49,144.12,144.65,1141297,0
2008-01-04,145.31,145.34,140.91,141.24,2068165,0
2008-01-07,141.74,142.29,140.1,141.29,2118438,0
2008-01-08,141.89,142.9,138.44,138.97,3030782,0
2008-01-09,139.36,140.84,137.7,140.48,2846505,0
2008-01-10,140.03,142.8,139.37,141.19,3012926,0
2008-01-11,140.6,141.9,139.0,140.2,2499710,0
2008-01-14,140.42,141.86,140.15,141.25,1417051,0
2008-01-15,140.71,140.99,136.71,136.86,2171097,0
2008-01-16,137.1,139.12,136.28,137.5,3328086,0
2008-01-17,137.65,138.0,132.93,134.1,3639845,0
2008-01-18,134.02,135.51,131.1,131.66,3353745,0
2008-01-22,125.74,132.25,125.0,130.47,4032518,0
2008-01-23,130.04,134.65,126.02,134.19,4509353,0
2008-01-24,133.37,136.3,133.27,135.51,2444790,0
2008-01-25,136.15,136.76,132.6,133.15,2404143,0
2008-01-28,132.49,135.52,132.0,135.3,2016613,0
2008-01-29,135.29,136.45,134.88,135.73,1510641,0
2008-01-30,135.4,138.54,133.2,133.74,3114142,0
2008-01-31,134.15,138.54,133.02,137.32,3086247,0
2008-02-01,137.8,139.8,137.37,139.55,1966643,0
2008-02-04,139.41,139.86,137.57,137.62,1186121,0
2008-02-05,137.75,137.75,133.67,134.36,2605739,0
2008-02-06,134.49,135.25,132.0,132.17,2273999,0
2008-02-07,133.03,134.79,131.25,133.86,2790930,0
2008-02-08,134.18,134.22,132.1,133.0,1932969,0
2008-02-11,132.86,134.23,132.04,133.65,1797139,0
2008-02-12,133.52,136.31,133.45,134.67,2441332,0
2008-02-13,135.26,137.1,134.51,136.61,1708901,0
2008-02-14,136.75,137.04,134.79,134.87,1900257,0
2008-02-15,135.51,136.1,133.36,135.22,1426752,0
2008-02-19,136.01,136.99,134.61,135.22,1412989,0
2008-02-20,134.81,137.6,133.5,136.35,2123016,0
2008-02-21,136.04,137.01,134.07,134.5,1876923,0
2008-02-22,134.64,135.85,132.86,135.47,1955082,0
2008-02-25,136.12,137.65,134.78,137.25,1773841,0
2008-02-26,137.33,138.95,136.5,138.35,1922238,0
2008-02-27,138.11,139.14,137.3,137.85,1626677,0
2008-02-28,137.68,137.96,136.03,136.08,1599676,0
2008-02-29,136.36,138.22,132.78,133.47,2206823,0
2008-03-03,132.73,133.96,132.24,133.34,1842840,0
2008-03-04,133.33,133.4,130.99,133.13,2730485,0
2008-03-05,132.86,134.77,132.34,133.71,2529188,0
2008-03-06,133.55,133.83,130.55,131.06,2397909,0
2008-03-07,130.38,132.09,128.58,129.46,3152812,0
2008-03-10,129.87,130.26,127.56,127.79,2250030,0
2008-03-11,128.36,133.15,128.22,132.84,3142472,0
2008-03-12,132.41,133.77,130.84,130.9,2108108,0
2008-03-13,129.96,132.64,128.6,131.75,3349813,0
2008-03-14,130.89,133.76,127.78,129.63,4564244,0
2008-03-17,127.06,130.5,125.63,128.7,3668932,0
2008-03-18,129.26,133.7,128.37,133.51,3103279,0
2008-03-19,132.65,134.65,129.65,129.78,3145678,0
2008-03-20,129.65,132.91,128.58,132.2,2345063,0
2008-03-24,132.79,135.81,132.55,135.1,1925987,0
2008-03-25,134.57,135.62,133.77,134.49,1708968,0
2008-03-26,134.1,134.7,132.92,133.2,1815015,0
2008-03-27,133.27,137.77,132.36,132.77,2052809,0
