Date,Open,High,Low,Close,Volume,OpenInterest
2018-01-02,267.84,268.81,267.4,268.77,508478,0
2018-01-03,268.95,270.64,268.95,270.47,527461,0
2018-01-04,271.21,272.16,271.1,271.61,478541,0
2018-01-05,272.5,273.56,271.95,273.42,457856,0
2018-01-08,273.31,274.1,272.98,273.92,336330,0
2018-01-09,274.4,275.25,274.09,274.54,404598,0
2018-01-10,273.69,274.42,272.92,274.12,416490,0
2018-01-11,274.75,276.09,274.56,276.12,392336,0
2018-01-12,276.42,278.11,276.27,277.92,540832,0
2018-01-16,279.35,280.09,276.18,276.97,702628,0
2018-01-17,278.04,280.05,277.19,279.61,621806,0
2018-01-18,279.5,279.96,278.58,279.14,574105,0
2018-01-19,279.8,280.4,279.14,280.41,549114,0
2018-01-22,280.17,282.68,280.11,282.69,478207,0
2018-01-23,282.74,283.62,282.37,283.29,534620,0
2018-01-24,283.99,284.7,281.84,283.18,774723,0
2018-01-25,284.16,284.27,282.4,283.3,519302,0
2018-01-26,284.27,286.58,283.96,286.58,566510,0
2018-01-29,285.97,286.43,284.5,284.68,613793,0
2018-01-30,282.59,283.29,281.22,281.76,858871,0
2018-01-31,282.72,283.3,280.68,281.9,769933,0
2018-02-01,281.04,283.06,280.68,281.58,650935,0
2018-02-02,280.08,280.23,275.41,275.45,1224057,0
2018-02-05,273.47,275.85,263.31,263.93,2041649,0
2018-02-06,259.99,269.7,258.7,269.13,2321081,0
2018-02-07,268.5,272.36,267.63,267.67,1137320,0
2018-02-08,267.97,268.17,257.59,257.63,1568800,0
2018-02-09,260.8,263.61,252.92,261.5,2079427,0
2018-02-12,263.87,267.01,261.88,265.34,1000992,0
2018-02-13,263.94,266.62,263.31,266.0,572170,0
2018-02-14,264.48,270.0,263.97,269.59,875355,0
2018-02-15,271.59,273.01,268.77,273.03,723665,0
2018-02-16,272.31,275.32,272.27,273.11,752642,0
2018-02-20,272.03,273.67,270.5,271.4,552252,0
2018-02-21,271.9,274.72,269.98,270.05,684503,0
2018-02-22,271.09,273.05,269.64,270.4,662512,0
2018-02-23,271.81,274.7,271.25,274.71,550860,0
2018-02-26,275.93,278.01,275.26,277.9,533394,0
2018-02-27,278.11,278.92,274.36,274.43,707307,0
2018-02-28,275.68,276.19,271.31,271.65,815475,0
2018-03-01,271.41,273.17,266.0,267.7,1327274,0
2018-03-02,265.8,269.72,264.82,269.08,948846,0
2018-03-05,267.73,272.89,267.61,272.19,659906,0
2018-03-06,273.27,273.39,271.18,272.88,522650,0
2018-03-07,270.44,273.18,270.2,272.78,640744,0
2018-03-08,273.54,274.24,272.42,274.1,481263,0
2018-03-09,275.7,278.85,275.34,278.87,619815,0
2018-03-12,279.2,279.91,278.08,278.52,441711,0
2018-03-13,279.87,280.41,276.03,276.72,591881,0
2018-03-14,277.81,278.02,274.67,275.3,676602,0
2018-03-15,275.88,276.61,274.43,275.0,511635,0
2018-03-16,274.48,275.39,274.16,274.2,438624,0
2018-03-19,273.33,273.38,268.62,270.49,778523,0
2018-03-20,270.93,271.67,270.18,270.95,383997,0
2018-03-21,270.9,273.27,270.19,270.43,598318,0
2018-03-22,267.91,268.87,263.36,263.67,1050134,0
2018-03-23,264.16,265.02,257.83,258.05,1173488,0
2018-03-26,262.13,265.43,259.41,265.11,882770,0
2018-03-27,266.17,266.77,258.84,260.6,1023510,0
2018-03-28,260.75,262.64,258.58,259.83,1058831,0
2018-03-29,261.1,265.26,260.28,263.15,828345,0
2018-04-02,262.56,263.13,254.67,257.47,1267450,0
2018-04-03,258.87,261.31,256.84,260.77,888597,0
2018-04-04,256.73,264.36,256.6,263.56,951462,0
2018-04-05,265.54,266.64,264.32,265.64,628000,0
2018-04-06,263.42,265.11,258.0,259.72,1258930,0
2018-04-09,261.38,264.84,260.54,261.0,682964,0
2018-04-10,264.27,266.04,262.98,265.15,825480,0
2018-04-11,263.48,265.64,263.39,263.76,656397,0
2018-04-12,265.26,267.0,265.06,265.93,561600,0
2018-04-13,267.41,267.54,264.01,265.15,646092,0
2018-04-16,267.0,268.2,266.07,267.33,470940,0
2018-04-17,269.34,270.87,268.75,270.19,432460,0
2018-04-18,270.69,271.3,269.87,270.39,380128,0
2018-04-19,269.65,269.88,267.72,268.89,576869,0
2018-04-20,268.81,269.06,265.61,266.61,591557,0
2018-04-23,267.26,267.89,265.35,266.57,461590,0
2018-04-24,267.72,267.98,261.28,262.98,919436,0
2018-04-25,262.91,264.13,260.85,263.63,698702,0
2018-04-26,264.79,267.25,264.29,266.31,501664,0
2018-04-27,267.02,267.34,265.5,266.56,427464,0
2018-04-30,267.24,267.89,264.43,264.51,544097,0
2018-05-01,263.9,265.1,262.11,264.98,546996,0
2018-05-02,264.76,265.68,262.76,263.2,576292,0
2018-05-03,262.26,263.36,259.05,262.62,1004790,0
2018-05-04,261.48,266.79,261.15,266.02,601468,0
2018-05-07,266.9,268.02,266.11,266.92,416713,0
2018-05-08,266.5,267.33,265.15,266.92,495308,0
2018-05-09,267.68,269.87,267.09,269.5,462220,0
2018-05-10,270.35,272.39,270.22,272.02,471846,0
2018-05-11,272.16,273.15,271.58,272.85,390128,0
