Date,Open,High,Low,Close,Volume,OpenInterest
2013-01-02,35.95,37.57,35.8,37.56,23589,0
2013-01-03,37.44,37.48,36.54,36.69,20133,0
2013-01-04,36.68,36.9,36.6,36.75,10491,0
2013-01-07,36.52,36.77,36.37,36.41,18089,0
2013-01-08,36.39,36.47,34.85,36.06,40797,0
2013-01-09,37.25,37.51,35.14,35.82,44733,0
2013-01-10,36.33,36.35,35.51,35.68,30891,0
2013-01-11,35.78,36.02,35.41,35.63,21903,0
2013-01-14,35.31,35.88,34.46,35.33,42803,0
2013-01-15,34.95,36.58,34.54,36.41,30866,0
2013-01-16,37.2,38.9,37.0,38.65,65423,0
2013-01-17,38.39,38.99,38.21,38.55,28965,0
2013-01-18,38.58,38.79,37.99,38.74,17331,0
2013-01-22,38.59,38.67,37.71,38.1,28575,0
2013-01-23,37.95,38.4,37.78,37.89,18405,0
2013-01-24,37.96,38.21,37.63,37.77,14728,0
2013-01-25,37.98,38.75,37.72,38.5,22618,0
2013-01-28,38.49,38.85,38.26,38.66,12890,0
2013-01-29,38.75,39.65,38.62,39.42,26127,0
2013-01-30,39.3,39.58,39.07,39.17,25518,0
2013-01-31,39.16,39.25,28.37,32.36,361985,0
2013-02-01,32.98,33.71,31.82,32.68,110665,0
2013-02-04,32.17,32.32,31.45,31.55,61926,0
2013-02-05,31.17,31.43,30.41,30.91,98558,0
2013-02-06,30.81,31.55,30.68,31.37,51459,0
2013-02-07,31.43,31.83,31.08,31.59,44222,0
2013-02-08,31.62,32.42,31.61,31.85,45582,0
2013-02-11,31.64,31.7,31.05,31.32,28545,0
2013-02-12,31.3,31.71,31.14,31.49,29786,0
2013-02-13,31.65,32.16,31.39,31.88,28621,0
2013-02-14,40.78,44.18,40.05,43.75,414602,0
2013-02-15,43.2,44.2,43.01,43.39,89127,0
2013-02-19,43.3,43.71,42.86,43.28,42821,0
2013-02-20,43.18,43.19,41.13,41.8,60089,0
2013-02-21,43.17,43.43,42.04,42.96,74220,0
2013-02-22,43.07,43.98,42.91,43.96,29305,0
2013-02-25,44.13,44.99,43.26,43.97,53609,0
2013-02-26,44.06,44.85,43.89,44.71,18945,0
2013-02-27,44.63,44.92,44.4,44.65,26473,0
2013-02-28,44.49,44.74,43.89,44.24,20227,0
2013-03-01,44.14,44.33,43.61,43.84,23848,0
2013-03-04,43.62,44.54,43.6,44.45,16489,0
2013-03-05,45.01,45.01,44.01,44.14,21716,0
2013-03-06,44.24,44.24,43.07,43.25,27307,0
2013-03-07,43.25,44.09,43.24,44.05,20675,0
2013-03-08,44.18,44.9,42.42,43.99,37258,0
2013-03-11,43.63,43.92,43.38,43.47,19503,0
2013-03-12,43.41,43.64,42.93,43.28,19856,0
2013-03-13,43.32,44.01,43.32,43.89,14805,0
2013-03-14,43.95,44.84,43.83,44.71,19315,0
2013-03-15,44.55,45.92,44.4,45.75,38343,0
2013-03-18,46.59,47.29,46.44,47.1,33861,0
2013-03-19,47.03,47.35,46.55,47.2,22243,0
2013-03-20,47.43,47.82,46.82,46.87,16794,0
2013-03-21,46.97,47.27,46.26,46.26,14132,0
2013-03-22,46.22,47.09,46.15,46.59,12546,0
2013-03-25,46.69,46.88,46.12,46.79,12694,0
2013-03-26,47.01,47.58,46.85,47.54,11824,0
2013-03-27,47.17,47.48,46.88,47.41,7461,0
2013-03-28,47.54,47.67,47.12,47.64,12246,0
2013-04-01,47.66,47.68,46.94,47.3,9067,0
2013-04-02,47.48,49.22,47.33,48.79,26229,0
2013-04-03,48.91,48.91,48.09,48.35,31111,0
