Date,Open,High,Low,Close,Volume,OpenInterest
2017-01-03,33.24,33.38,31.98,32.54,3895,0
2017-01-04,32.68,34.78,32.68,34.36,5177,0
2017-01-05,34.15,34.22,33.03,33.59,4657,0
2017-01-06,33.52,33.52,32.89,33.24,4019,0
2017-01-09,33.31,33.45,31.84,32.75,5852,0
2017-01-10,32.61,33.87,32.19,33.52,7094,0
2017-01-11,32.19,32.4,30.37,31.0,15999,0
2017-01-12,30.65,30.86,29.46,29.6,15218,0
2017-01-13,29.74,30.37,29.25,29.67,7345,0
2017-01-17,29.74,31.21,29.6,30.37,6952,0
2017-01-18,30.37,30.65,29.53,30.65,4687,0
2017-01-19,30.51,30.65,29.67,29.88,5159,0
2017-01-20,29.95,30.37,29.25,29.46,5313,0
2017-01-23,29.67,29.67,28.48,28.76,7861,0
2017-01-24,28.9,29.88,28.55,29.18,6799,0
2017-01-25,29.53,29.74,28.76,28.76,3188,0
2017-01-26,28.76,29.04,27.78,28.06,7657,0
2017-01-27,28.06,28.41,27.57,27.64,6393,0
2017-01-30,27.64,27.85,26.66,27.01,10020,0
2017-01-31,27.36,27.92,26.8,27.43,7051,0
2017-02-01,27.5,27.92,26.87,26.87,4132,0
2017-02-02,26.94,27.01,26.03,26.24,10177,0
2017-02-03,26.24,27.29,26.17,26.73,5410,0
2017-02-06,26.8,26.94,25.47,25.68,11623,0
2017-02-07,25.82,26.17,25.54,25.68,5278,0
2017-02-08,25.61,26.24,25.54,26.17,3600,0
2017-02-09,25.89,27.85,25.75,27.43,7317,0
2017-02-10,27.36,27.99,27.22,27.71,4786,0
2017-02-13,27.99,28.27,27.22,27.5,3424,0
2017-02-14,27.36,27.57,26.94,27.01,3074,0
2017-02-15,27.08,27.85,26.8,27.78,4233,0
2017-02-16,27.64,28.41,27.64,28.2,5875,0
2017-02-17,27.99,28.41,27.43,27.43,3929,0
2017-02-21,27.64,28.62,27.57,28.34,4839,0
2017-02-22,28.41,28.48,27.64,27.85,3101,0
2017-02-23,28.06,28.13,26.94,27.01,3402,0
2017-02-24,27.15,27.85,26.66,27.43,2554,0
2017-02-27,27.36,27.78,26.87,27.57,3193,0
2017-02-28,27.36,27.36,26.24,26.45,4983,0
2017-03-01,26.59,26.73,25.61,25.89,5100,0
2017-03-02,25.75,26.17,25.61,25.96,2968,0
2017-03-03,25.89,26.1,25.47,25.61,3681,0
2017-03-06,25.4,25.68,24.215,24.425,5411,0
2017-03-07,24.215,24.565,23.305,23.375,7704,0
2017-03-08,23.375,24.635,23.375,24.355,7141,0
2017-03-09,24.355,24.355,23.445,23.445,7036,0
2017-03-10,23.725,23.935,23.165,23.165,2823,0
2017-03-13,23.095,23.305,22.955,23.025,2856,0
2017-03-14,23.025,23.235,22.395,22.815,3415,0
2017-03-15,22.955,24.075,22.955,23.865,5194,0
2017-03-16,23.935,24.285,23.655,24.285,3359,0
2017-03-17,24.285,24.425,23.515,24.355,3578,0
2017-03-20,24.285,24.495,23.655,23.865,2408,0
2017-03-21,24.005,24.145,23.095,23.445,4026,0
2017-03-22,23.585,23.585,22.815,23.375,2156,0
2017-03-23,24.775,26.59,24.775,25.89,13844,0
2017-03-24,26.1,26.52,25.68,26.17,5046,0
2017-03-27,25.75,27.22,25.75,26.59,5716,0
2017-03-28,26.59,27.08,26.38,26.66,4034,0
2017-03-29,26.73,27.29,26.45,27.01,4071,0
2017-03-30,27.22,27.36,26.38,26.59,3579,0
2017-03-31,26.59,27.5,26.31,27.01,4648,0
2017-04-03,27.22,27.22,26.31,26.59,3367,0
2017-04-04,26.66,27.15,26.17,26.45,2599,0
2017-04-05,26.52,26.73,25.75,26.1,3683,0
2017-04-06,26.24,26.87,25.96,26.31,4724,0
2017-04-07,26.24,26.59,25.89,26.03,4159,0
2017-04-10,26.17,26.8,25.89,26.52,4356,0
2017-04-11,28.2,29.39,27.57,27.99,21312,0
2017-04-12,27.99,28.41,26.45,26.45,7736,0
2017-04-13,26.73,27.99,26.45,27.36,6165,0
2017-04-17,27.43,27.57,26.59,26.94,3699,0
2017-04-18,26.87,27.57,26.87,27.29,3109,0
2017-04-19,27.36,27.99,27.29,27.43,4843,0
2017-04-20,27.5,27.99,27.22,27.5,5295,0
2017-04-21,27.5,27.5,26.87,26.87,4041,0
2017-04-24,27.36,27.36,26.73,26.94,5097,0
2017-04-25,28.9,31.28,28.2,28.48,23705,0
2017-04-26,28.13,29.81,27.99,29.04,8349,0
2017-04-27,28.97,29.6,28.76,29.18,6371,0
2017-04-28,29.18,29.32,28.41,28.69,5325,0
2017-05-01,28.97,29.04,28.41,28.83,3973,0
2017-05-02,28.76,28.9,28.13,28.55,3671,0
2017-05-03,28.41,29.11,28.2,28.9,4264,0
2017-05-04,29.04,29.11,28.48,28.55,2957,0
2017-05-05,28.83,29.25,28.41,29.11,2979,0
2017-05-08,29.18,29.32,28.48,28.55,2769,0
2017-05-09,28.76,29.67,28.62,29.53,6395,0
2017-05-10,29.39,29.6,28.69,28.69,3115,0
2017-05-11,28.62,29.46,28.48,28.69,4977,0
2017-05-12,28.69,28.9,27.5,27.64,4396,0
2017-05-15,27.71,27.99,27.29,27.64,3080,0
2017-05-16,27.64,27.71,26.45,26.8,4445,0
2017-05-17,26.52,26.8,26.1,26.1,3529,0
2017-05-18,26.17,27.29,26.1,26.94,5348,0
2017-05-19,26.94,28.13,26.87,27.92,7635,0
2017-05-22,27.99,28.2,27.43,28.13,5305,0
2017-05-23,28.34,28.48,27.71,27.78,4013,0
2017-05-24,27.85,27.99,27.29,27.36,4932,0
2017-05-25,27.5,28.13,26.94,27.08,4084,0
2017-05-26,27.08,27.29,26.66,26.94,1714,0
2017-05-30,26.8,27.15,26.73,26.94,1887,0
2017-05-31,27.01,27.29,26.24,26.94,4728,0
2017-06-01,27.08,28.55,26.94,28.34,5849,0
2017-06-02,28.27,28.62,27.64,27.85,4208,0
2017-06-05,27.78,28.06,27.36,27.78,1969,0
2017-06-06,27.64,27.85,27.43,27.57,3661,0
2017-06-07,27.57,27.85,27.43,27.5,4714,0
2017-06-08,27.5,27.78,26.87,26.94,3622,0
2017-06-09,27.01,28.06,26.73,27.92,4177,0
2017-06-12,27.85,28.69,27.36,28.69,6130,0
2017-06-13,28.48,29.11,27.85,28.69,3631,0
2017-06-14,28.83,28.83,28.2,28.41,2041,0
2017-06-15,27.57,27.64,26.24,26.31,12402,0
2017-06-16,23.585,23.655,20.505,22.535,26616,0
2017-06-19,23.515,23.585,21.205,22.605,13106,0
2017-06-20,22.465,22.745,20.995,20.995,12263,0
2017-06-21,20.995,21.555,20.365,20.995,13125,0
2017-06-22,20.995,21.205,20.645,20.855,5696,0
2017-06-23,20.785,20.925,20.365,20.575,6669,0
2017-06-26,20.645,21.345,20.295,21.205,4052,0
2017-06-27,21.275,22.045,21.065,21.345,4223,0
2017-06-28,21.625,22.745,21.625,22.185,6962,0
2017-06-29,22.535,22.955,22.115,22.745,5983,0
2017-06-30,22.745,23.165,22.255,23.025,6104,0
2017-07-03,23.305,23.515,22.815,22.815,2009,0
2017-07-05,22.815,23.095,22.395,22.605,3532,0
2017-07-06,22.465,22.605,21.625,21.835,4234,0
2017-07-07,21.975,23.235,21.905,23.165,6166,0
2017-07-10,23.025,23.235,22.255,22.325,3971,0
2017-07-11,22.395,22.815,22.045,22.395,2527,0
2017-07-12,22.675,23.095,22.605,22.745,2871,0
2017-07-13,22.745,23.235,22.535,23.235,3022,0
2017-07-14,23.235,23.235,22.395,23.025,2548,0
2017-07-17,22.955,23.165,22.395,22.885,5025,0
