Date,Open,High,Low,Close,Volume,OpenInterest
2018-01-02,14.85,15.2,14.55,15.1,2703,0
2018-01-03,15.15,15.3,14.75,14.9,2798,0
2018-01-04,15.0,15.8,14.8,15.7,3843,0
2018-01-05,15.95,16.45,15.55,16.3,8509,0
2018-01-08,16.35,16.35,15.9,16.05,4002,0
2018-01-09,16.1,16.15,15.9,16.0,3377,0
2018-01-10,15.95,16.25,15.85,16.05,2403,0
2018-01-11,16.05,16.63,16.0,16.3,3285,0
2018-01-12,16.3,16.6,16.1,16.2,5243,0
2018-01-16,16.4,16.55,15.9,16.15,4053,0
2018-01-17,16.3,16.65,16.1,16.65,3992,0
2018-01-18,16.6,16.9,16.1,16.25,3823,0
2018-01-19,16.2,16.75,16.15,16.55,3177,0
2018-01-22,17.7,18.5,17.3,17.8,8595,0
2018-01-23,18.2,18.25,17.3,17.95,4435,0
2018-01-24,17.9,18.25,17.2,17.85,3274,0
2018-01-25,17.95,18.05,17.55,17.85,3364,0
2018-01-26,17.85,18.05,17.3,17.9,3789,0
2018-01-29,17.9,18.15,17.35,17.6,2727,0
2018-01-30,17.35,17.6,16.8,16.95,3777,0
2018-01-31,17.1,17.27,16.95,17.0,1607,0
2018-02-01,16.9,17.2,16.45,16.75,3614,0
2018-02-02,16.55,16.75,16.25,16.4,2499,0
2018-02-05,16.2,16.46,15.4,15.4,3349,0
2018-02-06,14.9,16.1,14.8,15.8,3706,0
2018-02-07,15.8,16.61,15.75,16.35,2903,0
2018-02-08,16.5,16.9,16.15,16.4,4380,0
2018-02-09,16.75,17.25,16.55,17.2,6076,0
2018-02-12,17.3,17.3,16.9,17.1,4961,0
2018-02-13,16.9,17.15,16.6,17.05,4789,0
2018-02-14,16.95,17.65,16.8,17.65,4023,0
2018-02-15,17.75,17.95,17.45,17.55,2069,0
2018-02-16,17.5,18.2,17.5,17.95,4819,0
2018-02-20,17.9,18.15,17.6,17.85,4235,0
2018-02-21,17.9,18.11,17.3,17.3,1936,0
2018-02-22,17.45,17.93,17.45,17.6,2232,0
2018-02-23,17.65,18.0,17.2,17.55,1864,0
2018-02-26,17.65,17.95,17.45,17.95,2169,0
2018-02-27,17.95,18.2,16.95,17.0,2352,0
2018-02-28,17.05,17.25,16.35,16.35,2474,0
2018-03-01,16.45,17.25,16.4,16.9,2733,0
2018-03-02,16.75,17.3,16.5,17.1,2468,0
2018-03-05,17.0,17.25,16.75,17.15,2164,0
2018-03-06,17.15,17.75,16.78,17.7,2486,0
2018-03-07,17.55,18.05,17.5,17.7,3991,0
2018-03-08,17.85,18.25,17.6,17.8,2711,0
2018-03-09,18.0,18.68,18.0,18.65,7043,0
2018-03-12,18.75,19.1,18.45,18.75,5560,0
2018-03-13,18.75,18.9,18.2,18.45,5898,0
2018-03-14,20.0,20.65,16.6,16.9,18537,0
2018-03-15,16.85,16.85,14.45,14.9,15534,0
2018-03-16,14.9,15.9,14.75,15.4,13165,0
2018-03-19,15.35,15.6,13.77,14.35,10986,0
2018-03-20,14.35,14.35,13.75,14.2,5681,0
2018-03-21,14.1,14.5,13.75,14.15,3469,0
2018-03-22,13.95,14.2,13.75,14.0,6187,0
2018-03-23,13.95,14.0,13.55,13.75,6321,0
2018-03-26,13.95,14.1,12.95,13.55,5152,0
2018-03-27,13.6,14.15,13.45,13.6,4307,0
2018-03-28,13.65,13.75,12.85,13.2,6250,0
2018-03-29,13.3,14.05,13.2,13.75,7001,0
2018-04-02,13.7,13.8,13.35,13.65,3889,0
2018-04-03,13.8,13.85,13.2,13.85,3628,0
2018-04-04,13.6,14.25,13.55,14.25,4113,0
2018-04-05,14.4,14.7,14.15,14.4,4493,0
2018-04-06,14.25,14.85,14.25,14.8,4261,0
2018-04-09,14.95,15.35,14.65,15.15,2822,0
2018-04-10,15.35,16.15,15.25,16.0,4830,0
2018-04-11,15.85,16.1,15.7,15.95,2936,0
2018-04-12,16.1,16.85,15.8,16.75,4718,0
2018-04-13,16.8,16.95,16.05,16.55,4225,0
2018-04-16,16.75,17.0,16.4,16.8,3712,0
2018-04-17,16.9,17.25,16.65,17.2,3367,0
2018-04-18,17.2,17.35,16.95,17.1,3149,0
2018-04-19,17.15,17.3,16.5,16.75,3054,0
2018-04-20,16.7,16.9,16.35,16.45,2742,0
2018-04-23,16.5,17.1,16.42,16.95,1919,0
2018-04-24,17.05,17.3,16.8,17.1,2997,0
2018-04-25,16.95,17.15,16.7,16.9,2106,0
2018-04-26,16.95,17.15,16.8,17.0,1508,0
2018-04-27,17.05,17.4,16.9,17.15,2393,0
2018-04-30,17.2,17.5,16.9,16.95,2058,0
2018-05-01,16.9,17.3,16.55,17.3,2554,0
2018-05-02,17.25,17.6,17.2,17.4,3533,0
2018-05-03,17.3,17.85,17.2,17.7,2623,0
2018-05-04,17.65,18.2,17.57,18.05,3614,0
2018-05-07,18.35,18.35,17.85,17.95,2981,0
2018-05-08,17.9,18.45,17.85,18.2,5081,0
2018-05-09,17.55,19.8,16.8,19.15,7881,0
2018-05-10,19.65,20.5,19.5,20.0,7404,0
2018-05-11,20.15,20.8,19.95,20.6,8358,0
2018-05-14,20.7,21.15,20.3,20.35,5215,0
2018-05-15,20.1,20.4,20.0,20.3,3297,0
2018-05-16,20.45,21.0,20.3,20.35,6805,0
2018-05-17,20.4,20.85,20.25,20.7,6313,0
2018-05-18,20.7,20.95,20.55,20.85,4099,0
