Date,Open,High,Low,Close,Volume,OpenInterest
2017-01-03,144.9,146.1,144.15,145.0,692,0
2017-01-04,133.5,140.4,131.0,139.0,1752,0
2017-01-05,138.35,138.35,134.6,135.05,706,0
2017-01-06,134.85,135.85,132.85,133.2,715,0
2017-01-09,132.05,134.2,132.05,132.7,542,0
2017-01-10,132.95,133.8,132.55,133.55,742,0
2017-01-11,132.65,133.55,132.25,133.15,667,0
2017-01-12,133.25,133.25,130.65,132.9,532,0
2017-01-13,133.2,133.6,132.3,132.85,377,0
2017-01-17,132.5,133.65,130.8,130.85,629,0
2017-01-18,131.6,132.25,129.95,130.1,407,0
2017-01-19,130.1,130.65,127.55,128.65,358,0
2017-01-20,128.4,129.9,128.15,128.5,437,0
2017-01-23,128.0,130.36,126.4,127.5,523,0
2017-01-24,128.2,129.01,127.04,128.2,666,0
2017-01-25,128.35,130.45,128.35,130.05,3257,0
2017-01-26,130.35,130.9,129.85,130.8,632,0
2017-01-27,130.7,130.95,128.53,129.75,307,0
2017-01-30,129.8,129.8,127.6,127.7,308,0
2017-01-31,127.3,128.25,126.55,127.9,405,0
2017-02-01,128.05,128.28,126.6,127.15,691,0
2017-02-02,127.3,127.3,125.4,125.8,560,0
2017-02-03,126.4,128.3,126.05,128.15,647,0
2017-02-06,127.8,128.35,126.8,127.7,445,0
2017-02-07,127.8,128.1,126.05,126.35,315,0
2017-02-08,125.9,127.45,124.85,127.3,471,0
2017-02-09,127.0,129.5,127.0,127.75,540,0
2017-02-10,128.3,130.33,128.25,129.3,344,0
2017-02-13,128.85,130.6,128.75,129.2,356,0
2017-02-14,129.15,129.15,127.5,127.7,244,0
2017-02-15,127.2,129.05,127.2,128.95,268,0
2017-02-16,129.15,130.3,127.95,130.2,368,0
2017-02-17,130.35,131.0,129.1,130.95,648,0
2017-02-21,130.9,132.1,129.6,131.6,523,0
2017-02-22,131.2,132.4,131.2,132.4,280,0
2017-02-23,132.25,132.35,130.5,130.75,295,0
2017-02-24,129.6,132.35,129.6,132.2,225,0
2017-02-27,131.8,133.55,131.8,133.55,481,0
2017-02-28,133.35,133.45,131.5,133.1,725,0
2017-03-01,134.8,135.35,133.55,135.2,590,0
2017-03-02,135.0,135.38,133.5,134.55,454,0
2017-03-03,134.5,136.45,131.62,132.6,316,0
2017-03-06,131.7,132.75,131.2,132.2,353,0
2017-03-07,131.8,132.75,131.3,131.35,218,0
2017-03-08,131.55,131.6,130.5,131.0,283,0
2017-03-09,131.25,131.3,130.25,130.6,198,0
2017-03-10,131.0,133.4,130.7,132.15,170,0
2017-03-13,131.1,132.85,131.1,132.55,323,0
2017-03-14,132.4,133.0,131.2,132.05,210,0
2017-03-15,132.15,133.8,131.5,133.75,497,0
2017-03-16,134.15,134.9,132.35,132.55,303,0
2017-03-17,133.0,136.55,133.0,135.95,1152,0
2017-03-20,135.9,136.45,135.15,136.2,297,0
2017-03-21,136.5,136.5,133.05,134.25,596,0
2017-03-22,133.8,134.75,133.0,134.75,448,0
2017-03-23,134.95,136.85,134.3,136.0,246,0
2017-03-24,135.95,137.3,134.6,135.1,175,0
2017-03-27,133.95,135.5,133.15,135.4,220,0
2017-03-28,135.25,136.5,133.05,136.05,353,0
2017-03-29,145.0,147.05,135.6,141.0,1269,0
2017-03-30,140.8,141.15,139.5,141.05,597,0
2017-03-31,141.35,142.0,140.2,141.45,255,0
2017-04-03,142.05,142.05,136.95,137.35,381,0
2017-04-04,137.15,138.7,136.25,137.7,248,0
2017-04-05,138.4,138.4,135.85,136.2,403,0
2017-04-06,136.2,137.45,134.45,137.35,178,0
2017-04-07,136.85,138.5,134.75,135.2,417,0
2017-04-10,134.85,136.9,134.8,136.05,282,0
2017-04-11,135.75,137.6,135.55,137.4,227,0
