Date,Open,High,Low,Close,Volume,OpenInterest
2014-01-02,39.8,40.07,39.45,39.89,65798,0
2014-01-03,39.87,40.22,39.78,40.06,41644,0
2014-01-06,40.58,40.84,40.5,40.59,68886,0
2014-01-07,40.9,41.11,40.75,40.93,99339,0
2014-01-08,40.72,41.14,40.65,41.09,92439,0
2014-01-09,41.3,41.5,40.97,41.34,80872,0
2014-01-10,41.28,41.3,40.79,41.02,63743,0
2014-01-13,40.87,41.15,40.71,40.78,49981,0
2014-01-14,40.88,40.99,40.58,40.89,57854,0
2014-01-15,41.19,41.57,41.08,41.5,112390,0
2014-01-16,41.43,41.48,41.19,41.46,67787,0
2014-01-17,41.62,41.66,41.34,41.45,86607,0
2014-01-21,41.68,41.86,41.34,41.58,86799,0
2014-01-22,41.39,41.79,40.65,41.44,97933,0
2014-01-23,41.26,41.26,40.31,40.72,109563,0
2014-01-24,40.48,40.74,40.14,40.14,84336,0
2014-01-27,40.11,40.42,39.94,40.04,67175,0
2014-01-28,40.18,40.66,40.1,40.54,64806,0
2014-01-29,40.31,40.6,39.69,39.76,126692,0
2014-01-30,40.1,40.19,39.74,40.12,76049,0
2014-01-31,39.67,40.11,39.55,39.73,56833,0
2014-02-03,39.7,39.77,38.73,38.78,91173,0
2014-02-04,38.99,39.26,38.72,39.11,58252,0
2014-02-05,39.06,39.31,38.89,39.11,52299,0
2014-02-06,39.23,39.84,39.12,39.81,64083,0
2014-02-07,39.93,40.33,39.79,40.0,78683,0
2014-02-10,40.0,40.25,39.87,40.08,52226,0
2014-02-11,40.1,40.44,39.96,40.29,62101,0
2014-02-12,40.31,40.66,40.19,40.35,36356,0
2014-02-13,40.14,40.35,40.02,40.27,41845,0
2014-02-14,40.29,40.88,40.16,40.79,55213,0
2014-02-18,40.89,40.91,40.61,40.74,48169,0
2014-02-19,40.62,40.62,39.89,39.95,61709,0
2014-02-20,39.95,40.43,39.88,40.32,52947,0
2014-02-21,40.26,40.63,40.24,40.34,62271,0
2014-02-24,40.3,40.95,40.29,40.8,50814,0
2014-02-25,40.75,41.0,40.56,40.95,79186,0
2014-02-26,40.89,41.25,40.76,40.97,53941,0
2014-02-27,40.94,41.15,40.77,41.14,32128,0
2014-02-28,41.15,41.47,41.01,41.14,53747,0
2014-03-03,40.88,40.93,40.5,40.65,67319,0
2014-03-04,41.05,41.47,41.05,41.42,42410,0
2014-03-05,41.48,41.65,41.31,41.44,44604,0
2014-03-06,41.67,41.84,41.56,41.65,43693,0
2014-03-07,41.86,42.48,41.79,42.17,52331,0
2014-03-10,42.03,42.39,41.88,42.35,45960,0
2014-03-11,42.12,42.3,41.81,41.96,69801,0
2014-03-12,41.74,42.15,41.74,42.09,48458,0
2014-03-13,42.27,42.33,41.65,41.7,47304,0
2014-03-14,41.6,42.14,41.49,41.54,39924,0
2014-03-17,41.86,42.05,41.79,41.96,30090,0
2014-03-18,42.02,42.46,42.01,42.37,38790,0
2014-03-19,42.39,42.64,42.05,42.34,67288,0
2014-03-20,42.19,43.0,42.19,42.9,66674,0
2014-03-21,43.32,43.55,42.76,43.02,102629,0
2014-03-24,43.39,43.57,43.1,43.32,84053,0
2014-03-25,43.41,43.56,43.31,43.42,61459,0
2014-03-26,43.61,43.66,42.86,42.92,77918,0
2014-03-27,42.83,42.95,42.01,42.26,93257,0
2014-03-28,42.35,42.62,42.2,42.3,37424,0
2014-03-31,42.5,42.93,42.5,42.86,48615,0
2014-04-01,43.59,43.59,42.78,42.99,49237,0
2014-04-02,42.96,43.09,42.67,43.05,57564,0
2014-04-03,42.68,43.11,42.47,43.02,71893,0
2014-04-04,43.19,43.38,42.53,42.55,65851,0
2014-04-07,42.32,42.55,41.93,42.0,59009,0
2014-04-08,41.96,42.27,41.75,41.79,77079,0
2014-04-09,41.98,42.17,41.61,42.01,66543,0
2014-04-10,42.11,42.14,40.75,40.78,101377,0
2014-04-11,40.49,40.95,40.3,40.51,97913,0
2014-04-14,40.97,41.03,40.23,40.61,63988,0
2014-04-15,40.72,41.04,40.31,41.01,96548,0
2014-04-16,41.33,41.5,39.9,40.47,144952,0
2014-04-17,40.38,40.45,40.1,40.25,117134,0
2014-04-21,40.29,40.64,40.14,40.38,63047,0
2014-04-22,40.33,40.91,40.28,40.64,66673,0
2014-04-23,40.52,41.0,40.52,40.94,56894,0
2014-04-24,41.02,41.02,40.55,40.65,51151,0
2014-04-25,40.55,40.58,40.15,40.22,51618,0
2014-04-28,40.36,40.38,39.86,40.16,64909,0
2014-04-29,40.33,40.65,40.26,40.57,54155,0
2014-04-30,40.54,40.87,40.45,40.78,52539,0
2014-05-01,40.76,40.85,40.27,40.37,52126,0
2014-05-02,40.48,40.8,40.3,40.39,41858,0
2014-05-05,40.21,40.46,39.92,40.45,56678,0
2014-05-06,40.31,40.36,40.04,40.15,59271,0
2014-05-07,40.35,40.49,40.02,40.46,60385,0
2014-05-08,40.44,40.53,40.2,40.33,46757,0
2014-05-09,40.15,40.45,40.06,40.32,35243,0
2014-05-12,40.43,40.61,40.27,40.45,53844,0
2014-05-13,40.45,40.63,40.34,40.53,49971,0
2014-05-14,40.42,40.62,40.18,40.36,53015,0
2014-05-15,40.25,40.66,40.01,40.57,101029,0
2014-05-16,40.59,40.91,40.47,40.89,85875,0
2014-05-19,40.8,41.4,40.74,41.36,76112,0
2014-05-20,41.3,41.49,40.88,41.11,58984,0
2014-05-21,41.29,41.41,41.07,41.21,40216,0
2014-05-22,41.27,41.42,41.14,41.37,31062,0
2014-05-23,41.38,41.52,41.27,41.45,23738,0
2014-05-27,41.61,41.97,41.5,41.74,48192,0
2014-05-28,41.72,42.12,41.57,42.03,54366,0
2014-05-29,42.22,42.22,41.8,42.03,44840,0
2014-05-30,41.98,42.33,41.97,42.19,43703,0
2014-06-02,42.22,42.25,41.82,42.18,42648,0
2014-06-03,42.07,42.39,42.0,42.24,35630,0
2014-06-04,42.11,42.41,42.04,42.36,38742,0
2014-06-05,42.47,42.49,42.25,42.49,39477,0
2014-06-06,42.49,42.99,42.41,42.88,40737,0
2014-06-09,42.88,43.57,42.81,43.52,56437,0
2014-06-10,43.43,43.52,43.21,43.33,42023,0
2014-06-11,42.97,43.28,42.84,42.98,48251,0
2014-06-12,42.93,43.16,42.8,43.01,50516,0
2014-06-13,43.01,43.28,42.92,43.06,36731,0
2014-06-16,42.96,43.07,42.58,42.75,43272,0
2014-06-17,42.7,43.24,42.65,43.13,51536,0
2014-06-18,43.1,43.34,42.89,43.33,48489,0
2014-06-19,43.31,43.37,43.1,43.28,33874,0
2014-06-20,43.64,43.92,43.6,43.74,82439,0
2014-06-23,43.57,43.84,43.44,43.82,65885,0
2014-06-24,43.66,43.83,43.26,43.3,51635,0
2014-06-25,43.17,43.41,42.93,43.36,63925,0
2014-06-26,43.0,43.33,42.75,43.06,79978,0
2014-06-27,42.97,43.36,42.91,43.36,43720,0
2014-06-30,43.36,43.48,43.19,43.32,40125,0
2014-07-01,43.45,43.66,43.33,43.34,45854,0
2014-07-02,43.17,43.45,43.13,43.25,38397,0
2014-07-03,43.67,43.75,43.46,43.59,25332,0
2014-07-07,43.53,43.71,43.4,43.48,30393,0
2014-07-08,43.23,43.47,43.1,43.19,45456,0
2014-07-09,43.36,43.44,43.14,43.38,44372,0
2014-07-10,43.08,43.19,42.88,43.1,45895,0
2014-07-11,42.98,43.22,42.81,43.18,44856,0
2014-07-14,43.51,43.64,43.01,43.05,38193,0
2014-07-15,42.97,43.42,42.96,43.3,79364,0
2014-07-16,43.42,43.49,42.36,42.53,80559,0
2014-07-17,42.22,42.32,41.58,41.61,106056,0
2014-07-18,41.82,42.31,41.79,42.17,67775,0
2014-07-21,42.01,42.21,41.95,42.12,44666,0
2014-07-22,42.3,42.55,42.22,42.25,51650,0
2014-07-23,42.26,42.53,42.22,42.46,34813,0
2014-07-24,42.54,42.84,42.48,42.73,33559,0
2014-07-25,42.54,42.82,42.5,42.75,41098,0
2014-07-28,42.7,42.7,42.31,42.57,53771,0
2014-07-29,42.61,42.97,42.43,42.64,47770,0
2014-07-30,42.83,43.1,42.66,42.92,47394,0
2014-07-31,42.64,42.78,42.01,42.03,68419,0
2014-08-01,41.85,42.08,41.29,41.33,60775,0
2014-08-04,41.48,41.67,41.24,41.64,41775,0
2014-08-05,41.42,41.64,41.02,41.17,44761,0
2014-08-06,41.02,41.36,40.98,41.08,57130,0
2014-08-07,41.16,41.25,40.58,40.68,48642,0
2014-08-08,40.78,41.2,40.68,41.18,52246,0
2014-08-11,41.21,41.28,40.89,40.96,32154,0
2014-08-12,40.9,41.3,40.85,41.16,41962,0
2014-08-13,41.34,41.46,41.16,41.36,40628,0
2014-08-14,41.35,41.61,41.34,41.6,31356,0
2014-08-15,41.7,41.78,41.06,41.27,47963,0
2014-08-18,41.51,41.82,41.43,41.72,28909,0
2014-08-19,41.66,41.87,41.53,41.84,35916,0
2014-08-20,41.67,41.78,41.46,41.71,45281,0
2014-08-21,41.78,42.24,41.73,42.19,36906,0
2014-08-22,42.05,42.47,41.98,42.03,32118,0
2014-08-25,42.19,42.42,42.19,42.25,38272,0
2014-08-26,42.3,42.61,42.27,42.41,29210,0
2014-08-27,42.4,42.49,42.09,42.2,21485,0
2014-08-28,41.97,42.19,41.93,42.06,19458,0
2014-08-29,42.23,42.3,41.99,42.28,20767,0
2014-09-02,42.34,42.4,42.07,42.27,28854,0
2014-09-03,42.48,42.51,42.01,42.12,36882,0
2014-09-04,42.08,42.55,42.05,42.24,35608,0
2014-09-05,42.12,42.22,41.89,42.13,61590,0
2014-09-08,42.19,42.2,41.87,42.03,49638,0
2014-09-09,41.88,41.91,41.48,41.6,50043,0
2014-09-10,41.63,41.91,41.62,41.84,44971,0
2014-09-11,41.75,42.13,41.72,42.1,35193,0
2014-09-12,42.02,42.41,41.97,42.2,69187,0
2014-09-15,42.15,42.52,42.14,42.37,42079,0
2014-09-16,42.31,42.59,42.28,42.37,52082,0
2014-09-17,42.48,42.89,42.41,42.69,64483,0
2014-09-18,42.83,43.2,42.83,43.03,61518,0
2014-09-19,43.28,43.58,43.14,43.23,69523,0
2014-09-22,43.23,43.33,42.95,43.02,40890,0
2014-09-23,42.95,43.12,42.58,42.59,41923,0
2014-09-24,42.67,42.75,42.33,42.57,63575,0
2014-09-25,42.5,42.51,41.83,41.87,70720,0
2014-09-26,41.83,41.97,41.5,41.87,51714,0
2014-09-29,41.47,41.93,41.44,41.73,36239,0
2014-09-30,41.76,42.06,41.62,41.83,53246,0
2014-10-01,41.86,41.88,41.21,41.26,53231,0
2014-10-02,41.2,41.48,40.97,41.29,53083,0
2014-10-03,41.62,41.76,41.5,41.67,41999,0
2014-10-06,41.91,41.92,41.49,41.54,32493,0
2014-10-07,41.06,41.27,40.6,40.6,58254,0
2014-10-08,40.59,41.29,40.48,41.3,60862,0
2014-10-09,41.39,41.39,40.55,40.58,66689,0
2014-10-10,40.63,41.02,40.06,40.07,81430,0
2014-10-13,40.11,40.55,39.83,39.86,67841,0
2014-10-14,40.0,40.48,39.83,39.97,107322,0
2014-10-15,39.58,39.73,38.29,38.94,115417,0
2014-10-16,38.15,39.4,38.1,39.1,93261,0
2014-10-17,39.64,39.67,39.18,39.4,80106,0
2014-10-20,39.2,39.59,39.18,39.38,49286,0
2014-10-21,39.71,40.32,39.64,40.27,76782,0
2014-10-22,40.22,40.68,39.87,39.89,93411,0
2014-10-23,40.41,40.67,40.22,40.41,68375,0
2014-10-24,40.33,40.99,40.3,40.91,57412,0
2014-10-27,40.78,41.02,40.78,40.96,36402,0
2014-10-28,41.08,41.54,41.04,41.54,43237,0
2014-10-29,41.45,41.95,41.4,41.84,56728,0
2014-10-30,41.67,42.34,41.58,42.14,54179,0
2014-10-31,42.54,42.6,42.36,42.6,69084,0
2014-11-03,42.39,43.0,42.39,42.92,57557,0
2014-11-04,42.76,43.18,42.74,43.16,55225,0
2014-11-05,43.4,43.55,43.14,43.52,53135,0
2014-11-06,43.46,43.93,43.31,43.92,54637,0
2014-11-07,43.85,43.95,43.6,43.81,55810,0
2014-11-10,43.77,43.93,43.58,43.93,46268,0
2014-11-11,43.95,44.17,43.91,44.03,42909,0
2014-11-12,43.86,44.0,43.69,43.94,42216,0
2014-11-13,43.91,44.0,43.81,43.93,59720,0
2014-11-14,43.79,43.94,43.65,43.73,43069,0
2014-11-17,43.7,43.82,43.59,43.8,43039,0
2014-11-18,43.73,44.1,43.71,43.98,35387,0
2014-11-19,43.9,43.96,43.59,43.89,38551,0
2014-11-20,43.61,44.01,43.56,43.91,39823,0
2014-11-21,44.19,44.35,43.86,43.97,38704,0
2014-11-24,44.13,44.49,43.98,44.37,41595,0
2014-11-25,44.43,44.43,43.94,44.01,39602,0
2014-11-26,44.11,44.4,43.96,44.38,39559,0
2014-11-28,44.5,44.68,44.14,44.2,31638,0
2014-12-01,44.15,44.18,43.53,43.62,59865,0
2014-12-02,43.63,44.07,43.63,44.07,46105,0
2014-12-03,43.96,44.44,43.95,44.32,36434,0
