Date,Open,High,Low,Close,Volume,OpenInterest
2017-01-03,55.67,56.35,55.46,56.0,182834,0
2017-01-04,56.16,56.31,55.61,56.05,126380,0
2017-01-05,55.49,55.82,54.47,55.18,159755,0
2017-01-06,55.26,55.57,54.7,55.04,161157,0
2017-01-09,54.68,54.81,54.18,54.24,174859,0
2017-01-10,54.35,55.18,54.26,54.62,151217,0
2017-01-11,54.6,54.8,53.72,54.8,182476,0
2017-01-12,54.65,54.78,53.9,54.5,179517,0
2017-01-13,55.11,56.2,54.65,55.31,317864,0
2017-01-17,54.8,54.96,53.58,53.78,222575,0
2017-01-18,53.78,54.29,53.34,54.27,179806,0
2017-01-19,54.24,54.77,53.86,54.58,184141,0
2017-01-20,54.75,55.11,54.62,55.07,188790,0
2017-01-23,54.71,55.0,54.15,54.25,143709,0
2017-01-24,54.36,55.07,54.13,54.7,150379,0
2017-01-25,55.38,56.83,55.28,56.62,288866,0
2017-01-26,56.61,57.33,56.59,57.18,211803,0
2017-01-27,57.03,57.11,56.41,56.59,128388,0
2017-01-30,56.12,56.33,55.75,56.08,134672,0
2017-01-31,55.98,56.38,55.8,56.33,185191,0
2017-02-01,56.54,57.07,55.77,55.91,182162,0
2017-02-02,55.56,55.96,55.4,55.75,108303,0
2017-02-03,56.88,57.29,56.43,57.27,173978,0
2017-02-06,57.08,57.41,56.49,56.55,118514,0
2017-02-07,56.86,57.19,56.26,56.34,122649,0
2017-02-08,56.21,56.21,55.16,55.63,157782,0
2017-02-09,55.98,56.77,55.67,56.73,138434,0
2017-02-10,57.02,57.04,56.66,56.86,106999,0
2017-02-13,57.07,57.52,56.89,57.08,113613,0
2017-02-14,57.12,58.0,56.99,57.98,141035,0
2017-02-15,58.1,59.01,57.89,58.55,202041,0
2017-02-16,58.36,58.36,57.51,58.12,127975,0
2017-02-17,57.58,58.1,57.45,58.09,110594,0
2017-02-21,58.25,58.63,57.9,58.25,130856,0
2017-02-22,58.0,58.59,58.0,58.36,102194,0
2017-02-23,58.43,58.59,58.06,58.49,122456,0
2017-02-24,57.7,57.91,57.32,57.81,136373,0
2017-02-27,57.81,58.25,57.71,58.06,84992,0
2017-02-28,57.88,58.22,57.73,57.88,101106,0
2017-03-01,59.11,59.99,59.09,59.73,222162,0
2017-03-02,59.78,59.79,58.56,58.71,151435,0
2017-03-03,58.85,59.24,58.67,58.89,126858,0
2017-03-06,58.54,58.88,58.18,58.61,94316,0
2017-03-07,58.44,58.52,58.01,58.3,93351,0
2017-03-08,58.95,59.13,58.16,58.21,123482,0
2017-03-09,58.44,58.87,58.2,58.7,111994,0
2017-03-10,58.98,59.18,58.52,58.85,120856,0
2017-03-13,58.84,59.03,58.51,58.7,101151,0
2017-03-14,58.56,58.81,58.24,58.76,89340,0
2017-03-15,58.87,59.31,57.49,58.71,155945,0
2017-03-16,58.85,59.41,58.76,59.32,159637,0
2017-03-17,59.37,59.41,58.52,58.67,162153,0
2017-03-20,58.47,58.47,57.62,57.63,141373,0
2017-03-21,57.93,57.96,55.63,55.85,271691,0
2017-03-22,55.53,55.57,54.85,55.33,246260,0
2017-03-23,55.23,55.99,54.98,55.25,155367,0
2017-03-24,55.5,56.05,55.22,55.83,180009,0
2017-03-27,54.63,55.58,54.24,55.39,140202,0
2017-03-28,55.35,56.25,55.24,55.96,115536,0
2017-03-29,55.94,56.09,55.55,55.67,79849,0
2017-03-30,55.68,56.43,55.61,56.24,104629,0
2017-03-31,56.02,56.18,55.62,55.66,83650,0
2017-04-03,55.7,55.82,54.79,55.49,119769,0
2017-04-04,55.3,55.33,54.98,55.2,100199,0
2017-04-05,55.79,56.2,54.93,54.98,152529,0
2017-04-06,54.95,55.65,54.7,55.37,82398,0
2017-04-07,54.94,55.31,54.61,54.84,126752,0
2017-04-10,54.99,55.25,54.32,54.54,111900,0
2017-04-11,54.23,54.26,53.26,54.16,250832,0
2017-04-12,53.95,54.02,53.05,53.12,219892,0
2017-04-13,51.8,52.75,51.35,51.35,434188,0
2017-04-17,51.64,52.76,51.25,52.72,279426,0
2017-04-18,52.36,52.67,52.09,52.45,202803,0
2017-04-19,52.88,53.14,52.05,52.15,149901,0
2017-04-20,52.72,53.59,52.2,53.5,251790,0
2017-04-21,53.43,53.84,52.95,53.0,226801,0
2017-04-24,54.15,54.34,53.59,53.65,203004,0
2017-04-25,54.21,55.09,54.21,54.56,235568,0
2017-04-26,54.6,55.07,54.36,54.54,137555,0
2017-04-27,54.54,54.65,53.91,54.44,120117,0
2017-04-28,54.33,54.58,53.73,53.84,116606,0
2017-05-01,54.1,54.75,53.97,54.46,109631,0
2017-05-02,54.46,54.61,54.06,54.54,125665,0
2017-05-03,54.01,54.89,53.95,54.85,136429,0
2017-05-04,55.27,55.6,54.87,55.18,148649,0
2017-05-05,55.25,55.39,54.88,55.11,109790,0
2017-05-08,55.12,55.29,54.75,55.04,114087,0
2017-05-09,55.14,55.37,54.45,54.68,125355,0
2017-05-10,54.43,54.91,54.36,54.72,142913,0
2017-05-11,54.28,54.42,53.06,53.74,295036,0
2017-05-12,53.3,53.32,52.54,53.02,271353,0
2017-05-15,53.06,53.42,53.02,53.32,122588,0
2017-05-16,53.4,53.44,52.95,53.26,111822,0
2017-05-17,51.95,52.65,51.65,52.24,298581,0
2017-05-18,52.31,52.96,51.95,52.38,174964,0
2017-05-19,52.57,53.34,52.39,53.06,145029,0
