Date,Open,High,Low,Close,Volume,OpenInterest
2014-01-02,21.85,21.85,21.01,21.52,941,0
2014-01-03,21.59,21.77,21.5,21.6,750,0
2014-01-06,21.73,22.0,21.67,21.8,1242,0
2014-01-07,21.99,21.99,21.65,21.76,620,0
2014-01-08,21.75,21.81,21.6,21.68,433,0
2014-01-09,21.71,21.76,21.2,21.41,896,0
2014-01-10,21.47,21.63,21.18,21.27,630,0
2014-01-13,21.25,21.59,21.25,21.42,591,0
2014-01-14,21.44,21.75,21.0,21.1,14929,0
2014-01-15,21.92,22.19,20.82,21.34,2139,0
2014-01-16,21.44,22.59,21.26,22.1,2456,0
2014-01-17,22.04,22.35,21.83,22.25,812,0
2014-01-21,22.3,22.3,21.77,21.94,1722,0
2014-01-22,22.0,22.24,21.86,22.24,1073,0
2014-01-23,22.22,22.49,22.1,22.47,1158,0
2014-01-24,22.34,22.44,22.11,22.21,1377,0
2014-01-27,22.19,22.31,21.38,22.08,1246,0
2014-01-28,22.15,22.43,21.68,22.35,1328,0
2014-01-29,22.2,22.25,21.85,22.09,741,0
2014-01-30,22.22,22.28,21.86,22.05,535,0
2014-01-31,21.86,21.86,21.3,21.53,754,0
2014-02-03,21.45,21.61,20.78,20.83,1139,0
2014-02-04,20.87,21.21,20.61,20.86,844,0
2014-02-05,20.73,21.1,20.22,21.06,892,0
2014-02-06,21.15,21.42,20.97,21.22,682,0
2014-02-07,21.13,21.57,20.94,21.45,1612,0
2014-02-10,21.36,21.42,21.05,21.33,808,0
2014-02-11,21.29,21.41,21.06,21.25,675,0
2014-02-12,21.22,21.42,21.12,21.34,1493,0
2014-02-13,21.28,21.5,21.25,21.34,568,0
2014-02-14,21.35,21.52,21.13,21.29,523,0
2014-02-18,21.36,21.47,21.19,21.24,531,0
2014-02-19,21.25,21.44,21.15,21.24,1649,0
2014-02-20,21.19,21.19,20.19,20.49,968,0
2014-02-21,20.43,20.6,20.2,20.29,584,0
2014-02-24,20.28,20.34,19.9,20.16,1555,0
2014-02-25,20.12,20.39,19.01,20.13,4240,0
2014-02-26,19.87,20.76,19.86,20.7,1384,0
2014-02-27,20.68,20.72,20.07,20.4,1816,0
2014-02-28,20.32,20.51,19.87,19.89,1041,0
2014-03-03,19.74,19.75,19.14,19.55,923,0
2014-03-04,20.51,20.57,19.57,20.06,1910,0
2014-03-05,20.04,20.16,19.76,19.76,332,0
2014-03-06,19.75,19.92,19.39,19.6,986,0
2014-03-07,19.64,19.78,19.36,19.56,1281,0
2014-03-10,19.56,19.91,19.28,19.66,1634,0
2014-03-11,19.66,19.66,19.04,19.16,1283,0
2014-03-12,19.05,19.36,18.95,19.28,731,0
2014-03-13,19.24,19.24,18.7,18.82,605,0
2014-03-14,18.73,19.08,18.59,18.68,913,0
2014-03-17,18.74,19.0,18.41,18.56,709,0
2014-03-18,18.48,18.55,18.03,18.46,748,0
2014-03-19,18.42,18.47,18.06,18.06,873,0
2014-03-20,18.11,18.34,17.89,18.19,810,0
2014-03-21,18.3,18.49,18.15,18.3,1196,0
2014-03-24,18.37,18.63,18.24,18.36,1054,0
2014-03-25,18.4,18.57,18.22,18.35,674,0
2014-03-26,18.38,18.56,18.08,18.29,481,0
2014-03-27,18.31,18.4,17.95,18.2,650,0
2014-03-28,18.21,18.33,18.04,18.17,735,0
2014-03-31,18.28,18.35,18.0,18.0,996,0
2014-04-01,18.1,18.71,18.0,18.62,1230,0
2014-04-02,18.64,19.0,18.38,18.97,795,0
2014-04-03,18.94,19.51,18.9,19.44,1168,0
2014-04-04,19.59,19.72,19.09,19.18,882,0
2014-04-07,19.17,19.39,18.97,19.03,1283,0
2014-04-08,18.99,19.17,18.69,18.85,544,0
2014-04-09,18.95,19.1,18.71,18.88,252,0
2014-04-10,19.02,19.04,18.11,18.15,613,0
