Date,Open,High,Low,Close,Volume,OpenInterest
2018-01-02,44.4,45.6,44.23,45.58,2740,0
2018-01-03,45.73,45.94,45.23,45.39,1364,0
2018-01-04,45.63,45.63,44.7,45.13,3006,0
2018-01-05,45.3,45.71,44.74,45.71,2850,0
2018-01-08,45.92,46.98,45.88,46.47,3381,0
2018-01-09,46.36,46.36,45.25,45.45,3465,0
2018-01-10,45.44,46.8,45.38,46.78,2997,0
2018-01-11,46.92,48.13,46.74,48.11,2484,0
2018-01-12,48.25,48.38,47.35,47.75,2636,0
2018-01-16,47.68,48.71,47.26,47.31,3994,0
2018-01-17,47.49,48.13,47.1,48.03,2805,0
2018-01-18,48.08,48.68,47.54,47.67,2712,0
2018-01-19,47.63,48.13,47.28,47.84,3419,0
2018-01-22,47.67,48.32,47.38,48.32,1726,0
2018-01-23,48.0,48.32,46.91,48.22,1807,0
2018-01-24,48.68,48.74,48.19,48.38,1943,0
2018-01-25,48.84,49.09,48.07,48.93,2442,0
2018-01-26,48.93,49.93,48.7,49.53,2929,0
2018-01-29,49.39,49.89,49.18,49.18,2967,0
2018-01-30,48.96,49.27,47.24,47.3,2724,0
2018-01-31,47.73,47.74,46.24,46.76,2421,0
2018-02-01,46.59,46.99,46.18,46.97,2254,0
2018-02-02,46.49,46.49,45.51,45.58,2090,0
2018-02-05,45.3,46.25,44.12,44.12,2826,0
2018-02-06,43.26,45.03,42.22,44.73,3145,0
2018-02-07,44.56,45.58,44.56,45.03,1887,0
2018-02-08,45.07,45.07,43.26,43.26,1678,0
2018-02-09,43.82,43.93,41.89,43.25,2895,0
2018-02-12,43.53,44.54,43.38,44.18,1233,0
2018-02-13,44.06,44.87,44.0,44.73,1226,0
2018-02-14,44.2,45.86,44.12,45.77,2423,0
2018-02-15,46.22,46.35,45.7,46.13,1286,0
2018-02-16,45.91,47.31,45.73,46.7,1970,0
2018-02-20,46.31,47.31,45.76,45.94,1443,0
2018-02-21,46.09,47.01,45.76,45.81,2192,0
2018-02-22,46.18,46.42,45.68,45.97,1427,0
2018-02-23,46.15,46.35,45.6,46.33,1132,0
2018-02-26,46.71,46.86,46.0,46.71,894,0
2018-02-27,46.52,47.0,45.77,45.77,1289,0
2018-02-28,45.82,45.88,44.22,44.24,1915,0
2018-03-01,44.54,45.48,44.01,44.7,2462,0
2018-03-02,44.36,44.82,43.81,44.52,1249,0
2018-03-05,44.09,45.02,44.07,44.83,1163,0
2018-03-06,45.17,45.52,44.37,45.41,1225,0
2018-03-07,44.93,46.16,44.93,45.96,1149,0
2018-03-08,45.99,45.99,44.52,45.0,951,0
2018-03-09,45.28,45.45,44.76,45.34,1341,0
2018-03-12,45.39,46.02,45.32,45.95,1267,0
2018-03-13,46.06,46.52,45.67,45.75,1537,0
2018-03-14,45.81,46.08,44.66,44.81,1186,0
2018-03-15,44.82,45.31,44.35,44.45,1330,0
2018-03-16,44.44,45.33,44.12,44.92,3595,0
2018-03-19,44.66,44.71,43.6,44.3,2047,0
2018-03-20,44.3,44.44,43.08,43.1,1666,0
2018-03-21,43.16,44.31,43.09,44.0,1145,0
2018-03-22,43.27,43.66,41.82,41.87,1520,0
2018-03-23,42.04,42.23,40.77,40.77,2268,0
2018-03-26,41.54,41.54,40.52,41.36,2105,0
2018-03-27,41.6,41.81,40.68,40.89,1968,0
2018-03-28,40.87,41.19,40.31,40.77,2230,0
2018-03-29,40.9,43.33,40.72,42.92,2989,0
2018-04-02,42.33,42.77,39.69,39.8,3157,0
2018-04-03,40.11,40.87,40.11,40.54,2720,0
2018-04-04,39.88,40.74,39.62,40.6,3626,0
2018-04-05,41.03,41.95,41.0,41.55,2967,0
2018-04-06,41.6,41.91,40.58,40.79,2990,0
2018-04-09,40.94,41.55,40.73,40.94,2331,0
2018-04-10,41.62,43.26,41.61,42.89,3752,0
2018-04-11,42.58,43.13,41.96,42.34,2064,0
2018-04-12,42.58,43.61,42.58,43.28,1568,0
2018-04-13,43.64,44.1,43.33,43.33,2528,0
2018-04-16,43.66,44.95,43.45,44.7,2784,0
2018-04-17,45.13,46.0,45.03,45.75,2383,0
2018-04-18,46.14,46.87,46.14,46.4,1931,0
2018-04-19,46.18,46.77,46.0,46.57,1803,0
2018-04-20,46.55,46.91,46.06,46.14,2010,0
2018-04-23,45.92,46.53,45.62,46.03,2970,0
2018-04-24,46.44,47.15,45.21,45.81,4782,0
2018-04-25,45.51,47.01,45.38,46.11,2679,0
2018-04-26,46.35,46.65,45.54,46.37,2282,0
2018-04-27,46.13,46.24,45.16,45.63,1847,0
2018-04-30,45.66,45.91,44.52,44.53,2252,0
2018-05-01,44.23,44.56,43.35,44.38,2114,0
2018-05-02,44.59,44.82,43.97,44.07,1475,0
2018-05-03,44.13,44.67,43.31,43.76,1757,0
2018-05-04,43.53,44.69,43.46,44.37,1918,0
2018-05-07,44.54,45.22,44.33,45.18,1849,0
2018-05-08,44.96,45.54,44.91,45.18,1443,0
2018-05-09,45.41,45.41,44.97,45.13,1183,0
2018-05-10,45.36,45.98,45.33,45.82,1681,0
2018-05-11,45.99,46.62,45.99,46.22,2085,0
2018-05-14,46.38,46.54,45.31,45.42,1953,0
2018-05-15,45.06,45.99,44.9,45.94,1811,0
2018-05-16,46.15,47.22,45.84,47.06,1451,0
2018-05-17,47.13,48.0,47.13,47.95,1226,0
2018-05-18,48.0,48.49,47.7,48.26,1757,0
