ticker,exchange,eps_pct_diff_surp,asof_date,act_rpt_code
AZN,NYSE,137.25,2017-02-03,None
AGX,NYSE,46.59,2017-04-10,AMC
RMD,NYSE,1.43,2017-04-27,AMC
CTS,NYSE,4.0,2017-04-27,BTO
TEN,NYSE,8.51,2017-05-01,BTO
SFS,NYSE,-400.0,2017-05-03,AMC
AZZ,NYSE,-15.66,2017-01-06,BTO
CLC,NYSE,5.71,2017-01-18,AMC
CMC,NYSE,-41.18,2017-01-09,BTO
FC,NYSE,-163.64,2017-01-05,AMC
FUL,NYSE,-1.33,2017-01-19,AMC
KBH,NYSE,8.11,2017-01-11,AMC
MSM,NYSE,2.15,2017-01-11,BTO
PKE,NYSE,-28.57,2017-01-05,BTO
RPM,NYSE,-13.33,2017-01-05,BTO
SVU,NYSE,-61.54,2017-01-11,BTO
UNF,NYSE,-12.66,2017-01-04,BTO
GBX,NYSE,-5.95,2017-01-06,BTO
SJR,NYSE,-43.48,2017-01-12,BTO
MON,NYSE,800.0,2017-01-05,BTO
GPN,NYSE,11.25,2017-01-09,BTO
AYI,NYSE,-8.74,2017-01-09,BTO
STZ,NYSE,13.95,2017-01-05,BTO
SNX,NYSE,22.97,2017-01-10,DMT
EDU,NYSE,-22.22,2017-01-17,BTO
MG,NYSE,-27.78,2017-01-04,AMC
CUDA,NYSE,100.0,2017-01-09,AMC
NORD,NYSE,-7.41,2017-01-24,BTO
LW,NYSE,14.55,2017-01-10,BTO
ARNC,NYSE,9.09,2017-01-31,AMC
ABT,NYSE,1.56,2017-01-25,BTO
ABX,NYSE,4.76,2017-02-15,AMC
AB,NYSE,39.58,2017-02-14,BTO
ADM,NYSE,-6.25,2017-02-07,BTO
AEM,NYSE,-85.71,2017-02-15,AMC
AEP,NYSE,21.82,2017-01-26,BTO
AES,NYSE,-2.78,2017-02-27,BTO
AET,NYSE,12.41,2017-01-31,BTO
AFL,NYSE,-6.1,2017-01-31,AMC
AGCO,NYSE,18.31,2017-02-07,BTO
HES,NYSE,6.48,2017-01-25,BTO
AIG,NYSE,-32.26,2017-02-14,AMC
MATX,NYSE,-4.35,2017-02-21,AMC
ALK,NYSE,10.64,2017-02-08,BTO
TWX,NYSE,5.04,2017-02-08,BTO
AN,NYSE,-1.04,2017-02-03,BTO
AON,NYSE,2.81,2017-02-10,BTO
APA,NYSE,-200.0,2017-02-23,BTO
APC,NYSE,-4.17,2017-01-31,AMC
APD,NYSE,-0.68,2017-01-27,BTO
APH,NYSE,4.17,2017-01-25,BTO
AAN,NYSE,11.11,2017-02-17,BTO
ARW,NYSE,-0.5,2017-02-07,BTO
ASB,NYSE,6.25,2017-01-19,AMC
ASGN,NYSE,-4.48,2017-02-14,AMC
ASH,NYSE,16.0,2017-01-26,AMC
ASR,NYSE,1.37,2017-02-22,AMC
ATO,NYSE,4.85,2017-02-07,AMC
ATW,NYSE,25.0,2017-02-03,AMC
AVP,NYSE,-88.89,2017-02-16,BTO
AVT,NYSE,2.67,2017-01-26,BTO
AVY,NYSE,6.45,2017-02-01,BTO
AXP,NYSE,-7.14,2017-01-19,AMC
B,NYSE,4.69,2017-02-17,BTO
BA,NYSE,5.56,2017-01-25,BTO
BAC,NYSE,5.26,2017-01-13,BTO
BAX,NYSE,9.62,2017-02-01,BTO
BC,NYSE,3.08,2017-01-27,None
BCE,NYSE,-3.39,2017-02-02,BTO
BCR,NYSE,1.47,2017-01-26,AMC
BDX,NYSE,10.43,2017-02-02,BTO
BEN,NYSE,13.24,2017-01-27,BTO
BGG,NYSE,20.69,2017-01-25,AMC
BHE,NYSE,9.76,2017-02-08,BTO
BHI,NYSE,-150.0,2017-01-26,BTO
BID,NYSE,12.5,2017-02-27,BTO
BIO,NYSE,25.0,2017-02-23,AMC
BK,NYSE,-1.28,2017-01-19,BTO
BKH,NYSE,8.08,2017-02-01,AMC
WRB,NYSE,-1.2,2017-01-31,AMC
BLL,NYSE,1.16,2017-02-02,BTO
BLX,NYSE,-52.78,2017-02-17,BTO
BMI,NYSE,-8.7,2017-02-06,AMC
BMS,NYSE,1.52,2017-01-26,BTO
BMY,NYSE,-4.55,2017-01-26,BTO
BXS,NYSE,8.11,2017-01-25,AMC
BPL,NYSE,-25.71,2017-02-10,BTO
BRO,NYSE,2.44,2017-01-23,AMC
BSX,NYSE,3.45,2017-02-02,BTO
BT,NYSE,-14.29,2017-01-28,None
MTRN,NYSE,-15.15,2017-02-17,BTO
CACI,NYSE,19.01,2017-02-01,AMC
CAJ,NYSE,-52.73,2017-02-01,None
CAT,NYSE,27.69,2017-01-26,BTO
CBM,NYSE,12.38,2017-02-03,BTO
CBU,NYSE,5.17,2017-01-23,BTO
CBT,NYSE,21.74,2017-02-01,AMC
CCC,NYSE,-68.75,2017-02-24,BTO
C,NYSE,1.79,2017-01-18,BTO
CDE,NYSE,-92.86,2017-02-08,AMC
CAH,NYSE,8.06,2017-02-07,BTO
CFR,NYSE,3.23,2017-01-25,BTO
CHD,NYSE,4.76,2017-02-07,BTO
CI,NYSE,7.47,2017-02-02,BTO
CLF,NYSE,64.0,2017-02-09,BTO
CLH,NYSE,-300.0,2017-02-22,BTO
CLX,NYSE,2.46,2017-02-03,BTO
CMA,NYSE,4.21,2017-01-17,BTO
CMO,NYSE,-30.0,2017-01-25,AMC
CRK,NYSE,-88.32,2017-02-24,BTO
COT,NYSE,133.33,2017-02-23,BTO
CP,NYSE,-3.8,2017-01-18,AMC
CPF,NYSE,5.41,2017-01-25,BTO
CR,NYSE,4.08,2017-01-30,AMC
CRD.B,NYSE,7.14,2017-02-27,BTO
CRS,NYSE,150.0,2017-02-02,BTO
CSC,NYSE,14.08,2017-02-02,AMC
CSL,NYSE,3.13,2017-02-09,AMC
CTB,NYSE,37.63,2017-02-17,BTO
CTL,NYSE,-3.57,2017-02-08,AMC
CTS,NYSE,26.09,2017-02-07,BTO
CUB,NYSE,-450.0,2017-02-09,AMC
CMI,NYSE,11.39,2017-02-09,BTO
CW,NYSE,6.76,2017-02-15,AMC
CWT,NYSE,63.16,2017-02-23,BTO
D,NYSE,-1.0,2017-02-01,BTO
DBD,NYSE,-3.03,2017-02-14,BTO
DD,NYSE,21.43,2017-01-24,BTO
CVA,NYSE,-33.33,2017-02-16,AMC
DHR,NYSE,1.94,2017-01-31,BTO
DIS,NYSE,4.73,2017-02-07,AMC
DLX,NYSE,0.75,2017-01-26,BTO
