day_0_date,fatalities,ticker
5/18/18,10,RGR
5/18/18,10,OLN
5/18/18,10,AOBC
4/22/18,4,RGR
4/22/18,4,OLN
4/22/18,4,AOBC
3/9/18,3,RGR
3/9/18,3,OLN
3/9/18,3,AOBC
2/14/18,17,RGR
2/14/18,17,OLN
2/14/18,17,AOBC
1/28/18,4,RGR
1/28/18,4,OLN
1/28/18,4,AOBC
11/14/17,5,RGR
11/14/17,5,OLN
11/14/17,5,AOBC
11/5/17,26,RGR
11/5/17,26,OLN
11/5/17,26,AOBC
11/1/17,3,RGR
11/1/17,3,OLN
11/1/17,3,AOBC
10/18/17,3,RGR
10/18/17,3,OLN
10/18/17,3,AOBC
10/1/17,58,RGR
10/1/17,58,OLN
10/1/17,58,AOBC
6/14/17,3,RGR
6/14/17,3,OLN
6/14/17,3,AOBC
6/7/17,3,RGR
6/7/17,3,OLN
6/7/17,3,AOBC
6/5/17,5,RGR
6/5/17,5,OLN
6/5/17,5,AOBC
5/12/17,3,RGR
5/12/17,3,OLN
5/12/17,3,AOBC
4/18/17,3,RGR
4/18/17,3,OLN
4/18/17,3,AOBC
1/6/17,5,RGR
1/6/17,5,OLN
1/6/17,5,AOBC
9/23/16,5,RGR
9/23/16,5,OLN
9/23/16,5,AOBC
7/17/16,3,RGR
7/17/16,3,OLN
7/17/16,3,AOBC
7/7/16,5,RGR
7/7/16,5,OLN
7/7/16,5,AOBC
6/12/16,49,RGR
6/12/16,49,OLN
6/12/16,49,AOBC
2/25/16,3,RGR
2/25/16,3,OLN
2/25/16,3,AOBC
2/20/16,6,RGR
2/20/16,6,OLN
2/20/16,6,AOBC
12/2/15,14,RGR
12/2/15,14,OLN
12/2/15,14,AOBC
11/27/15,3,RGR
11/27/15,3,OLN
11/27/15,3,AOBC
10/31/15,3,RGR
10/31/15,3,OLN
10/31/15,3,AOBC
10/1/15,9,RGR
10/1/15,9,OLN
10/1/15,9,AOBC
7/16/15,5,RGR
7/16/15,5,OLN
7/16/15,5,AOBC
6/17/15,9,RGR
6/17/15,9,OLN
6/17/15,9,AOBC
6/11/15,3,RGR
6/11/15,3,OLN
6/11/15,3,AOBC
10/24/14,5,RGR
10/24/14,5,OLN
10/24/14,5,AOBC
5/23/14,6,RGR
5/23/14,6,OLN
5/23/14,6,AOBC
4/3/14,3,RGR
4/3/14,3,OLN
4/3/14,3,AOBC
2/20/14,4,RGR
2/20/14,4,OLN
2/20/14,4,AOBC
9/16/13,12,RGR
9/16/13,12,OLN
9/16/13,12,AOBC
7/26/13,7,RGR
7/26/13,7,OLN
7/26/13,7,AOBC
6/7/13,6,RGR
6/7/13,6,OLN
6/7/13,6,AOBC
4/21/13,5,RGR
4/21/13,5,OLN
4/21/13,5,AOBC
3/13/13,5,RGR
3/13/13,5,OLN
3/13/13,5,AOBC
12/14/12,27,RGR
12/14/12,27,OLN
12/14/12,27,AOBC
9/27/12,7,RGR
9/27/12,7,OLN
9/27/12,7,AOBC
8/5/12,7,RGR
8/5/12,7,OLN
8/5/12,7,AOBC
7/20/12,12,RGR
7/20/12,12,OLN
7/20/12,12,AOBC
5/20/12,6,RGR
5/20/12,6,OLN
5/20/12,6,AOBC
4/2/12,7,RGR
4/2/12,7,OLN
4/2/12,7,AOBC
2/22/12,5,RGR
2/22/12,5,OLN
2/22/12,5,AOBC
10/14/11,8,RGR
10/14/11,8,OLN
10/14/11,8,AOBC
9/6/11,5,RGR
9/6/11,5,OLN
9/6/11,5,AOBC
1/8/11,6,RGR
1/8/11,6,OLN
1/8/11,6,AOBC
8/3/10,9,RGR
8/3/10,9,OLN
8/3/10,9,AOBC
11/29/09,4,RGR
11/29/09,4,OLN
11/29/09,4,AOBC
11/5/09,13,RGR
11/5/09,13,OLN
11/5/09,13,AOBC
4/3/09,14,RGR
4/3/09,14,OLN
4/3/09,14,AOBC
3/29/09,8,RGR
3/29/09,8,OLN
3/29/09,8,AOBC
6/25/08,6,RGR
6/25/08,6,OLN
6/25/08,6,AOBC
2/14/08,5,RGR
2/14/08,5,OLN
2/14/08,5,AOBC
2/7/08,6,RGR
2/7/08,6,OLN
2/7/08,6,AOBC
12/5/07,9,RGR
12/5/07,9,OLN
12/5/07,9,AOBC
10/7/07,6,RGR
10/7/07,6,OLN
10/7/07,6,AOBC
4/16/07,32,RGR
4/16/07,32,OLN
4/16/07,32,AOBC
2/12/07,6,RGR
2/12/07,6,OLN
2/12/07,6,AOBC
